unit,wins,make_playoffs,win_finals
bos,60,1,0.42100000000000004
mem,55,1,0.149
den,54,1,0.068
phi,52,0.998,0.132
cle,51,0.997,0.051
mil,49,0.985,0.015
bkn,49,0.982,0.019
no,46,0.904,0.013000000000000001
sac,45,0.865,0.012
ny,45,0.892,0.019
mia,44,0.848,0.013999999999999999
dal,43,0.7509999999999999,0.011000000000000001
gs,43,0.757,0.026000000000000002
lac,43,0.685,0.015
phx,42,0.618,0.018000000000000002
atl,42,0.574,0.003
por,41,0.511,0.005
uta,40,0.39799999999999996,0.002
ind,40,0.319,0
lal,40,0.249,0.004
min,39,0.24600000000000002,0.002
tor,38,0.19,0.001
chi,38,0.193,0
okc,35,0.016,0
wsh,34,0.021,0
orl,29,0,0
cha,26,0,0
sa,24,0,0
det,22,0,0
hou,20,0,0
