unit,wins,make_playoffs,win_finals
bos,64,1,0.308
lac,55,1,0.182
okc,55,1,0.027000000000000003
min,55,1,0.05
phi,54,1,0.08800000000000001
den,54,1,0.083
mil,54,1,0.122
no,51,0.991,0.023
cle,50,0.9890000000000001,0.047
ny,48,0.958,0.008
mia,47,0.951,0.012
ind,45,0.8590000000000001,0.006999999999999999
dal,45,0.747,0.01
orl,43,0.7490000000000001,0.002
sac,43,0.569,0.005
uta,43,0.509,0.005
phx,42,0.474,0.005
gs,42,0.426,0.012
lal,40,0.19399999999999998,0.003
hou,38,0.09,0
tor,38,0.231,0.001
chi,37,0.11599999999999999,0
bkn,35,0.096,0
atl,34,0.053,0
mem,30,0,0
por,20,0,0
cha,19,0,0
wsh,19,0,0
sa,17,0,0
det,15,0,0
