unit,wins,make_playoffs,win_finals
bos,57,1,0.184
phi,56,1,0.128
mil,55,0.997,0.17
den,52,0.996,0.102
min,52,0.992,0.07
okc,51,0.986,0.033
bkn,48,0.885,0.023
mia,48,0.8909999999999999,0.034
no,46,0.873,0.021
phx,46,0.8540000000000001,0.021
ny,45,0.7090000000000001,0.011000000000000001
ind,45,0.6609999999999999,0.011000000000000001
cle,45,0.693,0.024
gs,44,0.782,0.047
lac,44,0.767,0.065
atl,44,0.5670000000000001,0.011000000000000001
orl,43,0.512,0.004
sac,42,0.561,0.012
dal,42,0.52,0.012
lal,42,0.508,0.017
hou,37,0.147,0.001
tor,37,0.081,0.001
chi,32,0.005,0
mem,32,0.013999999999999999,0.001
cha,29,0.001,0
uta,29,0.002,0
por,26,0,0
wsh,25,0,0
det,20,0,0
sa,18,0,0
