unit,wins,make_playoffs,win_finals
mil,58,1,0.138
bos,57,1,0.18
phi,55,1,0.17800000000000002
den,54,1,0.061
cle,51,1,0.063
mem,49,1,0.032
sac,49,1,0.013000000000000001
ny,48,0.9990000000000001,0.057999999999999996
bkn,46,0.9590000000000001,0.001
lac,45,0.993,0.21100000000000002
phx,44,0.9790000000000001,0.02
mia,44,0.8190000000000001,0.002
dal,42,0.875,0.012
gs,42,0.8420000000000001,0.017
atl,42,0.49200000000000005,0.001
tor,41,0.495,0.003
lal,40,0.501,0.008
min,40,0.431,0.002
okc,39,0.182,0
chi,39,0.18899999999999997,0.001
no,38,0.092,0
uta,38,0.086,0
wsh,38,0.032,0
por,36,0.02,0
ind,36,0.015,0
orl,32,0,0
cha,24,0,0
hou,21,0,0
sa,20,0,0
det,18,0,0
