unit,wins,make_playoffs,win_finals
mil,58,1,0.083
bos,57,1,0.377
den,53,1,0.040999999999999995
phi,53,1,0.092
cle,52,1,0.078
mem,52,1,0.111
sac,48,1,0.006999999999999999
ny,48,1,0.055999999999999994
bkn,46,1,0.001
phx,46,1,0.022000000000000002
gs,44,0.987,0.01
mia,44,0.8170000000000001,0.002
lac,44,0.973,0.087
lal,43,0.8959999999999999,0.027000000000000003
no,42,0.632,0.003
min,41,0.419,0.001
atl,41,0.7120000000000001,0
tor,41,0.281,0.001
chi,40,0.19,0.001
okc,39,0.09300000000000001,0
dal,39,0,0
uta,36,0,0
wsh,36,0,0
orl,34,0,0
ind,34,0,0
por,33,0,0
cha,26,0,0
hou,21,0,0
sa,21,0,0
det,17,0,0
