unit,wins,make_playoffs,win_finals
mil,59,1,0.17600000000000002
bos,56,1,0.187
den,54,1,0.067
phi,54,1,0.128
cle,51,1,0.053
mem,50,1,0.048
ny,48,0.998,0.062
sac,48,0.9990000000000001,0.012
bkn,47,0.993,0.004
lac,45,0.991,0.2
phx,45,0.976,0.025
mia,43,0.7909999999999999,0.001
gs,43,0.877,0.016
dal,42,0.667,0.006999999999999999
atl,41,0.486,0
min,41,0.563,0.006
lal,41,0.462,0.004
tor,40,0.39399999999999996,0.002
no,40,0.24600000000000002,0
chi,39,0.264,0.002
okc,39,0.109,0
uta,38,0.067,0
wsh,38,0.06,0
por,37,0.044000000000000004,0
ind,36,0.013000000000000001,0
orl,33,0.001,0
cha,25,0,0
sa,20,0,0
hou,20,0,0
det,18,0,0
