unit,wins,make_playoffs,win_finals
bos,59,1,0.4
den,53,1,0.068
phi,53,1,0.18100000000000002
mem,52,0.9990000000000001,0.115
cle,50,0.997,0.044000000000000004
bkn,50,0.996,0.03
mil,49,0.993,0.013999999999999999
sac,47,0.9520000000000001,0.02
mia,45,0.899,0.012
lac,44,0.831,0.039
no,44,0.71,0.005
gs,43,0.738,0.025
phx,43,0.725,0.017
dal,42,0.639,0.006999999999999999
ny,42,0.708,0.006
atl,42,0.622,0.004
uta,41,0.418,0.001
lal,41,0.374,0.006999999999999999
por,40,0.374,0.004
chi,40,0.36,0.001
min,39,0.203,0.001
tor,38,0.18600000000000003,0
ind,38,0.146,0
okc,36,0.038,0
wsh,36,0.092,0
orl,31,0.002,0
cha,27,0,0
sa,24,0,0
det,21,0,0
hou,20,0,0
