TEAM,WIN-LOSS,PLAY-OFFS,NBATITLE,DRAFTTOP 3,unit,wins,make_playoffs,win_finals
BOS,59-23,100,28.6%,<0.1%,bos,59,1,0.28600000000000003
PHI,51-31,99.1%,9.8%,<0.1%,phi,51,0.991,0.098
CLE,52-30,99.4%,7.8%,<0.1%,cle,52,0.9940000000000001,0.078
MIL,52-30,99.2%,6.7%,<0.1%,mil,52,0.992,0.067
ATL,49-33,97.3%,4.2%,0.1%,atl,49,0.973,0.042
BKN,44-38,81.2%,1.7%,1.0%,bkn,44,0.812,0.017
TOR,44-38,76.4%,1.0%,1.5%,tor,44,0.764,0.01
MIA,43-39,71.5%,1.0%,1.9%,mia,43,0.715,0.01
WSH,39-43,28.1%,0,7.6%,wsh,39,0.281,0
CHI,37-45,24.0%,0,9.4%,chi,37,0.24,0
IND,35-47,10.1%,0,15.5%,ind,35,0.10099999999999999,0
NY,35-47,9.5%,0,15.9%,ny,35,0.095,0
CHA,33-49,4.1%,0.0%,21.6%,cha,33,0.040999999999999995,0
ORL,26-56,0,0.0%,35.1%,orl,26,0,0
DET,21-61,0.0%,0.0%,40.5%,det,21,0,0
PHX,52-30,99.4%,12.9%,<0.1%,phx,52,0.9940000000000001,0.129
DAL,49-33,97.1%,6.3%,<0.1%,dal,49,0.971,0.063
MEM,49-33,97.1%,6.2%,<0.1%,mem,49,0.971,0.062
DEN,49-33,97.1%,5.2%,0.1%,den,49,0.971,0.052000000000000005
UTH,48-34,95.2%,2.7%,0.2%,uta,48,0.9520000000000001,0.027000000000000003
GS,44-38,79.2%,2.6%,1.1%,gs,44,0.792,0.026000000000000002
NO,46-36,86.3%,2.4%,0.7%,no,46,0.863,0.024
MIN,39-43,33.0%,0.3%,6.6%,min,39,0.33,0.003
LAC,38-44,28.1%,0.2%,8.3%,lac,38,0.281,0.002
POR,41-41,46.5%,0.2%,3.9%,por,41,0.465,0.002
SAC,40-42,36.1%,0.1%,5.7%,sac,40,0.361,0.001
LAL,33-49,4.3%,0,20.5%,lal,33,0.043,0
SA,29-53,0.4%,0.0%,31.0%,sa,29,0.004,0
OKC,28-54,0.2%,0.0%,32.7%,okc,28,0.002,0
HOU,22-60,0.0%,0.0%,38.9%,hou,22,0,0
