unit,wins,make_playoffs,win_finals
bos,58,1,0.36200000000000004
cle,52,0.9990000000000001,0.087
mem,52,0.995,0.10400000000000001
phi,51,0.998,0.11800000000000001
mil,50,0.993,0.033
bkn,49,0.99,0.03
den,48,0.96,0.034
phx,48,0.971,0.094
dal,47,0.9390000000000001,0.07
no,47,0.889,0.018000000000000002
uta,45,0.8079999999999999,0.01
ny,44,0.8109999999999999,0.008
lac,43,0.5920000000000001,0.005
atl,43,0.732,0.006
por,43,0.569,0.005
sac,42,0.504,0.002
gs,41,0.42100000000000004,0.006999999999999999
tor,41,0.539,0.003
min,40,0.315,0.002
mia,40,0.38,0.002
ind,39,0.32,0
chi,37,0.153,0
lal,36,0.038,0
wsh,36,0.079,0
orl,31,0.004,0
okc,30,0.001,0
cha,30,0.003,0
hou,23,0,0
sa,22,0,0
det,21,0,0
