unit,wins,make_playoffs,win_finals
bos,58,1,0.201
phi,57,1,0.131
den,52,0.992,0.11
mil,52,0.982,0.133
min,51,0.98,0.065
okc,50,0.972,0.027999999999999997
mia,49,0.932,0.036000000000000004
phx,48,0.924,0.03
bkn,47,0.8290000000000001,0.021
gs,45,0.775,0.051
ny,45,0.691,0.011000000000000001
orl,45,0.6659999999999999,0.008
cle,45,0.723,0.027000000000000003
no,45,0.728,0.017
dal,44,0.7120000000000001,0.018000000000000002
atl,44,0.665,0.016
lac,44,0.72,0.06
sac,43,0.56,0.015
lal,41,0.43700000000000006,0.017
ind,41,0.364,0.004
hou,39,0.193,0.001
tor,38,0.146,0.001
mem,31,0.006999999999999999,0
chi,30,0.002,0
cha,29,0.001,0
uta,29,0.001,0
por,26,0,0
wsh,25,0,0
det,20,0,0
sa,18,0,0
