unit,wins,make_playoffs,win_finals
bos,66,1,0.483
okc,57,1,0.034
den,56,1,0.057
min,54,1,0.049
lac,54,0.9990000000000001,0.09
mil,52,1,0.122
cle,51,1,0.048
no,50,0.975,0.013000000000000001
dal,48,0.863,0.026000000000000002
ny,47,0.9840000000000001,0.012
phx,47,0.698,0.006
orl,47,0.961,0.002
sac,46,0.561,0.003
lal,46,0.579,0.017
mia,45,0.938,0.008
phi,45,0.9390000000000001,0.018000000000000002
ind,44,0.872,0.003
gs,44,0.324,0.009000000000000001
chi,39,0.141,0
hou,38,0.001,0
atl,36,0.138,0
uta,34,0,0
bkn,33,0.026000000000000002,0
tor,28,0,0
mem,27,0,0
por,23,0,0
cha,19,0,0
sa,19,0,0
det,17,0,0
wsh,16,0,0
