unit,wins,make_playoffs,win_finals
bos,59,1,0.19399999999999998
phi,53,0.993,0.087
mil,53,0.995,0.157
min,51,0.986,0.068
den,51,0.987,0.099
okc,50,0.9690000000000001,0.03
mia,50,0.963,0.044000000000000004
phx,47,0.895,0.03
cle,47,0.85,0.044000000000000004
dal,46,0.8190000000000001,0.025
atl,46,0.773,0.022000000000000002
ny,46,0.7709999999999999,0.013999999999999999
lac,45,0.7809999999999999,0.071
gs,44,0.76,0.043
bkn,44,0.645,0.011000000000000001
no,44,0.691,0.017
ind,43,0.51,0.006
lal,42,0.523,0.021
sac,41,0.424,0.012
orl,41,0.35600000000000004,0.002
tor,38,0.13699999999999998,0.001
hou,37,0.139,0.002
mem,32,0.02,0
chi,31,0.006,0
uta,31,0.005,0
cha,28,0.002,0
wsh,25,0,0
por,24,0,0
det,24,0,0
sa,18,0,0
