unit,wins,make_playoffs,win_finals
bos,61,1,0.20800000000000002
phi,54,0.998,0.092
den,52,0.995,0.10400000000000001
mil,52,0.992,0.138
min,50,0.97,0.065
ny,47,0.893,0.023
dal,47,0.9109999999999999,0.036000000000000004
okc,47,0.872,0.019
cle,46,0.85,0.04
bkn,46,0.818,0.02
mia,46,0.818,0.024
phx,45,0.797,0.024
atl,45,0.769,0.022000000000000002
lac,44,0.79,0.071
gs,44,0.7859999999999999,0.051
ind,43,0.603,0.009000000000000001
sac,42,0.599,0.017
no,42,0.502,0.009000000000000001
lal,42,0.521,0.021
hou,36,0.11900000000000001,0.001
tor,36,0.121,0.001
orl,36,0.11199999999999999,0.001
uta,35,0.08199999999999999,0.001
mem,34,0.057999999999999996,0.002
chi,32,0.024,0
cha,27,0.002,0
det,26,0,0
wsh,26,0,0
por,25,0,0
sa,20,0,0
