unit,wins,make_playoffs,win_finals
bos,62,1,0.276
cle,57,1,0.13
lac,57,1,0.18899999999999997
okc,55,1,0.023
min,55,1,0.071
den,53,0.998,0.048
ny,51,0.9990000000000001,0.024
mil,50,1,0.122
no,49,0.948,0.015
phx,48,0.883,0.015
dal,46,0.703,0.02
phi,46,0.96,0.018000000000000002
gs,44,0.532,0.022000000000000002
sac,44,0.498,0.004
ind,44,0.9109999999999999,0.006999999999999999
orl,44,0.877,0.001
lal,43,0.336,0.006999999999999999
mia,42,0.816,0.005
uta,41,0.095,0.001
atl,37,0.249,0.001
hou,37,0.008,0
chi,37,0.12,0
bkn,34,0.049,0
tor,33,0.02,0
mem,30,0,0
por,24,0,0
det,17,0,0
sa,17,0,0
wsh,17,0,0
cha,16,0,0
