unit,wins,make_playoffs,win_finals
bos,60,1,0.428
cle,52,0.9990000000000001,0.078
phi,51,0.9990000000000001,0.107
bkn,50,0.996,0.028999999999999998
mil,49,0.99,0.027000000000000003
den,49,0.9670000000000001,0.033
mem,49,0.953,0.05
phx,48,0.946,0.095
dal,47,0.9329999999999999,0.064
no,47,0.899,0.015
lac,47,0.895,0.033
gs,44,0.66,0.015
por,43,0.573,0.006
uta,43,0.534,0.004
sac,42,0.44799999999999995,0.002
ny,42,0.6859999999999999,0.004
mia,42,0.69,0.004
atl,41,0.551,0.003
tor,40,0.41,0.002
ind,39,0.331,0.001
min,39,0.153,0.001
wsh,38,0.22699999999999998,0
chi,36,0.12,0
lal,36,0.038,0
okc,30,0,0
orl,29,0.001,0
cha,28,0,0
hou,25,0,0
sa,24,0,0
det,22,0,0
