TEAM,WIN-LOSS,PLAY-OFFS,NBATITLE,DRAFTTOP 3,unit,wins,make_playoffs,win_finals
BOS,56-26,100,20.7%,<0.1%,bos,56,1,0.207
PHI,53-29,99.6%,13.5%,<0.1%,phi,53,0.996,0.135
MIL,52-30,99.0%,7.3%,<0.1%,mil,52,0.99,0.073
CLE,51-31,98.8%,6.1%,<0.1%,cle,51,0.988,0.061
ATL,48-34,95.3%,4.1%,0.2%,atl,48,0.953,0.040999999999999995
TOR,45-37,83.5%,1.7%,0.7%,tor,45,0.835,0.017
BKN,42-40,60.8%,1.1%,3.1%,bkn,42,0.608,0.011000000000000001
MIA,42-40,60.4%,0.9%,3.1%,mia,42,0.604,0.009000000000000001
CHA,40-42,44.9%,0.4%,4.9%,cha,40,0.449,0.004
CHI,37-45,20.7%,0.1%,11.5%,chi,37,0.207,0.001
WSH,37-45,17.2%,0,12.4%,wsh,37,0.172,0
NY,36-46,15.6%,0,13.7%,ny,36,0.156,0
IND,33-49,4.2%,0,21.3%,ind,33,0.042,0
ORL,24-58,0,0.0%,38.3%,orl,24,0,0
DET,23-59,0.0%,0.0%,39.5%,det,23,0,0
PHX,54-28,99.8%,14.7%,<0.1%,phx,54,0.998,0.147
DAL,51-31,98.6%,9.3%,<0.1%,dal,51,0.986,0.09300000000000001
NO,48-34,95.0%,4.7%,0.2%,no,48,0.95,0.047
MEM,47-35,92.3%,4.3%,0.4%,mem,47,0.9229999999999999,0.043
GS,46-36,89.2%,3.8%,0.5%,gs,46,0.892,0.038
DEN,46-36,89.4%,3.4%,0.6%,den,46,0.894,0.034
UTH,45-37,85.1%,1.8%,0.8%,uta,45,0.851,0.018000000000000002
MIN,44-38,74.7%,1.7%,1.4%,min,44,0.747,0.017
LAL,36-46,16.2%,0.1%,13.1%,lal,36,0.162,0.001
LAC,37-45,24.3%,0,9.8%,lac,37,0.243,0
SAC,35-47,11.7%,0,15.2%,sac,35,0.11699999999999999,0
POR,37-45,20.2%,0,11.5%,por,37,0.20199999999999999,0
SA,32-50,3.3%,0,22.9%,sa,32,0.033,0
OKC,27-55,0.2%,0.0%,35.3%,okc,27,0.002,0
HOU,23-59,0.0%,0.0%,39.4%,hou,23,0,0
