unit,wins,make_playoffs,win_finals
mil,58,1,0.196
den,57,1,0.158
bos,56,1,0.16699999999999998
phi,52,1,0.049
cle,51,1,0.054000000000000006
ny,50,0.9990000000000001,0.10400000000000001
mem,49,0.998,0.03
sac,47,0.991,0.006999999999999999
phx,46,0.985,0.019
bkn,46,0.9470000000000001,0.001
lac,44,0.966,0.171
dal,44,0.889,0.013999999999999999
mia,43,0.778,0.002
gs,43,0.857,0.017
min,41,0.596,0.004
atl,41,0.495,0.001
tor,41,0.541,0.004
lal,40,0.314,0.001
no,39,0.192,0
por,39,0.136,0
wsh,38,0.115,0
chi,38,0.099,0.001
okc,37,0.038,0
uta,37,0.039,0
ind,36,0.025,0
orl,33,0.001,0
cha,24,0,0
sa,19,0,0
hou,19,0,0
det,19,0,0
