unit,wins,make_playoffs,win_finals
bos,58,1,0.354
bkn,53,0.9990000000000001,0.078
mem,52,0.9990000000000001,0.127
cle,51,0.997,0.085
den,51,0.997,0.055
phi,50,0.993,0.11699999999999999
mil,47,0.946,0.01
no,46,0.882,0.018000000000000002
dal,46,0.888,0.026000000000000002
mia,44,0.846,0.015
lac,44,0.784,0.028999999999999998
phx,44,0.768,0.04
ny,43,0.741,0.006
ind,43,0.695,0.003
gs,43,0.675,0.017
sac,42,0.514,0.003
por,41,0.451,0.003
uta,41,0.42100000000000004,0.005
lal,41,0.335,0.004
min,40,0.285,0.003
chi,40,0.301,0.001
atl,39,0.23399999999999999,0.001
tor,38,0.149,0
wsh,37,0.099,0
okc,31,0.001,0
orl,29,0,0
cha,27,0,0
sa,24,0,0
det,22,0,0
hou,22,0,0
