TEAM,WIN-LOSS,PLAY-OFFS,NBATITLE,DRAFTTOP 3,unit,wins,make_playoffs,win_finals
BOS,59-23,100,28.8%,<0.1%,bos,59,1,0.28800000000000003
PHI,51-31,99.0%,9.8%,<0.1%,phi,51,0.99,0.098
CLE,52-30,99.2%,7.4%,<0.1%,cle,52,0.992,0.07400000000000001
MIL,52-30,99.2%,6.2%,<0.1%,mil,52,0.992,0.062
ATL,50-32,97.1%,4.3%,<0.1%,atl,50,0.971,0.043
BKN,45-37,83.3%,2.1%,0.7%,bkn,45,0.833,0.021
TOR,44-38,75.6%,1.0%,1.3%,tor,44,0.7559999999999999,0.01
MIA,43-39,70.0%,0.9%,1.5%,mia,43,0.7,0.009000000000000001
CHI,38-44,27.4%,0.1%,7.2%,chi,38,0.27399999999999997,0.001
WSH,38-44,25.7%,0,8.3%,wsh,38,0.257,0
NY,36-46,10.8%,0,14.0%,ny,36,0.10800000000000001,0
IND,35-47,8.9%,0,15.5%,ind,35,0.08900000000000001,0
CHA,33-49,3.7%,0.0%,21.8%,cha,33,0.037000000000000005,0
ORL,26-56,0,0.0%,35.0%,orl,26,0,0
DET,21-61,0.0%,0.0%,39.4%,det,21,0,0
PHX,52-30,99.6%,12.7%,<0.1%,phx,52,0.996,0.127
MEM,50-32,98.1%,7.3%,<0.1%,mem,50,0.981,0.073
DAL,49-33,97.2%,6.3%,0.1%,dal,49,0.972,0.063
DEN,48-34,94.2%,3.8%,0.2%,den,48,0.9420000000000001,0.038
UTH,49-33,96.8%,3.1%,0.1%,uta,49,0.968,0.031
GS,45-37,85.0%,3.0%,0.8%,gs,45,0.85,0.03
NO,46-36,87.6%,2.4%,0.6%,no,46,0.8759999999999999,0.024
SAC,39-43,31.4%,0.2%,7.3%,sac,39,0.314,0.002
LAC,39-43,30.5%,0.2%,7.3%,lac,39,0.305,0.002
POR,41-41,49.0%,0.2%,3.8%,por,41,0.49,0.002
MIN,38-44,26.8%,0.1%,8.6%,min,38,0.268,0.001
LAL,32-50,3.2%,0,22.8%,lal,32,0.032,0
SA,29-53,0.5%,0.0%,29.7%,sa,29,0.005,0
OKC,27-55,0,0.0%,35.0%,okc,27,0,0
HOU,23-59,0.0%,0.0%,38.8%,hou,23,0,0
