TEAM,WIN-LOSS,PLAY-OFFS,NBATITLE,DRAFTTOP 3
BOS,59-23,>99.9%,28.8%,<0.1%
PHI,51-31,99.0%,9.8%,<0.1%
CLE,52-30,99.2%,7.4%,<0.1%
MIL,52-30,99.2%,6.2%,<0.1%
ATL,50-32,97.1%,4.3%,<0.1%
BKN,45-37,83.3%,2.1%,0.7%
TOR,44-38,75.6%,1.0%,1.3%
MIA,43-39,70.0%,0.9%,1.5%
CHI,38-44,27.4%,0.1%,7.2%
WSH,38-44,25.7%,<0.1%,8.3%
NY,36-46,10.8%,<0.1%,14.0%
IND,35-47,8.9%,<0.1%,15.5%
CHA,33-49,3.7%,0.0%,21.8%
ORL,26-56,<0.1%,0.0%,35.0%
DET,21-61,0.0%,0.0%,39.4%
PHX,52-30,99.6%,12.7%,<0.1%
MEM,50-32,98.1%,7.3%,<0.1%
DAL,49-33,97.2%,6.3%,0.1%
DEN,48-34,94.2%,3.8%,0.2%
UTH,49-33,96.8%,3.1%,0.1%
GS,45-37,85.0%,3.0%,0.8%
NO,46-36,87.6%,2.4%,0.6%
SAC,39-43,31.4%,0.2%,7.3%
LAC,39-43,30.5%,0.2%,7.3%
POR,41-41,49.0%,0.2%,3.8%
MIN,38-44,26.8%,0.1%,8.6%
LAL,32-50,3.2%,<0.1%,22.8%
SA,29-53,0.5%,0.0%,29.7%
OKC,27-55,<0.1%,0.0%,35.0%
HOU,23-59,0.0%,0.0%,38.8%
