unit,wins,make_playoffs,win_finals
bos,58,1,0.24600000000000002
mil,56,1,0.11199999999999999
den,55,1,0.106
cle,52,1,0.08900000000000001
phi,52,1,0.033
mem,49,0.997,0.027999999999999997
lac,48,0.998,0.268
bkn,47,0.9790000000000001,0.004
ny,47,0.983,0.064
dal,44,0.903,0.013000000000000001
phx,44,0.904,0.013000000000000001
mia,44,0.7929999999999999,0.002
sac,44,0.7909999999999999,0.002
gs,42,0.61,0.006
no,41,0.489,0.001
lal,41,0.486,0.009000000000000001
atl,41,0.45,0.001
min,40,0.32,0.001
tor,40,0.44299999999999995,0.003
wsh,40,0.287,0
uta,40,0.23,0
por,39,0.175,0
okc,38,0.09699999999999999,0
chi,36,0.051,0
ind,35,0.012,0
orl,33,0.002,0
cha,24,0,0
det,21,0,0
sa,19,0,0
hou,18,0,0
