unit,wins,make_playoffs,win_finals
phi,59,1,0.139
bos,58,1,0.19699999999999998
mil,54,0.996,0.152
min,52,0.988,0.069
den,51,0.987,0.098
okc,50,0.965,0.025
bkn,49,0.9390000000000001,0.027000000000000003
mia,48,0.892,0.027999999999999997
lac,47,0.879,0.091
dal,47,0.84,0.025
no,46,0.773,0.016
ind,45,0.711,0.009000000000000001
orl,45,0.639,0.004
phx,45,0.687,0.015
cle,45,0.695,0.025
ny,44,0.6679999999999999,0.009000000000000001
lal,44,0.674,0.027000000000000003
sac,43,0.513,0.01
gs,43,0.529,0.026000000000000002
atl,42,0.359,0.006
hou,39,0.16399999999999998,0.001
tor,38,0.092,0.001
chi,33,0.008,0
mem,30,0.001,0
cha,28,0,0
uta,27,0,0
por,26,0,0
wsh,21,0,0
det,16,0,0
sa,16,0,0
