unit,wins,make_playoffs,win_finals
bos,59,1,0.195
phi,59,1,0.139
min,55,0.998,0.07400000000000001
mil,55,1,0.159
den,53,0.997,0.099
lac,52,0.992,0.131
okc,50,0.9690000000000001,0.019
ny,47,0.882,0.013999999999999999
mia,46,0.87,0.023
no,46,0.815,0.013000000000000001
bkn,45,0.8009999999999999,0.011000000000000001
sac,45,0.7490000000000001,0.013000000000000001
cle,45,0.7909999999999999,0.03
gs,45,0.77,0.036000000000000004
dal,44,0.703,0.013999999999999999
orl,43,0.55,0.002
atl,43,0.57,0.009000000000000001
phx,41,0.397,0.004
ind,41,0.408,0.002
lal,41,0.382,0.01
hou,40,0.225,0.001
tor,36,0.069,0.001
chi,36,0.057999999999999996,0
mem,30,0.002,0
uta,29,0.001,0
por,25,0,0
cha,25,0,0
wsh,22,0,0
sa,16,0,0
det,15,0,0
