unit,wins,make_playoffs,win_finals
bos,66,1,0.53
den,58,1,0.07200000000000001
okc,57,1,0.023
min,56,1,0.064
mil,52,1,0.11699999999999999
lac,51,0.995,0.055
cle,50,0.9990000000000001,0.046
no,50,0.982,0.01
ny,49,0.998,0.015
dal,49,0.975,0.027000000000000003
orl,48,0.982,0.002
phx,47,0.6779999999999999,0.005
ind,47,0.965,0.005
sac,46,0.604,0.002
lal,46,0.522,0.01
mia,45,0.9,0.005
phi,45,0.872,0.009000000000000001
gs,44,0.22899999999999998,0.005
hou,41,0.015,0
chi,38,0.10300000000000001,0
atl,37,0.18,0.001
uta,32,0,0
bkn,31,0,0
mem,27,0,0
tor,25,0,0
por,22,0,0
sa,19,0,0
cha,18,0,0
wsh,17,0,0
det,15,0,0
