unit,wins,make_playoffs,win_finals
bos,58,1,0.368
phi,54,1,0.19399999999999998
den,52,1,0.05
mem,52,1,0.138
bkn,50,0.996,0.033
cle,49,0.995,0.043
mil,49,0.99,0.009000000000000001
sac,45,0.887,0.011000000000000001
mia,45,0.892,0.011000000000000001
lac,45,0.889,0.054000000000000006
phx,44,0.812,0.035
gs,43,0.738,0.023
ny,43,0.708,0.008
atl,42,0.626,0.003
no,42,0.55,0.003
dal,42,0.556,0.005
por,41,0.446,0.006
lal,41,0.37799999999999995,0.004
min,40,0.373,0.004
uta,40,0.342,0.001
chi,39,0.259,0
tor,39,0.255,0.001
ind,38,0.15,0
wsh,38,0.129,0
okc,36,0.03,0
orl,31,0.001,0
cha,26,0,0
sa,24,0,0
det,21,0,0
hou,20,0,0
