unit,wins,make_playoffs,win_finals
bos,57,1,0.29600000000000004
mil,55,1,0.095
den,54,1,0.069
cle,51,0.9990000000000001,0.071
phi,50,0.9940000000000001,0.032
mem,49,0.997,0.051
bkn,48,0.983,0.013000000000000001
lac,47,0.988,0.256
ny,45,0.9129999999999999,0.044000000000000004
sac,45,0.88,0.006999999999999999
dal,45,0.9179999999999999,0.02
mia,44,0.8059999999999999,0.006999999999999999
phx,43,0.759,0.009000000000000001
gs,43,0.6920000000000001,0.012
no,42,0.635,0.005
atl,42,0.589,0.002
min,41,0.455,0.003
tor,41,0.424,0.006
por,40,0.32,0.001
uta,39,0.165,0.001
chi,39,0.172,0
lal,39,0.13,0.001
wsh,38,0.07400000000000001,0
okc,38,0.059000000000000004,0
ind,36,0.03,0
orl,35,0.015,0
cha,24,0,0
det,20,0,0
sa,20,0,0
hou,20,0,0
