unit,wins,make_playoffs,win_finals
bos,58,1,0.405
den,54,1,0.054000000000000006
phi,53,1,0.132
mil,51,0.9990000000000001,0.02
mem,50,0.9990000000000001,0.107
cle,49,0.996,0.047
bkn,49,0.991,0.023
lac,46,0.961,0.109
sac,46,0.9129999999999999,0.013000000000000001
mia,45,0.873,0.011000000000000001
phx,43,0.728,0.027999999999999997
ny,43,0.74,0.011000000000000001
dal,43,0.679,0.004
atl,42,0.68,0.006
gs,42,0.619,0.012
uta,42,0.527,0.002
lal,41,0.444,0.004
min,41,0.418,0.004
por,41,0.439,0.005
no,40,0.252,0.001
wsh,39,0.247,0
chi,39,0.21,0
tor,38,0.191,0.001
ind,37,0.07400000000000001,0
okc,36,0.02,0
orl,31,0.001,0
cha,27,0,0
det,22,0,0
sa,22,0,0
hou,21,0,0
