unit,wins,make_playoffs,win_finals
bos,62,1,0.28300000000000003
lac,59,1,0.239
cle,57,1,0.125
okc,55,1,0.019
den,54,0.9990000000000001,0.073
min,53,0.9990000000000001,0.052000000000000005
ny,52,1,0.013000000000000001
mil,50,0.9990000000000001,0.085
no,49,0.973,0.016
phi,48,0.991,0.034
phx,47,0.8390000000000001,0.009000000000000001
ind,46,0.9640000000000001,0.012
sac,45,0.669,0.006
dal,44,0.517,0.005
orl,43,0.815,0.002
lal,42,0.354,0.006999999999999999
gs,42,0.349,0.011000000000000001
uta,42,0.27399999999999997,0.002
mia,42,0.8140000000000001,0.006
hou,38,0.027000000000000003,0
atl,36,0.195,0.001
chi,36,0.105,0
bkn,34,0.1,0
tor,32,0.018000000000000002,0
mem,30,0,0
por,25,0,0
sa,17,0,0
cha,17,0,0
wsh,17,0,0
det,16,0,0
