unit,wins,make_playoffs,win_finals
bos,66,1,0.5379999999999999
den,56,1,0.063
min,56,1,0.067
okc,56,1,0.023
lac,52,1,0.063
dal,50,1,0.032
cle,49,1,0.047
mil,49,1,0.091
phx,49,0.943,0.011000000000000001
ny,48,0.992,0.006
no,48,0.753,0.004
orl,47,0.958,0.001
sac,46,0.479,0.001
ind,46,0.937,0.006
mia,46,0.951,0.012
lal,46,0.441,0.011000000000000001
gs,46,0.384,0.011000000000000001
phi,46,0.897,0.016
hou,41,0,0
chi,39,0.105,0
atl,38,0.162,0
bkn,32,0,0
uta,30,0,0
mem,28,0,0
tor,25,0,0
por,22,0,0
sa,21,0,0
cha,20,0,0
wsh,16,0,0
det,14,0,0
