unit,wins,make_playoffs,win_finals
bos,58,1,0.245
mil,57,1,0.106
den,55,1,0.08800000000000001
phi,52,1,0.027999999999999997
cle,52,1,0.054000000000000006
mem,49,0.9990000000000001,0.022000000000000002
lac,48,0.9990000000000001,0.359
bkn,47,0.972,0.004
ny,47,0.981,0.057999999999999996
mia,44,0.8590000000000001,0.005
dal,44,0.927,0.009000000000000001
phx,44,0.903,0.011000000000000001
sac,44,0.85,0.002
gs,42,0.629,0.006
no,42,0.542,0.001
atl,41,0.45,0.001
tor,40,0.409,0.002
min,40,0.371,0.001
lal,40,0.33899999999999997,0.002
wsh,39,0.243,0
uta,39,0.168,0
por,38,0.159,0
okc,38,0.114,0
chi,37,0.075,0
ind,35,0.01,0
orl,34,0.002,0
cha,24,0,0
det,21,0,0
sa,19,0,0
hou,18,0,0
