unit,wins,make_playoffs,win_finals
bos,63,1,0.275
lac,56,1,0.195
okc,56,1,0.023
den,55,1,0.09
cle,54,1,0.09699999999999999
phi,54,1,0.071
min,53,0.9990000000000001,0.048
mil,52,1,0.111
no,51,0.996,0.024
ny,49,0.992,0.006999999999999999
phx,44,0.715,0.006
ind,44,0.9009999999999999,0.009000000000000001
dal,44,0.647,0.008
mia,43,0.853,0.009000000000000001
sac,42,0.47700000000000004,0.003
uta,42,0.419,0.004
gs,42,0.456,0.015
orl,42,0.685,0.001
lal,40,0.23600000000000002,0.004
chi,39,0.34700000000000003,0
hou,37,0.048,0
tor,34,0.08199999999999999,0
bkn,34,0.094,0
mem,34,0.006999999999999999,0
atl,33,0.045,0
por,22,0,0
cha,20,0,0
sa,18,0,0
wsh,17,0,0
det,15,0,0
