unit,wins,make_playoffs,win_finals
bos,57,1,0.243
mil,56,1,0.11199999999999999
den,55,1,0.121
cle,52,1,0.07200000000000001
phi,51,0.9990000000000001,0.038
mem,49,0.996,0.035
lac,47,0.993,0.249
bkn,47,0.965,0.005
ny,46,0.965,0.069
phx,45,0.902,0.013999999999999999
dal,45,0.904,0.013000000000000001
mia,44,0.809,0.004
sac,44,0.7440000000000001,0.002
gs,42,0.628,0.01
no,42,0.586,0.002
atl,42,0.574,0.002
min,41,0.465,0.002
lal,40,0.312,0.004
uta,40,0.266,0.001
tor,40,0.37200000000000005,0.003
wsh,39,0.226,0
por,39,0.147,0
okc,38,0.055999999999999994,0
chi,37,0.079,0
ind,34,0.009000000000000001,0
orl,33,0.002,0
cha,24,0,0
det,21,0,0
sa,19,0,0
hou,19,0,0
