Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,Win Conf,Win Finals,wins,make_playoffs,win_finals,unit,messenger_team
1,Boston Celtics,55.6,24.4,.695,1.30,-0.38,9.74,12-4,44-20,69-11,41-39,99.9%,76.9%,40.5%,27.2%,56,0.9990000000000001,0.272,bos,Celtics
2,Philadelphia 76ers,51.6,28.4,.646,1.01,-0.36,7.75,10-5,42-23,65-15,38-42,99.2%,20.3%,23.3%,13.8%,52,0.992,0.138,phi,76ers
3,Orlando Magic,48.8,31.2,.610,-0.05,-0.13,4.77,11-5,38-26,62-18,34-46,95.5%,68.5%,10.5%,4.8%,49,0.955,0.048,orl,Magic
4,New York Knicks,47.0,33.0,.588,0.41,0.09,4.61,9-6,38-27,61-19,32-48,90.3%,2.7%,8.3%,3.8%,47,0.903,0.038,ny,Knicks
5,Milwaukee Bucks,46.3,33.7,.579,0.13,0.07,2.82,11-5,35-29,61-19,32-48,86.7%,57.3%,4.8%,1.8%,46,0.867,0.018000000000000002,mil,Bucks
6,Indiana Pacers,44.2,35.8,.553,-0.70,0.19,2.63,9-6,35-30,58-22,27-53,73.4%,32.7%,3.3%,1.2%,44,0.7340000000000001,0.012,ind,Pacers
7,Atlanta Hawks,44.0,36.0,.550,1.76,-0.28,3.26,7-7,37-29,59-21,28-52,71.7%,16.4%,4.1%,1.5%,44,0.7170000000000001,0.015,atl,Hawks
8,Miami Heat,43.9,36.1,.549,-1.46,0.32,1.60,10-6,34-30,58-22,26-54,71.1%,15.2%,2.6%,0.9%,44,0.711,0.009000000000000001,mia,Heat
9,Cleveland Cavaliers,41.4,38.6,.517,2.12,-0.35,0.25,8-7,33-32,55-25,27-53,45.5%,9.9%,0.9%,0.2%,41,0.455,0.002,cle,Cavaliers
10,Toronto Raptors,40.0,40.0,.500,0.68,0.25,0.37,8-8,32-32,55-25,25-55,33.9%,,0.8%,0.2%,40,0.33899999999999997,0.002,tor,Raptors
11,Brooklyn Nets,39.7,40.3,.497,1.61,0.14,0.76,6-8,34-32,57-23,25-55,32.0%,,0.9%,0.2%,40,0.32,0.002,bkn,Nets
12,Chicago Bulls,30.8,49.2,.385,1.01,0.28,-4.35,5-12,26-37,44-36,18-62,0.6%,0.1%,,0,31,0.006,0,chi,Bulls
13,Charlotte Hornets,28.3,51.7,.354,0.32,0.74,-7.39,5-9,23-43,43-37,13-67,0.1%,,,0,28,0.001,0,cha,Hornets
14,Detroit Pistons,25.4,54.6,.318,0.55,0.42,-6.89,2-14,23-41,39-41,13-67,0,,,0,25,0,0,det,Pistons
15,Washington Wizards,24.6,55.4,.308,0.34,0.56,-8.00,2-13,23-42,40-40,12-68,0,,,0,25,0,0,wsh,Wizards
1,Minnesota Timberwolves,52.9,27.1,.661,1.34,-0.92,7.34,11-4,42-23,66-14,39-41,99.8%,47.5%,28.6%,14.4%,53,0.998,0.14400000000000002,min,T-Wolves
2,Oklahoma City Thunder,52.9,27.1,.662,-1.32,-0.54,7.81,11-4,42-23,65-15,40-40,99.8%,46.9%,31.5%,16.5%,53,0.998,0.165,okc,Thunder
3,Denver Nuggets,47.3,32.7,.592,0.36,-0.82,3.67,10-6,37-27,61-19,33-47,93.8%,5.6%,10.0%,3.8%,47,0.938,0.038,den,Nuggets
4,Houston Rockets,47.0,33.0,.588,-0.73,-0.82,4.56,8-6,39-27,60-20,33-47,92.9%,57.4%,12.0%,4.6%,47,0.929,0.046,hou,Rockets
5,New Orleans Pelicans,44.7,35.3,.558,1.88,-1.04,2.20,9-7,36-28,58-22,31-49,81.3%,25.2%,5.1%,1.5%,45,0.813,0.015,no,Pelicans
6,Golden State Warriors,43.7,36.3,.546,2.17,-1.14,2.34,8-9,36-27,57-23,29-51,75.6%,38.1%,5.1%,1.5%,44,0.7559999999999999,0.015,gs,Warriors
7,Dallas Mavericks,43.4,36.6,.543,-1.64,0.20,0.83,10-5,33-32,58-22,29-51,70.1%,17.3%,2.6%,0.7%,43,0.701,0.006999999999999999,dal,Mavericks
8,Phoenix Suns,42.2,37.8,.528,-3.49,0.28,0.44,10-6,32-32,57-23,30-50,59.9%,24.2%,1.9%,0.5%,42,0.599,0.005,phx,Suns
9,Sacramento Kings,42.2,37.8,.527,0.15,0.02,0.35,9-6,33-32,57-23,28-52,59.3%,22.1%,1.9%,0.5%,42,0.593,0.005,sac,Kings
10,Los Angeles Lakers,40.1,39.9,.501,-0.84,0.25,-0.53,9-7,31-33,57-23,27-53,39.2%,9.8%,0.8%,0.2%,40,0.392,0.002,lal,Lakers
11,LA Clippers,38.8,41.2,.484,-3.08,0.35,-0.01,6-8,33-33,54-26,24-56,28.4%,5.9%,0.6%,0.2%,39,0.284,0.002,lac,Clippers
12,Utah Jazz,24.6,55.4,.308,-1.68,0.91,-9.35,4-11,21-44,38-42,12-68,0,,,0,25,0,0,uta,Jazz
13,Portland Trail Blazers,23.9,56.1,.299,-1.65,0.74,-10.25,4-11,20-45,39-41,8-72,0,,,0,24,0,0,por,Blazers
14,Memphis Grizzlies,23.3,56.7,.292,-2.41,0.66,-9.95,3-12,20-45,37-43,10-70,0,,,0,23,0,0,mem,Grizzlies
15,San Antonio Spurs,21.3,58.7,.267,1.46,0.17,-11.48,3-13,18-46,37-43,8-72,0,,,0,21,0,0,sa,Spurs
