Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,Win Conf,Win Finals,wins,make_playoffs,win_finals,unit,messenger_team
1,Boston Celtics,62.2,19.8,.758,0.50,-1.40,10.21,32-10,30-10,70-12,50-32,100.0%,96.0%,57.5%,40.1%,62,1,0.401,bos,Celtics
2,Philadelphia 76ers,55.9,26.1,.682,-0.55,-0.77,7.67,27-13,29-13,68-14,44-38,100.0%,4.0%,26.2%,14.4%,56,1,0.14400000000000002,phi,76ers
3,Milwaukee Bucks,51.1,30.9,.623,-0.84,0.37,3.09,28-13,23-18,62-20,38-44,99.4%,63.1%,4.3%,1.3%,51,0.9940000000000001,0.013000000000000001,mil,Bucks
4,Cleveland Cavaliers,48.9,33.1,.597,-0.24,-0.56,3.07,24-15,25-18,60-22,38-44,97.6%,29.6%,3.5%,0.9%,49,0.976,0.009000000000000001,cle,Cavaliers
5,New York Knicks,48.9,33.1,.597,-0.25,0.16,3.82,25-17,24-16,59-23,38-44,98.1%,,5.4%,1.9%,49,0.981,0.019,ny,Knicks
6,Indiana Pacers,45.6,36.4,.557,-0.42,0.09,1.68,24-18,22-18,56-26,34-48,89.7%,7.3%,1.6%,0.3%,46,0.897,0.003,ind,Pacers
7,Orlando Magic,44.9,37.1,.548,0.55,-1.64,1.05,22-20,23-17,56-26,33-49,85.9%,56.1%,1.0%,0.2%,45,0.8590000000000001,0.002,orl,Magic
8,Miami Heat,43.8,38.2,.534,-0.96,0.07,-0.34,24-18,20-20,55-27,33-49,77.1%,43.3%,0.3%,0,44,0.7709999999999999,0,mia,Heat
9,Chicago Bulls,37.7,44.3,.459,-0.09,-0.52,-2.23,20-23,18-21,49-33,27-55,19.0%,,,0,38,0.19,0,chi,Bulls
10,Atlanta Hawks,36.5,45.5,.445,-0.19,0.05,-2.14,18-23,18-23,48-34,25-57,13.1%,0.6%,,0,36,0.131,0,atl,Hawks
11,Brooklyn Nets,35.4,46.6,.432,-0.47,0.38,-1.81,17-24,18-23,48-34,24-58,11.1%,,,0,35,0.111,0,bkn,Nets
12,Toronto Raptors,35.1,46.9,.428,0.06,-0.36,-1.25,16-26,19-21,48-34,25-57,9.0%,,,0,35,0.09,0,tor,Raptors
13,Charlotte Hornets,18.6,63.4,.227,-0.09,0.67,-11.65,9-30,10-33,30-52,10-72,0,,,0,19,0,0,cha,Hornets
14,Washington Wizards,18.3,63.7,.223,-0.17,0.47,-9.82,7-33,11-31,30-52,10-72,0,,,0,18,0,0,wsh,Wizards
15,Detroit Pistons,14.4,67.6,.176,0.35,0.09,-10.39,4-37,10-31,27-55,6-76,0,,,0,14,0,0,det,Pistons
1,Minnesota Timberwolves,57.9,24.1,.706,0.60,-0.94,6.65,30-11,28-13,68-14,46-36,100.0%,54.3%,23.2%,9.5%,58,1,0.095,min,T-Wolves
2,Oklahoma City Thunder,56.9,25.1,.694,0.16,-0.76,8.31,28-13,29-12,67-15,45-37,100.0%,38.6%,38.8%,19.2%,57,1,0.192,okc,Thunder
3,Denver Nuggets,54.1,27.9,.659,0.36,-0.68,5.24,29-14,25-14,65-17,42-40,100.0%,7.1%,14.0%,4.7%,54,1,0.047,den,Nuggets
4,LA Clippers,52.6,29.4,.641,-0.12,-0.10,5.51,26-14,27-15,63-19,39-43,99.9%,97.9%,14.1%,4.8%,53,0.9990000000000001,0.048,lac,Clippers
5,New Orleans Pelicans,48.7,33.3,.593,-0.07,-0.11,4.32,25-18,24-15,60-22,37-45,97.9%,82.2%,6.8%,2.3%,49,0.9790000000000001,0.023,no,Pelicans
6,Dallas Mavericks,43.7,37.3,.540,-0.41,0.48,0.68,24-18,20-19,54-27,31-50,73.3%,13.6%,0.8%,0.1%,44,0.733,0.001,dal,Mavericks
7,Sacramento Kings,43.5,38.5,.530,0.24,0.57,0.51,23-18,20-21,55-27,30-52,63.6%,1.2%,0.7%,0.1%,44,0.636,0.001,sac,Kings
8,Phoenix Suns,42.5,39.5,.518,-1.40,1.19,0.41,23-18,19-22,57-25,31-51,52.6%,0.6%,0.6%,0.1%,42,0.526,0.001,phx,Suns
9,Houston Rockets,41.7,40.3,.508,0.53,-0.56,1.08,19-21,23-19,53-29,30-52,47.1%,4.2%,0.7%,0.1%,42,0.47100000000000003,0.001,hou,Rockets
10,Golden State Warriors,38.5,41.5,.482,0.92,-0.73,-0.08,18-22,21-19,52-28,26-54,22.7%,0.2%,0.2%,0,38,0.22699999999999998,0,gs,Warriors
11,Utah Jazz,39.3,41.7,.486,0.28,0.55,-1.18,22-21,17-21,50-31,28-53,22.6%,,0.1%,0,39,0.226,0,uta,Jazz
12,Los Angeles Lakers,39.4,42.6,.481,0.53,0.22,-0.87,21-22,18-21,51-31,29-53,20.4%,0.2%,0.1%,0,39,0.204,0,lal,Lakers
13,Memphis Grizzlies,31.4,50.6,.383,0.65,-0.30,-4.57,15-26,16-25,43-39,21-61,0.1%,,,0,31,0.001,0,mem,Grizzlies
14,Portland Trail Blazers,22.8,59.2,.278,0.15,1.20,-9.05,12-29,11-30,34-48,14-68,0,,,0,23,0,0,por,Blazers
15,San Antonio Spurs,18.1,63.9,.220,0.38,0.90,-8.87,7-34,11-30,31-51,9-73,0,,,0,18,0,0,sa,Spurs
