Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,Win Conf,Win Finals,unit,wins,make_playoffs,win_finals
1,Boston Celtics,58.6,23.4,.714,0.13,-0.57,8.30,19-5,40-18,69-13,44-38,100.0%,99.4%,46.5%,30.0%,Celtics,59,1,0.3
2,Cleveland Cavaliers,52.1,29.9,.636,-0.18,-0.33,6.16,15-9,37-21,65-17,39-43,99.9%,62.6%,25.2%,13.5%,Cavaliers,52,0.9990000000000001,0.135
3,Milwaukee Bucks,50.1,31.9,.611,-1.03,0.27,3.66,16-6,34-26,64-18,37-45,99.0%,37.1%,11.2%,4.9%,Bucks,50,0.99,0.049
4,Atlanta Hawks,44.0,38.0,.536,0.10,-0.25,0.84,13-10,31-28,59-23,30-52,80.6%,57.7%,3.1%,1.0%,Hawks,44,0.8059999999999999,0.01
5,Philadelphia 76ers,43.8,38.2,.534,0.06,0.01,1.84,12-11,32-27,57-25,31-51,80.6%,0.3%,4.1%,1.2%,76ers,44,0.8059999999999999,0.012
6,Toronto Raptors,43.4,38.6,.529,0.04,0.00,1.43,12-11,31-28,57-25,27-55,76.2%,0.2%,3.1%,1.1%,Raptors,43,0.762,0.011000000000000001
7,Brooklyn Nets,43.1,38.9,.526,0.41,-0.09,1.21,13-12,30-27,59-23,31-51,74.8%,0.1%,2.9%,0.7%,Nets,43,0.748,0.006999999999999999
8,Miami Heat,42.0,40.0,.513,1.48,-0.50,0.66,11-12,31-28,57-25,27-55,65.4%,35.1%,2.0%,0.5%,Heat,42,0.654,0.005
9,Chicago Bulls,39.9,42.1,.486,1.71,-0.54,0.37,9-14,31-28,53-29,23-59,44.7%,0.3%,0.9%,0.3%,Bulls,40,0.447,0.003
10,New York Knicks,38.9,43.1,.474,0.46,0.07,-0.88,11-13,28-30,55-27,25-57,32.5%,,0.6%,0.1%,Knicks,39,0.325,0.001
11,Washington Wizards,38.3,43.7,.467,0.17,-0.07,-1.38,11-13,27-31,53-29,25-57,27.2%,7.2%,0.3%,0.1%,Wizards,38,0.272,0.001
12,Indiana Pacers,37.2,44.8,.454,-1.34,0.69,-2.69,12-11,25-34,52-30,23-59,19.1%,,0.1%,0,Pacers,37,0.191,0
13,Charlotte Hornets,28.7,53.3,.350,0.15,0.37,-5.85,7-16,22-37,42-40,15-67,0.1%,,,0,Hornets,29,0.001,0
14,Detroit Pistons,26.6,55.4,.325,1.59,-0.21,-6.49,6-19,21-36,42-40,15-67,0,,,0,Pistons,27,0,0
15,Orlando Magic,26.0,56.0,.317,0.50,0.21,-6.09,5-19,21-37,39-43,13-69,0,,,0,Magic,26,0,0
1,Phoenix Suns,54.2,27.8,.661,-0.98,0.17,7.37,16-7,38-21,66-16,41-41,99.9%,87.8%,37.4%,21.0%,Suns,54,0.9990000000000001,0.21
2,New Orleans Pelicans,52.7,29.3,.642,-0.54,-0.22,6.42,15-8,38-21,66-16,37-45,99.8%,88.1%,29.0%,14.7%,Pelicans,53,0.998,0.147
3,Sacramento Kings,48.1,33.9,.587,-0.24,-0.27,3.85,13-9,35-25,62-20,34-48,95.1%,10.6%,11.4%,4.3%,Kings,48,0.951,0.043
4,Memphis Grizzlies,45.6,36.4,.557,-0.06,0.00,1.59,14-9,32-27,60-22,30-52,85.1%,7.7%,4.1%,1.3%,Grizzlies,46,0.851,0.013000000000000001
5,Utah Jazz,44.8,37.2,.547,-0.17,-0.20,1.95,14-12,31-25,58-24,26-56,82.0%,47.1%,4.7%,1.5%,Jazz,45,0.82,0.015
6,Dallas Mavericks,44.5,37.5,.542,0.21,-0.24,2.53,11-11,33-27,60-22,32-50,79.2%,4.2%,5.8%,1.7%,Mavericks,44,0.792,0.017
7,Golden State Warriors,44.0,38.0,.537,0.09,0.00,1.50,13-11,31-27,58-24,29-53,75.3%,1.6%,3.6%,1.0%,Warriors,44,0.753,0.01
8,Portland Trail Blazers,43.1,38.9,.525,0.91,-0.38,0.25,13-11,30-28,56-26,30-52,65.4%,26.0%,2.0%,0.5%,Blazers,43,0.654,0.005
9,Denver Nuggets,43.0,39.0,.524,-1.26,0.60,-0.13,14-9,29-30,59-23,29-53,64.4%,25.0%,1.4%,0.4%,Nuggets,43,0.644,0.004
10,Los Angeles Clippers,38.3,43.7,.467,-0.74,0.40,-2.49,13-11,25-33,52-30,25-57,18.5%,,0.2%,0,Clippers,38,0.185,0
11,Los Angeles Lakers,37.7,44.3,.460,-0.82,0.55,-1.19,10-12,28-32,51-31,24-58,15.4%,,0.2%,0,Lakers,38,0.154,0
12,Oklahoma City Thunder,36.6,45.4,.446,-0.79,0.56,-1.79,10-13,27-32,52-30,24-58,10.5%,1.0%,0.1%,0,Thunder,37,0.105,0
13,Minnesota Timberwolves,36.4,45.6,.444,-1.32,0.61,-2.49,11-12,25-34,51-31,23-59,9.5%,1.0%,0.1%,0,Timberwolves,36,0.095,0
14,San Antonio Spurs,20.4,61.6,.248,0.34,0.55,-11.45,6-18,14-44,34-48,8-74,0,,,0,Spurs,20,0,0
15,Houston Rockets,28.1,53.9,.342,0.80,-0.02,-6.16,6-17,22-37,41-41,16-66,0,,,0,Rockets,28,0,0
