Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,Win Conf,Win Finals,wins,make_playoffs,win_finals,unit,messenger_team
1,Boston Celtics,56.8,23.2,.710,1.78,-0.45,10.31,13-4,44-19,70-10,42-38,100.0%,60.6%,38.9%,26.6%,57,1,0.266,bos,Celtics
2,Philadelphia 76ers,55.6,24.4,.695,1.43,-0.59,10.19,12-5,44-19,68-12,40-40,100.0%,39.0%,35.8%,25.0%,56,1,0.25,phi,76ers
3,Orlando Magic,49.2,30.8,.615,-0.44,0.03,4.86,12-5,37-26,63-17,35-45,96.3%,70.3%,7.5%,3.4%,49,0.963,0.034,orl,Magic
4,Milwaukee Bucks,46.3,33.7,.578,-0.34,0.24,2.54,12-5,34-29,60-20,32-48,87.5%,65.2%,3.2%,1.2%,46,0.875,0.012,mil,Bucks
5,New York Knicks,45.9,34.1,.574,0.49,0.20,4.24,9-7,37-27,61-19,32-48,87.2%,0.4%,5.4%,2.5%,46,0.872,0.025,ny,Knicks
6,Atlanta Hawks,45.2,34.8,.566,1.62,-0.31,4.05,8-8,37-27,61-19,30-50,81.7%,23.3%,4.5%,1.8%,45,0.8170000000000001,0.018000000000000002,atl,Hawks
7,Indiana Pacers,42.9,37.1,.536,-0.82,0.30,2.06,9-7,34-30,56-24,29-51,63.8%,25.1%,1.7%,0.5%,43,0.638,0.005,ind,Pacers
8,Miami Heat,42.2,37.8,.528,-1.23,0.43,0.77,10-7,32-31,58-22,27-53,54.8%,6.4%,0.7%,0.2%,42,0.5479999999999999,0.002,mia,Heat
9,Brooklyn Nets,42.2,37.8,.527,1.26,0.19,2.01,8-8,34-30,56-24,25-55,55.9%,,1.2%,0.4%,42,0.5589999999999999,0.004,bkn,Nets
10,Cleveland Cavaliers,40.8,39.2,.510,1.79,-0.23,-0.03,9-8,32-31,54-26,26-54,40.8%,9.7%,0.6%,0.2%,41,0.408,0.002,cle,Cavaliers
11,Toronto Raptors,39.7,40.3,.496,0.88,0.31,0.41,8-9,32-31,54-26,25-55,31.8%,,0.4%,0.1%,40,0.318,0.001,tor,Raptors
12,Chicago Bulls,30.0,50.0,.375,0.91,0.32,-4.65,5-13,25-37,44-36,16-64,0.3%,,,0,30,0.003,0,chi,Bulls
13,Charlotte Hornets,27.6,52.4,.345,0.49,0.80,-7.58,5-10,23-42,42-38,15-65,0,,,0,28,0,0,cha,Hornets
14,Washington Wizards,24.7,55.3,.309,0.11,0.66,-7.77,3-14,22-41,41-39,12-68,0,,,0,25,0,0,wsh,Wizards
15,Detroit Pistons,23.3,56.7,.291,0.09,0.68,-8.03,2-15,21-42,38-42,11-69,0,,,0,23,0,0,det,Pistons
1,Minnesota Timberwolves,53.8,26.2,.672,0.70,-0.79,7.70,12-4,42-22,68-12,39-41,100.0%,57.8%,34.0%,15.3%,54,1,0.153,min,T-Wolves
2,Oklahoma City Thunder,52.4,27.6,.655,-0.72,-0.63,7.59,11-5,41-23,65-15,39-41,99.7%,35.8%,31.5%,13.7%,52,0.997,0.13699999999999998,okc,Thunder
3,Denver Nuggets,48.0,32.0,.600,-0.59,-0.49,3.52,12-6,36-26,62-18,33-47,97.0%,6.5%,10.1%,3.1%,48,0.97,0.031,den,Nuggets
4,Houston Rockets,46.5,33.5,.581,-1.07,-0.70,4.21,8-6,39-27,61-19,30-50,93.9%,74.5%,9.9%,3.1%,46,0.9390000000000001,0.031,hou,Rockets
5,Phoenix Suns,43.9,36.1,.549,-2.72,0.16,1.16,11-6,33-30,57-23,27-53,79.5%,39.7%,3.4%,0.7%,44,0.795,0.006999999999999999,phx,Suns
6,Golden State Warriors,43.3,36.7,.541,1.98,-1.05,2.15,8-9,35-28,56-24,30-50,78.2%,31.0%,4.7%,1.3%,43,0.782,0.013000000000000001,gs,Warriors
7,Sacramento Kings,41.7,38.3,.522,-0.19,0.09,0.01,9-6,33-32,57-23,27-53,61.6%,16.5%,1.6%,0.3%,42,0.616,0.003,sac,Kings
8,Dallas Mavericks,41.2,38.8,.515,-1.70,0.30,-0.57,10-6,31-33,55-25,25-55,55.6%,13.0%,1.4%,0.2%,41,0.556,0.002,dal,Mavericks
9,New Orleans Pelicans,41.4,38.6,.517,0.62,-0.64,0.51,9-9,32-30,55-25,27-53,59.5%,12.5%,1.7%,0.3%,41,0.595,0.003,no,Pelicans
10,LA Clippers,39.7,40.3,.497,-2.52,0.29,0.79,7-9,33-31,56-24,26-54,44.7%,7.9%,1.4%,0.3%,40,0.447,0.003,lac,Clippers
11,Los Angeles Lakers,38.6,41.4,.483,0.01,0.14,-1.83,10-8,29-33,55-25,25-55,30.3%,4.9%,0.4%,0.1%,39,0.303,0.001,lal,Lakers
12,Utah Jazz,27.6,52.4,.345,-1.21,0.81,-7.56,6-11,22-41,41-39,13-67,0,,,0,28,0,0,uta,Jazz
13,Portland Trail Blazers,25.6,54.4,.320,-1.01,0.64,-8.72,5-12,21-42,38-42,11-69,0,,,0,26,0,0,por,Blazers
14,Memphis Grizzlies,22.8,57.2,.285,-1.57,0.49,-10.00,3-13,20-44,37-43,10-70,0,,,0,23,0,0,mem,Grizzlies
15,San Antonio Spurs,21.1,58.9,.264,1.58,0.09,-11.31,3-14,18-45,36-44,9-71,0,,,0,21,0,0,sa,Spurs
