Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,First Round Seed1,First Round Seed2,First Round Seed3,First Round Seed4,First Round Seed5,First Round Seed6,First Round Seed7,First Round Seed8,NA,Pre Play-In1-6,Pre Play-In7,Pre Play-In8,Pre Play-In9,Pre Play-In10,Pre Play-InOut,NA,Win Conf,Win Finals
1,Boston Celtics,57.6,22.4,.720,1.30,-0.38,11.44,12-3,46-19,69-11,43-37,100.0%,85.9%,84.2,12.4,2.4,0.7,0.2,0.1,NA,NA,NA,100.0,NA,NA,NA,NA,,NA,48.6%,33.2%
2,Philadelphia 76ers,51.9,28.1,.649,1.26,-0.33,7.99,10-5,42-23,65-15,36-44,99.4%,12.7%,12.2,47.7,20.1,9.6,4.9,3.1,1.2,0.6,NA,97.6,1.3,0.7,0.3,0.1,0.1,NA,23.4%,12.9%
3,New York Knicks,47.0,33.0,.587,0.70,0.09,5.05,8-6,39-27,61-19,31-49,91.5%,1.4%,1.3,9.7,17.7,18.6,16.4,12.8,9,6,NA,76.4,9.6,6.3,4.1,2.4,1.2,NA,8.0%,3.4%
4,Milwaukee Bucks,46.7,33.3,.583,0.77,-0.03,3.43,10-5,37-28,60-20,29-51,89.9%,67.9%,0.9,10.6,17.8,18,16,12.2,8.1,6.3,NA,75.5,8.9,6.6,4.6,3,1.3,NA,4.8%,1.9%
5,Orlando Magic,46.1,33.9,.577,-0.77,0.18,3.23,10-5,36-29,61-19,32-48,87.2%,44.8%,0.8,8.8,15.8,15.9,14.1,13.6,10.4,7.8,NA,68.9,11.1,8.9,6,3.4,1.7,NA,4.3%,1.4%
6,Miami Heat,44.7,35.4,.558,-1.47,0.33,1.93,10-5,35-30,59-21,30-50,78.0%,30.2%,0.3,4.5,9.7,12.2,13.3,14.9,12.7,10.5,NA,54.8,13.6,11.9,9.6,6.1,4.0,NA,2.6%,0.9%
7,Atlanta Hawks,44.2,35.8,.553,1.90,-0.29,3.40,7-7,37-29,60-20,29-51,75.7%,25.0%,0.2,3.8,8.4,10.2,12.6,13.5,14.3,12.8,NA,48.6,14.2,13,10.7,8.1,5.4,NA,4.3%,1.6%
8,Indiana Pacers,42.7,37.3,.533,-0.20,0.21,1.72,8-6,35-31,57-23,28-52,62.5%,21.1%,0.1,1.5,4.5,7.5,9.4,10.9,14.3,14.3,NA,33.9,14.4,14.5,14.3,12.1,10.8,NA,2.0%,0.6%
,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,,
9,Cleveland Cavaliers,41.3,38.7,.516,2.18,-0.30,0.31,8-7,33-32,58-22,28-52,46.7%,11.0%,NA,0.7,2.3,4.1,6.2,8.4,11.5,13.5,NA,21.6,10.7,14.2,16.7,18,18.8,NA,0.8%,0.2%
10,Brooklyn Nets,40.1,39.9,.501,1.90,0.14,1.05,6-8,34-32,56-24,25-55,37.0%,,NA,0.3,0.9,1.9,4.1,5.7,10,14.1,NA,12.9,8.8,12.1,16.3,21.3,28.6,NA,0.8%,0.4%
11,Toronto Raptors,39.4,40.6,.492,1.32,0.20,0.12,7-8,32-33,55-25,26-54,30.7%,,NA,0.1,0.5,1.4,2.8,4.7,8.3,12.9,NA,9.5,7.3,11.3,15.9,21,35.0,NA,0.4%,0.1%
12,Chicago Bulls,31.8,48.2,.398,1.04,0.31,-3.84,5-11,27-37,46-34,12-68,1.2%,,NA,NA,NA,NA,NA,NA,0.2,1,NA,0.1,0.2,0.4,1.2,3.6,94.5,NA,,
13,Charlotte Hornets,28.5,51.5,.356,0.42,0.75,-7.30,5-9,24-42,43-37,12-68,0.1%,,NA,NA,NA,NA,NA,NA,NA,0.1,NA,,NA,0.1,0.1,0.7,99.1,NA,,
14,Detroit Pistons,27.3,52.7,.341,0.58,0.43,-5.82,2-13,25-40,43-37,14-66,0.1%,,NA,NA,NA,NA,NA,NA,NA,0.1,NA,,NA,NA,0.1,0.3,99.6,NA,,
15,Washington Wizards,24.8,55.2,.310,0.41,0.63,-8.31,2-12,23-43,41-39,12-68,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,0.1,99.9,NA,,
1,Minnesota Timberwolves,55.1,24.9,.689,1.56,-1.03,8.92,11-3,44-22,69-11,40-40,100.0%,61.3%,60.7,27.4,8.2,2.4,0.9,0.3,0.1,NA,NA,99.9,0.1,NA,NA,NA,,NA,36.0%,18.8%
2,Oklahoma City Thunder,53.0,27.0,.663,-1.28,-0.59,7.86,11-4,42-23,66-14,39-41,99.9%,31.6%,31.1,40.5,17.5,6.6,2.7,1,0.4,0.2,NA,99.3,0.4,0.2,0.1,0.1,,NA,30.1%,14.7%
3,Denver Nuggets,49.2,30.8,.615,0.06,-0.81,4.86,10-5,39-26,64-16,36-44,98.4%,7.1%,6.9,18.9,33.2,19.3,10.7,5.4,2.3,1.6,NA,94.4,3,1.4,0.8,0.4,0.1,NA,12.9%,4.5%
4,Houston Rockets,44.5,35.5,.556,-1.42,-0.66,2.81,7-6,37-30,59-21,29-51,85.0%,41.4%,0.6,4,10.9,17,16.8,14.4,12.2,9.1,NA,63.7,12.2,9.8,6.9,4.7,2.7,NA,5.4%,1.7%
5,New Orleans Pelicans,43.8,36.2,.547,2.18,-1.10,1.84,8-7,36-29,58-22,29-51,79.6%,31.0%,0.3,3,8.5,13.1,15.3,15.3,13.2,11,NA,55.5,14.1,11.6,9.1,6.2,3.5,NA,4.0%,1.1%
6,Golden State Warriors,43.6,36.4,.545,2.82,-1.34,2.63,7-9,37-27,58-22,29-51,80.8%,47.1%,0.2,2.7,8.4,14.7,15.1,15.7,13.2,10.9,NA,56.7,13.7,11.6,8.1,6.4,3.5,NA,5.3%,1.6%
7,Dallas Mavericks,43.3,36.7,.541,-1.79,0.18,0.68,10-5,33-32,58-22,29-51,76.6%,27.6%,0.2,2.1,7.3,11.5,14.9,15.4,14,11.2,NA,51.4,14.7,12.2,10,7.5,4.2,NA,2.6%,0.6%
8,Phoenix Suns,41.3,38.7,.516,-3.01,0.04,-0.21,9-6,32-33,55-25,27-53,58.8%,22.8%,NA,0.7,2.9,6.8,9.5,11.8,13.2,13.9,NA,31.7,13,14.4,15,13.8,12.1,NA,1.3%,0.2%
,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,,
9,Los Angeles Clippers,39.6,40.4,.495,-3.77,0.37,0.30,6-7,34-33,55-25,25-55,44.7%,11.5%,NA,0.3,1.4,3.3,5.3,7.8,11.3,15.4,NA,18.1,10,13.3,16.5,19.2,22.9,NA,1.4%,0.3%
10,Sacramento Kings,39.3,40.7,.491,-0.78,0.28,-1.50,8-6,31-35,55-25,24-56,38.2%,9.0%,NA,0.2,0.9,2.7,4.6,6.3,10.3,13.2,NA,14.6,9.8,12.8,17.5,20.6,24.7,NA,0.5%,0.1%
11,Los Angeles Lakers,39.2,40.8,.490,-1.45,0.38,-1.14,9-7,30-34,53-27,24-56,38.0%,9.7%,NA,0.2,0.9,2.7,4.2,6.6,9.9,13.4,NA,14.7,9.2,12.7,16.1,20.8,26.6,NA,0.6%,0.1%
12,Memphis Grizzlies,24.9,55.1,.311,-2.68,0.58,-9.26,3-11,22-44,38-42,13-67,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,0.1,99.9,NA,,
13,Utah Jazz,24.5,55.5,.306,-1.83,0.93,-9.50,4-11,21-44,40-40,10-70,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
14,Portland Trail Blazers,23.6,56.4,.295,-1.83,0.78,-10.43,4-11,20-45,37-43,11-69,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
15,San Antonio Spurs,21.2,58.8,.265,1.26,0.23,-12.14,3-12,18-47,34-46,9-71,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
