Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,First Round Seed1,First Round Seed2,First Round Seed3,First Round Seed4,First Round Seed5,First Round Seed6,First Round Seed7,First Round Seed8,NA,Pre Play-In1-6,Pre Play-In7,Pre Play-In8,Pre Play-In9,Pre Play-In10,Pre Play-InOut,NA,Win Conf,Win Finals
1,Boston Celtics,55.3,26.7,.674,-0.33,0.06,5.17,35-15,20-12,65-17,46-36,100.0%,85.9%,77,15.6,5.2,1.8,0.4,0.1,NA,NA,NA,100.0,NA,NA,NA,NA,,NA,31.3%,19.9%
2,Philadelphia 76ers,51.0,31.0,.622,-0.43,0.56,3.42,31-16,20-15,61-21,40-42,99.9%,12.4%,10.1,30,28.4,17.4,9.7,3.2,0.7,0.4,NA,98.8,0.9,0.2,0.1,NA,,NA,15.7%,8.2%
3,Cleveland Cavaliers,50.4,31.6,.614,0.07,-0.69,4.65,30-20,20-12,59-23,40-42,99.6%,66.7%,8.3,29.3,27.8,17.6,11.2,4,1,0.5,NA,98.2,1.5,0.3,0.1,NA,,NA,24.5%,14.7%
4,Milwaukee Bucks,49.1,32.9,.599,-0.10,0.18,1.46,31-17,18-16,59-23,38-44,98.8%,33.3%,3.4,16.7,18.8,25,22.6,8.9,2.2,1.2,NA,95.4,3.2,0.9,0.4,0.1,,NA,6.9%,2.9%
5,Brooklyn Nets,48.2,33.8,.588,-0.23,0.33,2.44,29-19,19-15,57-25,37-45,98.4%,1.5%,1.2,7.3,16.4,27.1,27,13.4,4.1,2,NA,92.4,5.4,1.5,0.6,0.1,0.1,NA,9.7%,4.8%
6,New York Knicks,44.2,37.8,.539,-0.18,0.45,1.86,27-23,17-15,54-28,32-50,80.9%,0.1%,0.1,0.4,1.5,4.9,11.9,26.6,21.6,14,NA,45.3,25.8,14,7.4,4.6,2.8,NA,5.6%,2.4%
7,Miami Heat,43.7,38.3,.533,0.05,0.06,0.32,27-22,17-16,53-29,33-49,76.0%,70.6%,NA,0.6,1.8,5.1,12.3,25.7,17.9,12.6,NA,45.4,22.7,12.3,8.6,5.7,5.3,NA,2.6%,0.8%
8,Atlanta Hawks,40.8,41.2,.498,-0.23,0.30,-0.66,25-24,16-17,51-31,30-52,41.2%,20.1%,NA,NA,0.2,0.7,2.4,7.6,15,15.4,NA,10.9,13.7,18.1,18,15.7,23.5,NA,0.9%,0.3%
,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,,
9,Washington Wizards,39.4,42.6,.480,0.39,-0.48,-0.30,22-26,17-17,50-32,30-52,27.1%,9.2%,NA,NA,NA,0.2,0.9,3.2,9.3,13.5,NA,4.3,7.3,12.3,15.9,18.5,41.6,NA,0.7%,0.2%
10,Chicago Bulls,39.6,42.4,.483,0.47,-0.52,0.05,22-26,18-16,50-32,29-53,30.1%,,NA,NA,NA,0.1,0.8,3.2,11.2,14.7,NA,4.1,7.9,16,17.1,17.5,37.4,NA,0.7%,0.2%
11,Toronto Raptors,39.5,42.5,.481,0.40,-0.49,0.97,22-27,17-16,50-32,29-53,28.3%,,NA,NA,NA,0.1,0.5,2.7,10.4,14.6,NA,3.3,7.2,13,16,17.3,43.2,NA,1.1%,0.4%
12,Indiana Pacers,38.7,43.3,.472,0.23,0.01,-1.47,24-26,15-17,50-32,28-54,19.3%,,NA,NA,NA,0.1,0.3,1.4,6.6,10.8,NA,1.8,4.4,11.2,15.3,19.1,48.2,NA,0.2%,
13,Orlando Magic,33.0,49.0,.403,0.16,0.12,-3.03,19-29,14-20,44-38,23-59,0.5%,0.1%,NA,NA,NA,NA,NA,NA,0.1,0.4,NA,,NA,0.2,0.5,1.3,98.0,NA,,
14,Detroit Pistons,24.1,57.9,.294,0.90,-0.60,-6.64,13-37,11-21,34-48,16-66,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
15,Charlotte Hornets,25.3,56.7,.309,0.56,-0.12,-6.04,14-36,11-21,36-46,16-66,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
