Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,Win Conf,Win Finals,wins,make_playoffs,win_finals,unit,messenger_team
1,Boston Celtics,64.9,17.1,.792,-0.39,-1.92,11.16,57-15,8-2,67-15,59-23,100.0%,100.0%,76.5%,60.8%,65,1,0.608,bos,Celtics
2,Milwaukee Bucks,52.3,29.7,.638,-0.34,0.77,3.35,46-25,6-5,57-25,46-36,100.0%,77.9%,5.5%,2.0%,52,1,0.02,mil,Bucks
3,Cleveland Cavaliers,50.2,31.8,.612,-0.29,-1.64,3.13,44-28,6-4,54-28,45-37,99.9%,21.9%,4.8%,1.7%,50,0.9990000000000001,0.017,cle,Cavaliers
4,New York Knicks,49.6,32.4,.604,-0.22,0.27,4.09,43-28,7-4,54-28,44-38,99.9%,,6.7%,2.8%,50,0.9990000000000001,0.027999999999999997,ny,Knicks
5,Orlando Magic,48.2,33.8,.588,-0.51,-0.53,1.58,42-29,6-5,53-29,42-40,98.7%,87.1%,1.7%,0.5%,48,0.987,0.005,orl,Magic
6,Indiana Pacers,46.2,35.8,.563,-0.17,-0.32,2.20,41-32,5-4,50-32,41-41,93.1%,0.2%,2.5%,0.6%,46,0.9309999999999999,0.006,ind,Pacers
7,Miami Heat,45.1,36.9,.551,-0.45,-1.40,0.26,39-32,6-5,50-32,39-43,83.1%,12.9%,0.5%,0.1%,45,0.831,0.001,mia,Heat
8,Philadelphia 76ers,44.9,37.1,.548,-0.33,-1.37,1.79,39-33,6-4,49-33,40-42,84.9%,,1.6%,0.4%,45,0.8490000000000001,0.004,phi,76ers
9,Chicago Bulls,38.4,43.6,.468,-0.32,0.02,-2.10,34-38,4-6,44-38,34-48,19.6%,,,0,38,0.196,0,chi,Bulls
10,Atlanta Hawks,37.0,45.0,.451,-0.23,0.11,-1.74,32-39,5-6,42-40,32-50,20.7%,,,0,37,0.207,0,atl,Hawks
11,Brooklyn Nets,31.8,50.2,.387,0.07,-1.27,-2.52,27-45,5-5,37-45,27-55,0.3%,,,0,32,0.003,0,bkn,Nets
12,Toronto Raptors,26.4,55.6,.322,-0.16,0.72,-5.16,23-49,3-7,32-50,23-59,0,,,0,26,0,0,tor,Raptors
13,Charlotte Hornets,19.0,63.0,.232,-0.29,3.23,-10.96,17-54,2-9,24-58,17-65,0,,,0,19,0,0,cha,Hornets
14,Washington Wizards,16.9,65.1,.206,0.13,-0.37,-9.62,14-58,3-7,22-60,14-68,0,,,0,17,0,0,wsh,Wizards
15,Detroit Pistons,15.1,66.9,.184,0.42,-2.50,-8.65,12-60,3-7,20-62,12-70,0,,,0,15,0,0,det,Pistons
1,Denver Nuggets,57.5,24.5,.701,0.02,-0.29,4.86,51-21,6-4,61-21,52-30,100.0%,40.7%,14.5%,3.6%,58,1,0.036000000000000004,den,Nuggets
2,Oklahoma City Thunder,56.7,25.3,.691,-0.32,1.48,7.09,49-21,8-4,61-21,51-31,100.0%,30.4%,30.9%,11.6%,57,1,0.11599999999999999,okc,Thunder
3,Minnesota Timberwolves,56.7,25.3,.692,0.06,-0.95,6.68,49-22,8-3,60-22,51-31,100.0%,28.9%,27.5%,9.6%,57,1,0.096,min,T-Wolves
4,New Orleans Pelicans,50.7,31.3,.618,-0.24,1.64,5.10,44-27,7-4,55-27,45-37,99.4%,87.5%,13.9%,3.8%,51,0.9940000000000001,0.038,no,Pelicans
5,LA Clippers,50.6,31.4,.617,0.12,0.12,3.63,44-27,7-4,55-27,45-37,99.3%,90.3%,6.4%,1.4%,51,0.993,0.013999999999999999,lac,Clippers
6,Dallas Mavericks,48.0,34.0,.585,0.17,-0.25,1.89,42-29,6-5,53-29,42-40,86.6%,12.5%,2.2%,0.4%,48,0.866,0.004,dal,Mavericks
7,Sacramento Kings,47.6,34.4,.580,0.29,2.14,1.85,42-29,6-5,53-29,42-40,84.5%,8.3%,1.9%,0.3%,48,0.845,0.003,sac,Kings
8,Phoenix Suns,46.2,35.8,.563,-0.63,4.77,2.29,42-30,4-6,52-30,42-40,62.9%,1.2%,1.6%,0.3%,46,0.629,0.003,phx,Suns
9,Los Angeles Lakers,44.7,37.3,.545,0.65,-0.68,0.71,39-32,6-5,50-32,39-43,36.0%,0.2%,0.4%,0,45,0.36,0,lal,Lakers
10,Golden State Warriors,43.0,39.0,.524,0.46,-1.61,1.98,36-34,7-5,48-34,36-46,23.3%,,0.6%,0.1%,43,0.233,0.001,gs,Warriors
11,Houston Rockets,41.6,40.4,.508,-0.05,0.93,1.79,36-35,6-5,47-35,36-46,8.0%,,0.2%,0,42,0.08,0,hou,Rockets
12,Utah Jazz,32.5,49.5,.396,0.50,1.78,-3.67,29-43,3-7,38-44,29-53,0,,,0,32,0,0,uta,Jazz
13,Memphis Grizzlies,27.6,54.4,.337,0.60,-0.79,-6.30,24-48,4-6,33-49,24-58,0,,,0,28,0,0,mem,Grizzlies
14,Portland Trail Blazers,21.9,60.1,.267,0.77,0.14,-7.43,19-53,3-7,27-55,19-63,0,,,0,22,0,0,por,Blazers
15,San Antonio Spurs,18.9,63.1,.231,0.65,1.11,-6.78,16-56,3-7,25-57,16-66,0,,,0,19,0,0,sa,Spurs
