Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,Win Conf,Win Finals,wins,make_playoffs,win_finals,unit,messenger_team
1,Boston Celtics,58.5,22.5,.722,1.29,-0.43,10.84,14-4,44-19,71-10,46-35,100.0%,65.3%,42.1%,30.1%,58,1,0.301,bos,Celtics
2,Philadelphia 76ers,57.0,25.0,.695,1.41,-0.72,10.18,12-5,45-20,70-12,43-39,100.0%,34.1%,34.4%,23.2%,57,1,0.23199999999999998,phi,76ers
3,Orlando Magic,50.3,31.7,.613,-0.65,-0.13,4.65,12-5,38-27,64-18,35-47,96.5%,82.1%,6.2%,2.6%,50,0.965,0.026000000000000002,orl,Magic
4,New York Knicks,47.6,33.4,.588,-0.10,0.26,4.84,10-7,38-26,62-19,34-47,90.5%,0.6%,6.5%,2.7%,48,0.905,0.027000000000000003,ny,Knicks
5,Milwaukee Bucks,47.6,33.4,.587,-0.47,0.27,2.64,13-5,35-28,62-19,35-46,89.8%,64.4%,3.1%,1.1%,48,0.898,0.011000000000000001,mil,Bucks
6,Brooklyn Nets,44.4,37.6,.542,1.07,0.05,2.48,9-8,35-30,60-22,30-52,66.2%,,2.1%,0.6%,44,0.662,0.006,bkn,Nets
7,Cleveland Cavaliers,44.2,37.8,.539,1.83,-0.37,1.39,10-8,34-30,58-24,30-52,64.2%,18.4%,1.1%,0.4%,44,0.642,0.004,cle,Cavaliers
8,Atlanta Hawks,43.9,38.1,.536,1.61,-0.14,2.55,8-9,36-29,59-23,30-52,62.2%,11.6%,2.0%,0.8%,44,0.622,0.008,atl,Hawks
9,Indiana Pacers,43.2,37.8,.534,-0.87,0.37,2.01,9-7,34-31,57-24,28-53,59.4%,17.3%,1.5%,0.5%,43,0.594,0.005,ind,Pacers
10,Miami Heat,42.6,39.4,.519,-1.02,0.28,0.48,10-8,33-31,58-24,28-54,47.3%,6.3%,0.7%,0.2%,43,0.473,0.002,mia,Heat
11,Toronto Raptors,39.9,42.1,.486,1.03,0.05,-0.08,8-10,32-32,56-26,25-57,23.9%,,0.4%,0.1%,40,0.239,0.001,tor,Raptors
12,Chicago Bulls,30.0,52.0,.365,1.35,-0.19,-5.34,5-14,25-38,45-37,17-65,0.1%,,,0,30,0.001,0,chi,Bulls
13,Charlotte Hornets,27.1,54.9,.330,0.70,0.57,-8.36,5-11,22-44,41-41,13-69,0,,,0,27,0,0,cha,Hornets
14,Washington Wizards,24.8,57.2,.303,-0.14,0.80,-8.02,3-14,22-43,40-42,11-71,0,,,0,25,0,0,wsh,Wizards
15,Detroit Pistons,23.8,58.2,.290,-0.13,0.57,-8.25,2-15,22-43,37-45,11-71,0,,,0,24,0,0,det,Pistons
1,Minnesota Timberwolves,56.1,25.9,.685,0.99,-1.27,7.76,13-4,43-22,70-12,42-40,100.0%,70.4%,35.2%,16.1%,56,1,0.161,min,T-Wolves
2,Oklahoma City Thunder,53.1,28.9,.648,-0.26,-0.70,7.38,11-6,42-23,65-17,35-47,99.7%,24.6%,31.2%,13.5%,53,0.997,0.135,okc,Thunder
3,Denver Nuggets,49.0,33.0,.597,-0.66,-0.46,3.45,12-6,37-27,63-19,33-49,96.2%,5.0%,10.3%,3.1%,49,0.9620000000000001,0.031,den,Nuggets
4,Houston Rockets,46.2,35.8,.564,-1.08,-0.54,3.45,8-7,38-29,62-20,31-51,87.5%,57.2%,7.3%,2.1%,46,0.875,0.021,hou,Rockets
5,Phoenix Suns,44.3,36.7,.547,-2.79,0.07,1.10,11-6,33-31,58-23,31-50,77.3%,35.2%,3.6%,0.8%,44,0.773,0.008,phx,Suns
6,Golden State Warriors,44.0,38.0,.536,1.91,-1.13,2.02,8-10,36-28,61-21,30-52,73.2%,27.4%,4.5%,1.1%,44,0.732,0.011000000000000001,gs,Warriors
7,Dallas Mavericks,43.7,38.3,.532,-1.51,-0.09,-0.09,11-6,33-32,60-22,28-54,68.0%,27.1%,1.7%,0.2%,44,0.68,0.002,dal,Mavericks
8,Sacramento Kings,43.0,38.0,.531,-0.07,-0.01,0.19,10-6,33-32,57-24,28-53,66.5%,23.8%,2.1%,0.3%,43,0.665,0.003,sac,Kings
9,New Orleans Pelicans,41.7,39.3,.515,0.56,-0.69,0.45,9-9,33-30,57-24,29-52,57.0%,15.7%,2.0%,0.3%,42,0.57,0.003,no,Pelicans
10,LA Clippers,40.9,41.1,.499,-2.48,0.13,0.83,7-9,34-32,54-28,22-60,44.4%,9.0%,1.7%,0.3%,41,0.444,0.003,lac,Clippers
11,Los Angeles Lakers,39.2,41.8,.484,0.00,0.07,-1.84,10-8,29-34,55-26,23-58,30.1%,4.6%,0.4%,0,39,0.301,0,lal,Lakers
12,Utah Jazz,28.2,53.8,.344,-1.27,0.72,-7.62,6-11,22-43,44-38,16-66,0.1%,,,0,28,0.001,0,uta,Jazz
13,Portland Trail Blazers,26.3,55.7,.320,-1.00,0.56,-8.70,5-12,21-44,41-41,14-68,0,,,0,26,0,0,por,Blazers
14,Memphis Grizzlies,23.5,58.5,.287,-1.60,0.40,-10.04,3-13,20-46,41-41,10-72,0,,,0,24,0,0,mem,Grizzlies
15,San Antonio Spurs,21.7,60.3,.264,1.53,0.05,-11.35,3-14,19-46,36-46,10-72,0,,,0,22,0,0,sa,Spurs
