Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,First Round Seed1,First Round Seed2,First Round Seed3,First Round Seed4,First Round Seed5,First Round Seed6,First Round Seed7,First Round Seed8,NA,Pre Play-In1-6,Pre Play-In7,Pre Play-In8,Pre Play-In9,Pre Play-In10,Pre Play-InOut,NA,Win Conf,Win Finals
1,Boston Celtics,54.6,27.4,.666,-0.17,-0.20,5.68,27-12,28-15,66-16,41-41,100.0%,71.5%,60.7,23.3,10.6,3.8,1.2,0.3,0.1,NA,NA,99.9,0.1,NA,NA,NA,,NA,33.2%,21.7%
2,Brooklyn Nets,52.0,30.0,.634,-0.03,-0.03,4.02,26-13,26-17,63-19,40-42,99.8%,24.6%,20.8,31.2,27,12.6,5.4,2.1,0.5,0.2,NA,99.2,0.6,0.1,0.1,NA,,NA,17.3%,9.2%
3,Cleveland Cavaliers,50.9,31.1,.620,-0.11,-0.29,4.60,25-15,26-16,62-20,40-42,99.7%,76.2%,14.2,28.6,26.6,16.6,8.6,3.6,1,0.5,NA,98.2,1.4,0.3,0.1,NA,,NA,21.2%,12.1%
4,Philadelphia 76ers,47.8,34.2,.583,-0.29,0.32,3.10,23-15,25-19,61-21,36-46,97.0%,3.6%,2.4,7.8,15.4,25.3,23.2,13.9,5.9,3.1,NA,88.0,6.9,3.3,1.3,0.4,0.2,NA,11.0%,5.2%
5,Milwaukee Bucks,47.3,34.7,.576,-0.15,0.23,1.06,25-14,22-21,58-24,35-47,94.5%,21.4%,1.6,7.3,13.4,22.1,22.9,16.4,6.8,4,NA,83.7,8.9,4.4,2,0.7,0.3,NA,4.4%,1.7%
6,New York Knicks,45.3,36.7,.552,-0.33,0.44,2.54,22-18,23-19,57-25,34-48,89.0%,0.4%,0.2,1.3,4.9,12.4,20.5,25.9,14.5,9.3,NA,65.2,16.3,9.9,5,2.3,1.3,NA,7.2%,3.4%
7,Indiana Pacers,43.0,39.0,.524,0.16,0.03,0.09,22-18,21-21,54-28,31-51,68.1%,2.1%,0.1,0.3,1.5,4,8.7,15.8,20.5,17.2,NA,30.4,22.5,20.1,14.8,7.1,5.1,NA,2.0%,0.6%
8,Miami Heat,40.9,41.1,.498,-0.37,0.55,-0.59,21-19,20-22,52-30,30-52,48.8%,63.1%,NA,0.1,0.4,1.7,4.8,8.9,16.7,16.4,NA,15.8,16.6,18.4,16,14.4,18.9,NA,1.0%,0.3%
,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,,
9,Chicago Bulls,40.6,41.4,.495,0.88,-0.62,0.24,18-21,23-20,51-31,29-53,44.5%,0.3%,NA,NA,0.3,1.1,2.7,7.2,15.5,17.7,NA,11.3,13.2,18.5,21.3,16.6,19.2,NA,1.5%,0.6%
10,Washington Wizards,38.4,43.6,.468,0.61,-0.47,-0.39,17-23,21-21,52-30,26-56,23.3%,22.2%,NA,NA,0.1,0.3,1,2.6,7.5,11.8,NA,3.9,5.8,9.8,13.9,20.2,46.4,NA,0.4%,0.1%
11,Atlanta Hawks,37.4,44.6,.456,-0.32,0.35,-1.60,18-21,19-24,50-32,26-56,14.3%,14.7%,NA,NA,NA,0.2,0.5,1.5,4.5,7.7,NA,2.1,3.6,6.7,10.3,16.9,60.4,NA,0.1%,
12,Toronto Raptors,38.2,43.8,.465,0.64,-0.41,0.33,16-23,22-21,49-33,27-55,20.8%,,NA,NA,NA,0.1,0.5,1.8,6.4,12.1,NA,2.4,4.2,8.5,15.1,20.8,49.0,NA,0.6%,0.2%
13,Orlando Magic,30.3,51.7,.370,-0.13,0.47,-4.03,14-25,16-27,41-41,19-63,0.1%,0.1%,NA,NA,NA,NA,NA,NA,NA,0.1,NA,,NA,0.1,0.2,0.4,99.3,NA,,
14,Charlotte Hornets,25.8,56.2,.315,0.46,0.12,-5.79,11-29,15-27,39-43,15-67,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
15,Detroit Pistons,24.6,57.4,.300,0.63,0.02,-6.56,11-31,14-26,36-46,15-67,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
1,Memphis Grizzlies,52.9,29.1,.645,0.01,-0.50,4.96,25-13,28-16,65-17,41-41,100.0%,73.4%,57.4,25.2,11.7,3.8,1.3,0.4,0.1,0.1,NA,99.8,0.1,NA,NA,NA,,NA,31.7%,17.1%
2,Denver Nuggets,50.2,31.8,.613,-0.36,0.11,2.56,26-13,24-19,61-21,37-45,99.7%,95.4%,21.3,35.9,25.9,9.6,4.2,1.8,0.7,0.3,NA,98.8,0.7,0.3,0.1,0.1,,NA,13.4%,5.1%
3,New Orleans Pelicans,50.1,31.9,.611,-0.13,-0.32,4.23,24-15,26-17,63-19,38-44,99.6%,24.1%,18.5,28.4,30.8,12.9,5.4,2.2,0.9,0.5,NA,98.2,1,0.4,0.2,0.1,,NA,23.9%,12.1%
4,Dallas Mavericks,45.4,36.6,.553,0.10,-0.29,1.62,22-17,23-20,58-24,33-49,91.5%,2.5%,1.5,4.3,11.3,23.9,22.9,14.3,7.8,5.6,NA,78.2,8.9,5.6,3.3,2.2,1.8,NA,7.6%,2.8%
5,Sacramento Kings,44.2,37.8,.539,0.01,-0.35,1.18,20-17,24-21,56-26,33-49,82.7%,43.9%,0.7,3.1,8.4,17.4,17.4,16.6,11.2,7.8,NA,63.6,12,9.1,6.2,4.2,4.9,NA,6.1%,2.0%
6,Phoenix Suns,43.5,38.5,.531,0.14,-0.08,2.27,20-20,24-18,54-28,32-50,81.5%,41.2%,0.3,1.9,6.5,15.8,17.7,16.4,13.1,9.8,NA,58.6,13,10.2,7.5,4.9,5.8,NA,8.6%,3.3%
7,Portland Trail Blazers,41.4,40.6,.505,-0.30,0.21,0.18,19-19,22-22,54-28,30-52,54.9%,2.0%,0.1,0.5,1.7,4.4,9,12.3,13.6,13.3,NA,28.0,13.4,13.7,12,11.6,21.4,NA,2.0%,0.7%
8,Utah Jazz,41.6,40.4,.508,-0.11,-0.02,0.89,20-21,22-19,52-30,30-52,58.8%,2.0%,0.1,0.4,1.7,5,9.1,12.5,15.6,14.5,NA,28.7,14.9,15.2,13.2,11.6,16.5,NA,3.4%,0.9%
,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,,
9,Golden State Warriors,40.6,41.4,.495,-0.11,0.17,-0.54,20-19,21-22,52-30,30-52,45.7%,10.1%,NA,0.2,1.3,3.9,6,9.5,12,12.7,NA,21.0,12.8,13.5,13.3,12.5,26.9,NA,1.5%,0.5%
10,Los Angeles Clippers,39.2,42.8,.479,-0.69,0.60,-1.72,21-20,18-23,51-31,29-53,27.0%,3.6%,NA,0.1,0.3,1.3,2.4,4.6,8,10.3,NA,8.7,7.9,10.2,13,15.3,45.0,NA,0.4%,0.1%
11,Minnesota Timberwolves,38.8,43.2,.473,-0.28,0.23,-0.83,19-21,20-22,51-31,28-54,25.1%,0.4%,NA,NA,0.2,1,2.1,4.2,7.2,10.3,NA,7.6,6.6,9.4,13.1,14.3,49.2,NA,0.7%,0.2%
12,Oklahoma City Thunder,38.1,43.9,.464,0.20,-0.04,-0.31,17-22,21-22,50-32,25-57,21.2%,0.3%,NA,NA,0.1,0.5,1.7,3.3,6.4,9.2,NA,5.6,5.6,7.7,10.2,12.6,58.3,NA,0.8%,0.2%
13,Los Angeles Lakers,37.5,44.5,.457,-0.47,0.56,-1.42,18-21,19-24,50-32,26-56,12.5%,1.3%,NA,NA,0.1,0.4,0.9,2,3.5,5.7,NA,3.3,3.3,4.7,7.8,10.7,70.3,NA,0.2%,0.1%
14,San Antonio Spurs,24.8,57.2,.303,0.15,0.51,-8.52,13-26,12-31,36-46,15-67,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
15,Houston Rockets,24.4,57.6,.297,0.33,0.21,-6.45,10-29,14-29,37-45,13-69,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
