Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,Win Conf,Win Finals,wins,make_playoffs,win_finals,unit
1,Milwaukee Bucks,57.0,25.0,.695,-0.07,0.09,3.88,48-19,9-6,62-20,51-31,100.0%,98.8%,16.6%,9.6%,57,1,0.096,mil
2,Boston Celtics,56.2,25.8,.686,0.01,-0.85,5.49,47-21,9-5,61-21,49-33,100.0%,89.9%,29.8%,20.2%,56,1,0.20199999999999999,bos
3,Philadelphia 76ers,53.5,28.5,.653,-0.20,1.10,4.10,45-22,9-6,60-22,45-37,100.0%,10.1%,16.3%,9.9%,54,1,0.099,phi
4,Cleveland Cavaliers,51.2,30.8,.624,0.04,-1.44,5.40,43-27,8-4,55-27,45-37,100.0%,1.2%,24.2%,16.2%,51,1,0.162,cle
5,New York Knicks,47.2,34.8,.576,0.18,-0.71,2.84,40-30,7-5,52-30,41-41,99.4%,,7.0%,3.8%,47,0.9940000000000001,0.038,ny
6,Brooklyn Nets,46.7,35.3,.569,0.18,0.05,1.09,39-29,8-6,53-29,40-42,98.3%,,2.9%,1.2%,47,0.983,0.012,bkn
7,Miami Heat,42.3,39.7,.515,0.23,-0.05,-0.59,36-33,6-7,49-33,36-46,67.4%,71.4%,0.7%,0.2%,42,0.674,0.002,mia
8,Atlanta Hawks,41.2,40.8,.502,0.02,0.11,0.06,34-34,7-7,47-35,35-47,59.3%,26.5%,1.1%,0.4%,41,0.593,0.004,atl
9,Chicago Bulls,38.8,43.2,.473,0.10,0.17,0.81,31-36,8-7,45-37,31-51,26.8%,,0.7%,0.2%,39,0.268,0.002,chi
10,Toronto Raptors,39.1,42.9,.477,0.09,0.47,0.29,32-36,7-7,45-37,33-49,27.8%,,0.5%,0.1%,39,0.278,0.001,tor
11,Washington Wizards,38.2,43.8,.466,0.24,-0.49,-0.27,31-37,7-7,44-38,32-50,14.9%,2.1%,0.3%,0.1%,38,0.149,0.001,wsh
12,Indiana Pacers,36.8,45.2,.449,0.12,0.82,-2.00,31-37,6-8,43-39,31-51,6.0%,,,0,37,0.06,0,ind
13,Orlando Magic,33.8,48.2,.412,0.16,0.20,-2.57,28-40,6-8,41-41,28-54,0.1%,,,0,34,0.001,0,orl
14,Detroit Pistons,19.3,62.7,.235,0.60,-0.36,-6.97,15-53,4-10,26-56,15-67,0,,,0,19,0,0,det
15,Charlotte Hornets,26.1,55.9,.318,0.22,0.82,-5.48,22-48,4-8,34-48,22-60,0,,,0,26,0,0,cha
1,Denver Nuggets,54.0,28.0,.659,-0.40,0.31,3.51,46-22,8-6,60-22,48-34,100.0%,100.0%,26.3%,11.7%,54,1,0.11699999999999999,den
2,Memphis Grizzlies,50.2,31.8,.613,-0.09,-1.42,3.79,40-26,10-6,56-26,43-39,100.0%,99.9%,26.6%,11.9%,50,1,0.11900000000000001,mem
3,Sacramento Kings,48.8,33.2,.595,-0.49,0.28,2.37,40-26,9-7,55-27,42-40,100.0%,86.8%,14.6%,5.1%,49,1,0.051,sac
4,Phoenix Suns,45.3,36.7,.552,-0.10,0.40,2.12,37-30,8-7,51-31,38-44,98.8%,12.7%,13.3%,4.6%,45,0.988,0.046,phx
5,Golden State Warriors,42.1,39.9,.513,-0.09,-0.11,0.41,35-33,7-7,49-33,36-46,71.0%,0.4%,3.4%,0.9%,42,0.71,0.009000000000000001,gs
6,LA Clippers,42.2,39.8,.515,-0.33,0.72,-0.32,36-33,6-7,48-34,37-45,67.7%,0.2%,2.3%,0.5%,42,0.677,0.005,lac
7,Dallas Mavericks,41.7,40.3,.508,0.00,-1.33,0.68,34-34,8-6,48-34,35-47,65.0%,0.1%,3.8%,1.0%,42,0.65,0.01,dal
8,New Orleans Pelicans,40.9,41.1,.499,0.08,-1.56,0.74,33-35,8-6,47-35,34-48,51.0%,,2.9%,0.7%,41,0.51,0.006999999999999999,no
9,Minnesota Timberwolves,40.4,41.6,.493,-0.22,0.31,-0.54,34-34,6-8,47-35,34-48,42.5%,,1.3%,0.3%,40,0.425,0.003,min
10,Oklahoma City Thunder,40.7,41.3,.496,-0.05,-0.54,1.48,33-35,8-6,47-35,35-47,45.7%,,3.8%,1.1%,41,0.457,0.011000000000000001,okc
11,Los Angeles Lakers,40.1,41.9,.489,0.07,-0.81,-0.56,33-35,7-7,46-36,34-48,29.0%,,0.9%,0.2%,40,0.29,0.002,lal
12,Utah Jazz,39.6,42.4,.483,-0.31,1.05,-0.26,33-35,7-7,46-36,33-49,25.8%,,0.8%,0.2%,40,0.258,0.002,uta
13,Portland Trail Blazers,37.4,44.6,.456,-0.19,0.64,-1.47,31-37,6-8,44-38,31-51,3.5%,,0.1%,0,37,0.035,0,por
14,Houston Rockets,19.0,63.0,.231,0.10,0.93,-8.10,15-52,4-11,26-56,15-67,0,,,0,19,0,0,hou
15,San Antonio Spurs,20.2,61.8,.246,0.07,1.01,-9.94,17-50,3-12,27-55,17-65,0,,,0,20,0,0,sa
