Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,Win Conf,Win Finals,wins,make_playoffs,win_finals,unit
1,Boston Celtics,56.5,25.5,.689,-0.13,-0.18,5.31,45-19,12-6,63-19,49-33,100.0%,96.3%,28.0%,18.4%,56,1,0.184,bos
2,Milwaukee Bucks,56.4,25.6,.687,-0.08,0.02,3.93,45-18,11-8,63-19,49-33,100.0%,96.6%,17.1%,9.5%,56,1,0.095,mil
3,Philadelphia 76ers,51.9,30.1,.632,-0.13,0.68,3.69,41-22,11-8,59-23,44-38,100.0%,3.7%,13.7%,7.3%,52,1,0.073,phi
4,Cleveland Cavaliers,50.8,31.2,.620,0.08,-1.27,5.61,40-26,11-5,56-26,44-38,100.0%,3.4%,27.0%,17.6%,51,1,0.17600000000000002,cle
5,New York Knicks,48.1,33.9,.586,0.15,-0.43,3.27,38-27,10-7,55-27,40-42,99.6%,0.1%,8.3%,4.3%,48,0.996,0.043,ny
6,Brooklyn Nets,45.1,36.9,.550,0.29,-0.27,0.71,35-28,10-9,53-29,37-45,92.9%,,2.2%,0.9%,45,0.929,0.009000000000000001,bkn
7,Miami Heat,42.0,40.0,.512,0.11,0.53,-0.61,34-31,8-9,49-33,36-46,61.4%,59.8%,0.9%,0.3%,42,0.614,0.003,mia
8,Atlanta Hawks,40.9,41.1,.499,-0.07,0.39,0.00,32-32,9-9,49-33,34-48,46.4%,23.7%,0.8%,0.3%,41,0.46399999999999997,0.003,atl
9,Washington Wizards,40.0,42.0,.487,0.19,-0.28,0.16,30-33,10-9,48-34,32-50,34.6%,16.5%,0.8%,0.3%,40,0.34600000000000003,0.003,wsh
10,Toronto Raptors,40.5,41.5,.494,0.03,0.53,0.60,32-33,9-8,48-34,33-49,43.4%,,1.0%,0.3%,40,0.434,0.003,tor
11,Chicago Bulls,38.5,43.5,.469,0.23,-0.32,0.57,29-35,9-9,46-36,31-51,18.6%,,0.4%,0.2%,38,0.18600000000000003,0.002,chi
12,Indiana Pacers,35.9,46.1,.437,0.29,0.08,-2.18,28-36,8-10,44-38,29-53,2.7%,,,0,36,0.027000000000000003,0,ind
13,Orlando Magic,34.6,47.4,.422,0.14,0.26,-2.63,27-37,8-10,43-39,28-54,0.4%,,,0,35,0.004,0,orl
14,Detroit Pistons,21.0,61.0,.256,0.77,-0.76,-6.91,15-49,6-12,29-53,15-67,0,,,0,21,0,0,det
15,Charlotte Hornets,25.6,56.4,.313,0.20,0.75,-5.74,20-45,6-11,33-49,20-62,0,,,0,26,0,0,cha
1,Denver Nuggets,56.1,25.9,.685,-0.33,-0.22,4.23,45-19,11-7,63-19,48-34,100.0%,100.0%,32.3%,15.8%,56,1,0.158,den
2,Memphis Grizzlies,50.7,31.3,.618,-0.08,-1.17,3.89,38-24,13-7,57-25,42-40,100.0%,99.4%,26.6%,12.9%,51,1,0.129,mem
3,Sacramento Kings,47.1,34.9,.574,-0.62,0.65,1.92,37-26,10-9,55-27,40-42,99.5%,69.8%,11.4%,3.6%,47,0.995,0.036000000000000004,sac
4,Phoenix Suns,44.7,37.3,.545,-0.15,0.58,1.78,35-29,10-8,52-30,37-45,95.7%,24.3%,10.2%,3.6%,45,0.9570000000000001,0.036000000000000004,phx
5,Golden State Warriors,43.0,39.0,.524,-0.25,0.38,0.73,34-30,9-9,50-32,36-46,83.6%,5.8%,4.5%,1.1%,43,0.836,0.011000000000000001,gs
6,Dallas Mavericks,42.7,39.3,.520,-0.07,-0.77,0.82,33-31,10-8,50-32,34-48,80.1%,0.5%,4.7%,1.2%,43,0.8009999999999999,0.012,dal
7,Minnesota Timberwolves,41.5,40.5,.507,-0.28,0.51,-0.25,34-32,8-8,50-32,35-47,64.2%,,2.4%,0.4%,42,0.642,0.004,min
8,New Orleans Pelicans,41.0,41.0,.500,0.06,-1.05,0.84,31-33,10-8,49-33,33-49,54.1%,0.1%,3.2%,0.8%,41,0.541,0.008,no
9,LA Clippers,40.4,41.6,.493,-0.44,1.10,-0.80,33-33,7-9,47-35,33-49,36.2%,0.1%,1.0%,0.2%,40,0.36200000000000004,0.002,lac
10,Oklahoma City Thunder,39.6,42.4,.483,0.10,-0.84,1.53,29-34,11-8,47-35,32-50,31.4%,,2.2%,0.7%,40,0.314,0.006999999999999999,okc
11,Utah Jazz,39.7,42.3,.484,-0.20,0.39,-0.17,31-33,9-9,48-34,32-50,31.4%,,1.2%,0.3%,40,0.314,0.003,uta
12,Los Angeles Lakers,38.8,43.2,.473,0.00,-0.24,-1.03,30-34,9-9,47-35,31-51,15.7%,,0.4%,0.1%,39,0.157,0.001,lal
13,Portland Trail Blazers,37.6,44.4,.459,-0.19,0.44,-1.08,29-34,9-10,45-37,29-53,8.3%,,0.2%,0,38,0.083,0,por
14,Houston Rockets,19.4,62.6,.237,0.29,0.21,-8.31,14-49,5-14,27-55,14-68,0,,,0,19,0,0,hou
15,San Antonio Spurs,20.1,61.9,.245,0.10,0.75,-9.83,16-48,4-14,28-54,16-66,0,,,0,20,0,0,sa
