Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,First Round Seed1,First Round Seed2,First Round Seed3,First Round Seed4,First Round Seed5,First Round Seed6,First Round Seed7,First Round Seed8,NA,Pre Play-In1-6,Pre Play-In7,Pre Play-In8,Pre Play-In9,Pre Play-In10,Pre Play-InOut,NA,Win Conf,Win Finals
1,Boston Celtics,62.4,19.6,.761,0.49,-0.88,10.55,26-7,36-13,74-8,49-33,100.0%,85.3%,84.7,13.8,1.5,NA,NA,NA,NA,NA,NA,100.0,NA,NA,NA,NA,,NA,50.6%,34.6%
2,Philadelphia 76ers,58.3,23.7,.711,-0.57,-0.69,9.59,23-10,35-14,69-13,46-36,100.0%,14.7%,14.4,71.4,13.4,0.7,0.1,NA,NA,NA,NA,100.0,NA,NA,NA,NA,,NA,37.1%,23.6%
3,Milwaukee Bucks,53.0,29.0,.647,-1.13,0.38,4.45,24-9,29-20,64-18,40-42,99.9%,93.0%,0.9,14.1,69.3,10.8,3.1,1.2,0.4,0.1,NA,99.4,0.5,0.1,NA,NA,,NA,6.1%,2.3%
4,Orlando Magic,46.8,35.2,.571,0.06,-0.78,2.00,19-14,28-21,59-23,34-48,94.2%,71.2%,NA,0.4,7.8,34.4,22.5,14.3,9.1,5.7,NA,79.4,11.1,6.1,2.5,0.6,0.3,NA,2.0%,0.5%
5,Indiana Pacers,44.5,37.5,.543,-0.46,0.27,1.54,18-14,27-23,57-25,31-51,84.9%,3.9%,NA,0.1,2.7,13.2,18.6,20.7,18,11.7,NA,55.2,19.7,15,6.1,2.3,1.7,NA,1.4%,0.3%
6,New York Knicks,45.3,36.7,.552,0.48,0.02,2.06,18-15,27-22,57-25,33-49,89.3%,,NA,0.1,2.2,16.5,21.8,21.8,16.9,10,NA,62.3,18.3,12.8,4.4,1.6,0.7,NA,1.5%,0.4%
7,Cleveland Cavaliers,44.7,37.3,.545,1.03,-0.95,0.94,18-15,27-22,59-23,33-49,84.8%,3.1%,NA,0.1,2.2,12.3,18,21,19.3,12,NA,53.6,20.3,16.9,6,2.1,1.2,NA,0.8%,0.2%
8,Miami Heat,43.7,38.3,.533,-0.92,0.07,0.09,19-14,25-24,57-25,30-52,78.3%,27.9%,NA,NA,0.9,11.6,14.3,17.2,19.6,14.7,NA,44.0,19.9,21.4,8.8,3.9,2.0,NA,0.4%,0.1%
,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,,
9,Chicago Bulls,37.6,44.4,.459,0.83,-1.05,-1.62,15-20,23-24,49-33,25-57,19.8%,,NA,NA,NA,0.2,0.6,1.4,5.3,12.4,NA,2.1,3.1,8.8,22.1,22.8,41.1,NA,0.1%,
10,Atlanta Hawks,37.3,44.7,.455,-0.24,0.17,-0.74,13-19,24-26,50-32,26-56,18.5%,0.9%,NA,NA,NA,0.2,0.5,1.1,4.2,12.5,NA,1.7,2.6,6.7,18.7,24,46.2,NA,0.1%,
11,Brooklyn Nets,37.0,45.0,.452,-0.10,0.16,-1.63,15-19,22-26,50-32,25-57,18.2%,,NA,NA,NA,0.1,0.5,1,4.7,11.9,NA,1.6,3.1,7.9,19.1,23.4,45.0,NA,,
