Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,Win Conf,Win Finals,wins,make_playoffs,win_finals,unit
1,Boston Celtics,55.6,26.4,.678,-0.34,0.09,5.13,36-15,20-11,64-18,45-37,100.0%,85.1%,31.9%,20.7%,56,1,0.207,bos
2,Philadelphia 76ers,51.5,30.5,.628,-0.34,0.44,3.58,32-16,20-14,63-19,40-42,99.8%,13.0%,17.1%,9.7%,52,0.998,0.09699999999999999,phi
3,Milwaukee Bucks,49.7,32.3,.607,-0.14,0.24,1.60,32-17,18-15,62-20,40-42,99.3%,47.2%,7.3%,3.2%,50,0.993,0.032,mil
4,Cleveland Cavaliers,49.6,32.4,.605,0.12,-0.77,4.37,30-21,20-11,59-23,39-43,99.5%,52.7%,21.6%,12.6%,50,0.995,0.126,cle
5,Brooklyn Nets,48.7,33.3,.594,-0.21,0.31,2.55,30-19,19-14,58-24,38-44,98.8%,1.9%,10.5%,5.0%,49,0.988,0.05,bkn
6,Miami Heat,44.2,37.8,.539,0.01,0.11,0.37,28-22,16-16,55-27,32-50,80.7%,76.7%,2.6%,1.0%,44,0.807,0.01,mia
7,New York Knicks,43.7,38.3,.533,-0.12,0.38,1.74,27-24,17-14,54-28,34-48,75.5%,,5.0%,2.1%,44,0.755,0.021,ny
8,Washington Wizards,40.2,41.8,.491,0.44,-0.61,-0.03,23-26,17-16,50-32,29-53,35.1%,12.5%,0.8%,0.3%,40,0.35100000000000003,0.003,wsh
9,Chicago Bulls,40.4,41.6,.492,0.40,-0.48,0.38,23-26,17-16,50-32,30-52,37.6%,0.1%,1.3%,0.4%,40,0.376,0.004,chi
10,Atlanta Hawks,40.1,41.9,.489,-0.24,0.35,-0.80,25-25,15-17,51-31,31-51,31.3%,10.8%,0.6%,0.2%,40,0.313,0.002,atl
11,Toronto Raptors,39.6,42.4,.483,0.35,-0.49,1.02,23-28,17-14,48-34,29-53,28.5%,,1.2%,0.5%,40,0.285,0.005,tor
12,Indiana Pacers,38.2,43.8,.465,0.27,-0.05,-1.60,24-27,14-17,49-33,28-54,13.8%,,0.2%,0,38,0.138,0,ind
13,Orlando Magic,31.9,50.1,.389,0.16,0.13,-3.38,19-31,13-19,43-39,19-63,0.1%,,,0,32,0.001,0,orl
14,Detroit Pistons,23.4,58.6,.285,0.74,-0.40,-6.71,13-38,10-21,33-49,15-67,0,,,0,23,0,0,det
15,Charlotte Hornets,25.3,56.7,.308,0.56,-0.14,-6.04,14-36,11-21,36-46,15-67,0,,,0,25,0,0,cha
1,Denver Nuggets,53.1,28.9,.648,-0.22,-0.13,3.61,34-16,19-13,62-20,43-39,100.0%,99.6%,24.3%,12.7%,53,1,0.127,den
2,Memphis Grizzlies,51.4,30.6,.626,-0.20,-0.35,4.03,31-18,20-13,61-21,41-41,99.9%,96.9%,26.6%,13.7%,51,0.9990000000000001,0.13699999999999998,mem
3,Sacramento Kings,46.1,35.9,.562,-0.34,-0.14,2.58,27-21,19-15,55-27,36-46,94.3%,69.3%,13.8%,6.0%,46,0.943,0.06,sac
4,New Orleans Pelicans,43.6,38.4,.532,-0.16,-0.18,1.88,26-24,18-14,54-28,35-47,79.3%,2.2%,9.0%,3.6%,44,0.7929999999999999,0.036000000000000004,no
5,Oklahoma City Thunder,42.5,39.5,.518,0.45,-0.74,1.61,24-25,19-14,53-29,32-50,66.3%,0.2%,6.6%,2.5%,42,0.6629999999999999,0.025,okc
6,Phoenix Suns,42.4,39.6,.517,0.00,0.22,1.34,26-25,16-15,52-30,33-49,66.5%,16.0%,5.3%,1.8%,42,0.665,0.018000000000000002,phx
7,Dallas Mavericks,42.1,39.9,.514,0.12,-0.47,0.39,26-25,16-15,52-30,31-51,60.1%,0.9%,3.2%,0.9%,42,0.601,0.009000000000000001,dal
8,LA Clippers,41.7,40.3,.508,-0.92,1.37,-0.46,28-24,14-16,52-30,32-50,49.8%,7.4%,1.8%,0.5%,42,0.498,0.005,lac
9,Golden State Warriors,41.1,40.9,.502,-0.08,0.16,-0.16,25-24,16-17,51-31,30-52,45.8%,7.1%,2.0%,0.4%,41,0.45799999999999996,0.004,gs
10,Utah Jazz,41.9,40.1,.512,-0.03,-0.06,1.16,26-26,16-14,52-30,31-51,60.3%,0.1%,4.4%,1.5%,42,0.603,0.015,uta
11,Minnesota Timberwolves,41.2,40.8,.502,-0.39,0.57,-0.19,27-25,14-16,52-30,32-50,45.5%,,1.8%,0.5%,41,0.455,0.005,min
12,Portland Trail Blazers,39.3,42.7,.479,-0.28,0.39,0.03,23-26,16-17,50-32,30-52,24.4%,,1.2%,0.3%,39,0.244,0.003,por
13,Los Angeles Lakers,37.6,44.4,.458,-0.18,0.40,-1.24,23-27,15-17,47-35,28-54,7.8%,0.3%,0.1%,0,38,0.078,0,lal
14,Houston Rockets,21.5,60.5,.262,0.11,0.61,-7.39,12-38,10-22,33-49,12-70,0,,,0,22,0,0,hou
15,San Antonio Spurs,22.3,59.7,.272,0.46,0.12,-9.04,14-36,8-24,32-50,15-67,0,,,0,22,0,0,sa
