Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,Win Conf,Win Finals,wins,make_playoffs,win_finals,unit,messenger_team
1,Boston Celtics,63.0,19.0,.768,1.25,-1.19,11.42,23-6,40-13,73-9,52-30,100.0%,85.4%,51.3%,39.2%,63,1,0.392,bos,Celtics
2,Philadelphia 76ers,58.8,23.2,.718,-0.65,-0.57,10.39,21-9,38-14,71-11,48-34,100.0%,14.6%,38.2%,27.4%,59,1,0.27399999999999997,phi,76ers
3,Milwaukee Bucks,53.6,28.4,.654,-1.15,0.34,4.82,23-8,31-20,65-17,40-42,99.9%,94.0%,5.2%,2.2%,54,0.9990000000000001,0.022000000000000002,mil,Bucks
4,Orlando Magic,47.4,34.6,.577,0.03,-0.63,2.23,18-12,29-23,59-23,32-50,94.5%,65.5%,1.7%,0.7%,47,0.945,0.006999999999999999,orl,Magic
5,Cleveland Cavaliers,45.9,36.1,.560,0.99,-0.80,1.25,18-13,28-23,58-24,35-47,89.0%,5.5%,0.9%,0.2%,46,0.89,0.002,cle,Cavaliers
6,New York Knicks,46.0,36.0,.560,0.22,0.31,2.52,17-13,29-23,57-25,33-49,90.8%,,1.5%,0.5%,46,0.9079999999999999,0.005,ny,Knicks
7,Miami Heat,44.9,37.1,.548,-0.84,0.02,0.70,18-12,27-25,58-24,32-50,82.8%,33.4%,0.6%,0.1%,45,0.828,0.001,mia,Heat
8,Indiana Pacers,41.4,40.6,.505,-0.52,0.41,0.34,15-14,26-27,53-29,27-55,54.1%,0.6%,0.3%,0.1%,41,0.541,0.001,ind,Pacers
9,Brooklyn Nets,40.0,42.0,.488,-0.13,0.18,-0.23,15-16,25-26,54-28,26-56,40.2%,,0.2%,0,40,0.402,0,bkn,Nets
10,Atlanta Hawks,38.1,43.9,.464,0.17,-0.01,-0.27,12-18,26-26,51-31,26-56,21.8%,1.1%,0.1%,0,38,0.218,0,atl,Hawks
11,Toronto Raptors,36.5,45.5,.445,0.17,0.00,-1.13,12-18,24-28,50-32,22-60,12.1%,,,0,36,0.121,0,tor,Raptors
12,Chicago Bulls,37.2,44.8,.454,0.29,-0.53,-1.90,14-18,23-27,49-33,24-58,14.9%,,,0,37,0.149,0,chi,Bulls
13,Charlotte Hornets,21.9,60.1,.267,0.50,0.40,-9.89,7-21,15-39,36-46,10-72,0,,,0,22,0,0,cha,Hornets
14,Washington Wizards,19.6,62.4,.239,0.36,0.39,-9.81,5-25,15-37,32-50,10-72,0,,,0,20,0,0,wsh,Wizards
15,Detroit Pistons,15.5,66.5,.189,0.71,0.23,-10.83,2-28,13-39,28-54,5-77,0,,,0,16,0,0,det,Pistons
1,Minnesota Timberwolves,56.7,25.3,.691,0.33,-0.78,6.26,22-7,35-18,67-15,43-39,100.0%,46.8%,24.4%,7.3%,57,1,0.073,min,T-Wolves
2,Oklahoma City Thunder,56.4,25.6,.687,0.37,-0.82,8.06,20-9,36-17,67-15,44-38,100.0%,41.2%,38.3%,14.7%,56,1,0.147,okc,Thunder
3,Denver Nuggets,53.6,28.4,.654,0.19,-0.60,5.16,22-10,32-18,66-16,41-41,99.8%,12.0%,16.1%,4.1%,54,0.998,0.040999999999999995,den,Nuggets
4,LA Clippers,48.2,33.8,.587,-0.64,0.05,3.56,18-12,30-22,62-20,36-46,94.2%,65.8%,8.2%,1.6%,48,0.9420000000000001,0.016,lac,Clippers
5,Houston Rockets,45.4,36.6,.554,0.01,-0.49,2.80,15-14,30-23,58-24,32-50,79.8%,49.2%,4.5%,0.7%,45,0.7979999999999999,0.006999999999999999,hou,Rockets
6,New Orleans Pelicans,44.3,37.7,.540,-0.65,0.07,1.67,17-14,27-24,56-26,32-50,70.0%,27.8%,2.3%,0.3%,44,0.7,0.003,no,Pelicans
7,Golden State Warriors,45.0,37.0,.548,1.11,-0.96,2.34,15-15,30-22,58-24,33-49,76.8%,18.4%,3.4%,0.6%,45,0.768,0.006,gs,Warriors
8,Dallas Mavericks,43.7,38.3,.533,-0.96,0.36,0.46,18-13,26-25,56-26,31-51,62.3%,23.1%,1.2%,0.1%,44,0.623,0.001,dal,Mavericks
9,Sacramento Kings,43.8,38.2,.534,0.75,-0.07,0.27,17-12,27-26,57-25,29-53,61.9%,11.0%,1.0%,0.1%,44,0.619,0.001,sac,Kings
10,Los Angeles Lakers,41.4,40.6,.505,0.33,0.12,-0.18,16-15,25-26,54-28,29-53,38.0%,3.8%,0.5%,0.1%,41,0.38,0.001,lal,Lakers
11,Phoenix Suns,39.1,42.9,.477,-1.49,0.59,-0.99,15-15,24-28,51-31,27-55,17.1%,1.0%,0.2%,0,39,0.171,0,phx,Suns
12,Memphis Grizzlies,29.8,52.2,.364,-0.37,0.31,-5.47,10-19,20-33,43-39,18-64,0,,,0,30,0,0,mem,Grizzlies
13,Utah Jazz,29.5,52.5,.360,-0.88,1.34,-6.66,13-18,17-34,42-40,18-64,0,,,0,30,0,0,uta,Jazz
14,Portland Trail Blazers,25.7,56.3,.314,-0.61,0.97,-6.54,8-21,18-35,38-44,13-69,0,,,0,26,0,0,por,Blazers
15,San Antonio Spurs,17.6,64.4,.214,1.30,0.23,-11.05,4-25,14-39,30-52,7-75,0,,,0,18,0,0,sa,Spurs
