Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,First Round Seed1,First Round Seed2,First Round Seed3,First Round Seed4,First Round Seed5,First Round Seed6,First Round Seed7,First Round Seed8,NA,Pre Play-In1-6,Pre Play-In7,Pre Play-In8,Pre Play-In9,Pre Play-In10,Pre Play-InOut,NA,Win Conf,Win Finals
1,Boston Celtics,57.0,25.0,.695,-0.32,0.17,5.83,41-16,16-9,65-17,48-34,100.0%,96.3%,78.5,16.9,3.6,1.1,NA,NA,NA,NA,NA,100.0,NA,NA,NA,NA,,NA,33.5%,23.2%
2,Milwaukee Bucks,53.7,28.3,.655,-0.20,0.41,2.81,39-17,15-11,63-19,43-39,100.0%,58.5%,12.5,42,27.1,16.4,1.8,0.1,NA,NA,NA,100.0,NA,NA,NA,NA,,NA,10.9%,5.4%
3,Cleveland Cavaliers,52.5,29.5,.640,-0.09,-0.55,5.72,38-22,15-7,59-23,44-38,100.0%,41.5%,6.9,28.9,39.9,20.7,3.1,0.4,NA,NA,NA,99.9,0.1,NA,NA,NA,,NA,30.0%,20.0%
4,Philadelphia 76ers,51.3,30.7,.626,-0.51,1.22,3.35,37-19,14-12,60-22,42-40,100.0%,3.7%,2.1,12,27.5,50.6,6.4,1,0.2,0.1,NA,99.7,0.3,NA,NA,NA,,NA,12.6%,6.7%
5,Brooklyn Nets,46.4,35.6,.566,0.00,0.27,1.56,33-24,13-12,55-27,37-45,96.3%,,NA,0.2,1.6,8,50.9,24.2,7.5,4,NA,84.8,11.4,2.7,0.8,0.3,0.1,NA,4.0%,1.7%
6,Miami Heat,43.7,38.3,.533,-0.06,0.60,0.16,32-26,12-12,54-28,35-47,81.2%,78.2%,NA,NA,0.1,1.8,17,29.7,19.9,12.7,NA,48.6,28.4,11.6,6.7,3.3,1.4,NA,1.6%,0.6%
7,New York Knicks,44.4,37.6,.542,0.03,0.23,1.95,32-27,12-11,53-29,36-46,87.2%,,NA,NA,0.1,1.4,17.9,33.8,21.8,12.3,NA,53.2,29.7,10.4,4.4,1.7,0.5,NA,4.5%,2.0%
8,Atlanta Hawks,40.6,41.4,.495,-0.29,0.73,-0.29,29-29,12-12,50-32,31-51,43.3%,15.3%,NA,NA,NA,NA,1.8,5.8,17.3,18.4,NA,7.6,13.2,24.5,22,17.1,15.6,NA,0.8%,0.3%
,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,,
9,Washington Wizards,39.2,42.8,.478,0.15,-0.14,-0.14,26-30,13-13,49-33,30-52,29.7%,6.5%,NA,NA,NA,NA,0.5,2,10.9,16.2,NA,2.6,6.1,16.4,21.3,21.9,31.8,NA,0.6%,0.1%
10,Toronto Raptors,39.3,42.7,.480,0.08,0.19,0.78,27-31,12-12,48-34,30-52,30.5%,,NA,NA,NA,NA,0.3,1.8,11.1,17.3,NA,2.1,6,15.7,20.7,23.1,32.4,NA,0.9%,0.3%
11,Chicago Bulls,39.0,43.0,.476,0.31,-0.38,0.29,26-31,13-12,48-34,31-51,27.8%,,NA,NA,NA,NA,0.3,1.2,10.5,15.7,NA,1.5,4.7,17.3,19.6,22,34.7,NA,0.6%,0.2%
12,Indiana Pacers,35.2,46.8,.429,0.46,-0.37,-2.28,25-34,10-13,44-38,27-55,2.6%,,NA,NA,NA,NA,NA,NA,0.4,2.2,NA,,0.1,1.1,2.9,7,89.0,NA,,
13,Orlando Magic,34.5,47.5,.421,0.28,-0.14,-2.36,24-34,11-13,43-39,26-56,1.4%,,NA,NA,NA,NA,NA,NA,0.3,1.1,NA,,0.1,0.4,1.5,3.6,94.4,NA,,
14,Detroit Pistons,22.8,59.2,.279,0.69,-0.35,-6.72,15-43,8-16,32-50,16-66,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
15,Charlotte Hornets,24.1,57.9,.294,0.54,-0.13,-6.16,16-43,8-15,33-49,16-66,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
1,Denver Nuggets,54.4,27.6,.664,-0.36,0.07,3.91,40-18,14-10,63-19,46-36,100.0%,100.0%,91.6,8.1,0.3,NA,NA,NA,NA,NA,NA,100.0,NA,NA,NA,NA,,NA,29.0%,13.6%
2,Memphis Grizzlies,50.1,31.9,.611,-0.09,-0.74,3.78,34-22,16-10,59-23,41-41,99.9%,95.0%,7.9,73.9,13.9,2.7,0.8,0.4,0.2,0.1,NA,99.6,0.2,0.1,0.1,NA,,NA,25.6%,12.2%
