Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,Win Conf,Win Finals,wins,make_playoffs,win_finals,unit,messenger_team
1,Boston Celtics,62.9,19.1,.767,0.00,-1.38,9.37,42-12,21-7,70-12,53-29,100.0%,100.0%,60.6%,42.8%,63,1,0.428,bos,Celtics
2,Cleveland Cavaliers,53.9,28.1,.658,-0.62,-0.34,5.11,35-17,19-11,62-20,44-38,100.0%,89.7%,15.7%,6.9%,54,1,0.069,cle,Cavaliers
3,Milwaukee Bucks,49.6,32.4,.605,-0.68,0.80,2.61,35-20,15-12,59-23,40-42,99.4%,10.1%,4.6%,1.4%,50,0.9940000000000001,0.013999999999999999,mil,Bucks
4,New York Knicks,49.9,32.1,.608,-0.52,0.46,4.44,33-21,17-11,60-22,40-42,99.5%,,9.6%,4.1%,50,0.995,0.040999999999999995,ny,Knicks
5,Philadelphia 76ers,48.9,33.1,.596,-0.91,0.26,3.66,32-21,17-12,58-24,37-45,98.7%,,6.4%,2.3%,49,0.987,0.023,phi,76ers
6,Orlando Magic,45.1,36.9,.549,0.21,-1.72,0.77,29-25,16-12,54-28,35-47,89.2%,65.2%,1.1%,0.2%,45,0.892,0.002,orl,Magic
7,Indiana Pacers,44.2,37.8,.538,-0.34,0.16,1.08,30-25,14-13,53-29,34-48,85.0%,0.2%,1.5%,0.3%,44,0.85,0.003,ind,Pacers
8,Miami Heat,43.1,38.9,.526,-0.44,-0.57,-0.33,29-25,14-14,52-30,35-47,77.2%,34.4%,0.6%,0.1%,43,0.772,0.001,mia,Heat
9,Chicago Bulls,38.2,43.8,.465,-0.78,0.61,-1.89,26-28,12-16,48-34,30-52,23.6%,,0.1%,0,38,0.23600000000000002,0,chi,Bulls
10,Atlanta Hawks,37.0,45.0,.451,0.16,-0.73,-2.03,24-30,13-15,46-36,28-54,16.2%,0.4%,0.1%,0,37,0.162,0,atl,Hawks
11,Brooklyn Nets,35.1,46.9,.428,0.29,-0.87,-1.08,21-32,14-15,44-38,25-57,10.8%,,0.1%,0,35,0.10800000000000001,0,bkn,Nets
12,Toronto Raptors,30.4,51.6,.371,0.02,-0.30,-3.91,19-35,11-17,40-42,22-60,0.3%,,,0,30,0.003,0,tor,Raptors
13,Charlotte Hornets,18.0,64.0,.219,0.00,0.61,-11.38,12-41,6-23,28-54,12-70,0,,,0,18,0,0,cha,Hornets
14,Washington Wizards,16.7,65.3,.204,-0.04,0.31,-9.17,9-44,8-21,26-56,10-72,0,,,0,17,0,0,wsh,Wizards
15,Detroit Pistons,15.9,66.1,.194,0.13,0.11,-8.87,8-45,8-21,25-57,9-73,0,,,0,16,0,0,det,Pistons
1,Minnesota Timberwolves,57.3,24.7,.699,0.10,-0.58,6.80,38-16,19-9,65-17,49-33,100.0%,60.4%,29.1%,13.3%,57,1,0.133,min,T-Wolves
2,Oklahoma City Thunder,56.4,25.6,.688,0.08,-0.60,7.27,37-17,19-9,64-18,48-34,100.0%,35.6%,32.4%,15.8%,56,1,0.158,okc,Thunder
3,LA Clippers,54.0,28.0,.658,-0.14,0.23,5.43,35-17,19-11,62-20,45-37,100.0%,98.2%,15.8%,6.3%,54,1,0.063,lac,Clippers
4,Denver Nuggets,53.2,28.8,.649,0.32,-0.58,3.58,36-18,17-11,62-20,44-38,99.9%,4.1%,7.6%,2.3%,53,0.9990000000000001,0.023,den,Nuggets
5,New Orleans Pelicans,49.2,32.8,.600,0.00,-0.04,4.19,32-22,17-11,58-24,40-42,96.4%,81.9%,8.5%,2.8%,49,0.9640000000000001,0.027999999999999997,no,Pelicans
6,Phoenix Suns,46.0,36.0,.561,-1.01,1.88,2.01,32-22,14-14,55-27,37-45,76.1%,1.1%,1.9%,0.5%,46,0.7609999999999999,0.005,phx,Suns
7,Dallas Mavericks,46.0,36.0,.561,0.24,-0.23,1.26,31-23,15-13,55-27,37-45,73.0%,17.9%,1.4%,0.2%,46,0.73,0.002,dal,Mavericks
8,Sacramento Kings,44.9,37.1,.548,0.41,0.67,0.82,30-23,15-14,55-27,36-46,62.7%,0.4%,0.9%,0.2%,45,0.627,0.002,sac,Kings
9,Golden State Warriors,44.2,37.8,.539,0.79,-1.10,2.44,26-25,18-13,53-29,34-48,54.0%,0.3%,2.0%,0.5%,44,0.54,0.005,gs,Warriors
10,Los Angeles Lakers,42.1,39.9,.514,0.42,0.54,0.00,29-26,13-14,53-29,32-50,26.4%,0.1%,0.2%,0,42,0.264,0,lal,Lakers
11,Houston Rockets,39.4,42.6,.481,0.25,-0.35,1.00,24-29,15-14,50-32,29-53,9.5%,0.2%,0.2%,0,39,0.095,0,hou,Rockets
12,Utah Jazz,38.0,44.0,.463,0.35,0.89,-2.08,26-28,12-16,47-35,28-54,2.1%,,,0,38,0.021,0,uta,Jazz
13,Memphis Grizzlies,28.7,53.3,.350,0.79,-0.62,-5.56,18-36,11-17,38-44,20-62,0,,,0,29,0,0,mem,Grizzlies
14,Portland Trail Blazers,23.4,58.6,.285,0.61,0.83,-7.69,15-38,8-21,33-49,16-66,0,,,0,23,0,0,por,Blazers
15,San Antonio Spurs,18.4,63.6,.224,0.34,1.35,-8.01,11-43,7-21,27-55,11-71,0,,,0,18,0,0,sa,Spurs
