Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,Win Conf,Win Finals,wins,make_playoffs,win_finals,unit
1,Boston Celtics,57.1,24.9,.697,-0.38,0.04,6.08,33-12,24-13,65-17,47-35,100.0%,93.7%,37.5%,24.2%,57,1,0.242,bos
2,Cleveland Cavaliers,51.3,30.7,.625,0.05,-0.50,4.67,28-17,23-14,62-20,40-42,99.8%,78.7%,22.4%,12.7%,51,0.998,0.127,cle
3,Brooklyn Nets,50.6,31.4,.617,0.08,-0.10,3.37,27-15,24-16,62-20,40-42,99.7%,4.7%,13.5%,6.6%,51,0.997,0.066,bkn
4,Philadelphia 76ers,48.6,33.4,.593,-0.57,0.70,3.03,27-16,22-17,60-22,37-45,98.4%,1.6%,10.8%,5.0%,49,0.9840000000000001,0.05,phi
5,Milwaukee Bucks,47.7,34.3,.582,-0.12,0.25,1.04,28-16,20-18,59-23,37-45,96.9%,21.0%,4.1%,1.4%,48,0.9690000000000001,0.013999999999999999,mil
6,New York Knicks,45.2,36.8,.552,-0.43,0.67,2.50,25-20,20-17,56-26,35-47,89.3%,0.1%,6.8%,3.0%,45,0.893,0.03,ny
7,Miami Heat,42.0,40.0,.512,-0.19,0.42,-0.08,24-21,18-19,53-29,30-52,60.6%,66.8%,1.5%,0.5%,42,0.606,0.005,mia
8,Chicago Bulls,40.2,41.8,.490,0.90,-0.87,0.27,20-24,20-18,52-30,28-54,39.0%,0.1%,1.1%,0.4%,40,0.39,0.004,chi
9,Indiana Pacers,40.7,41.3,.496,0.18,0.04,-0.64,23-22,18-19,52-30,30-52,41.5%,0.2%,0.8%,0.2%,41,0.415,0.002,ind
10,Atlanta Hawks,39.9,42.1,.486,-0.24,0.29,-1.02,22-22,18-20,51-31,29-53,34.0%,27.4%,0.5%,0.1%,40,0.34,0.001,atl
11,Toronto Raptors,39.5,42.5,.481,0.29,-0.15,0.58,20-24,19-19,52-30,27-55,30.0%,,0.9%,0.4%,40,0.3,0.004,tor
12,Washington Wizards,36.8,45.2,.449,0.69,-0.65,-0.90,18-26,19-19,50-32,25-57,10.6%,5.8%,0.2%,0,37,0.106,0,wsh
13,Orlando Magic,30.9,51.1,.377,0.03,0.35,-3.76,16-28,15-23,41-41,20-62,0.2%,0.1%,,0,31,0.002,0,orl
14,Detroit Pistons,24.2,57.8,.295,0.90,-0.43,-6.48,12-35,12-23,35-47,15-67,0,,,0,24,0,0,det
15,Charlotte Hornets,24.2,57.8,.296,0.80,-0.30,-5.98,11-34,13-24,35-47,15-67,0,,,0,24,0,0,cha
1,Memphis Grizzlies,55.1,26.9,.672,-0.35,-0.27,5.58,30-13,25-14,66-16,39-43,100.0%,93.6%,37.1%,21.0%,55,1,0.21,mem
2,Denver Nuggets,52.9,29.1,.646,-0.44,0.10,3.54,30-13,23-16,64-18,40-42,100.0%,99.2%,19.2%,8.6%,53,1,0.086,den
3,New Orleans Pelicans,48.8,33.2,.595,-0.16,-0.27,3.59,26-18,23-15,60-22,38-44,99.3%,6.2%,17.7%,8.0%,49,0.993,0.08,no
4,Sacramento Kings,46.1,35.9,.563,-0.60,0.12,2.36,24-18,22-18,57-25,34-48,94.9%,81.0%,10.3%,3.8%,46,0.9490000000000001,0.038,sac
5,Dallas Mavericks,43.3,38.7,.528,0.13,-0.31,0.48,24-21,19-18,54-28,31-51,79.1%,0.2%,3.2%,0.8%,43,0.7909999999999999,0.008,dal
6,Utah Jazz,41.5,40.5,.506,0.04,-0.08,0.76,23-24,18-17,52-30,29-53,59.5%,0.3%,2.7%,0.7%,42,0.595,0.006999999999999999,uta
7,Oklahoma City Thunder,41.5,40.5,.506,0.40,-0.46,1.15,21-23,21-17,55-27,28-54,61.6%,0.2%,3.5%,1.0%,42,0.616,0.01,okc
8,Portland Trail Blazers,40.9,41.1,.499,-0.30,0.30,0.42,21-22,20-19,53-29,30-52,51.7%,0.3%,1.9%,0.5%,41,0.517,0.005,por
9,Phoenix Suns,40.5,41.5,.494,0.33,-0.13,0.75,21-24,20-17,52-30,30-52,50.8%,9.2%,2.3%,0.7%,40,0.508,0.006999999999999999,phx
10,Golden State Warriors,39.6,42.4,.483,-0.42,0.62,-0.81,22-22,18-20,51-31,29-53,35.8%,5.3%,0.7%,0.2%,40,0.358,0.002,gs
11,LA Clippers,39.3,42.7,.480,-0.79,0.81,-1.34,23-22,16-21,50-32,26-56,28.6%,3.7%,0.5%,0,39,0.28600000000000003,0,lac
12,Minnesota Timberwolves,39.1,42.9,.477,-0.40,0.48,-0.82,22-23,17-20,52-30,28-54,27.5%,,0.6%,0.1%,39,0.275,0.001,min
13,Los Angeles Lakers,37.3,44.7,.455,-0.34,0.52,-1.36,20-24,17-21,48-34,26-56,11.3%,0.8%,0.3%,0,37,0.113,0,lal
14,Houston Rockets,21.4,60.6,.261,0.23,0.46,-7.63,10-34,11-27,32-50,12-70,0,,,0,21,0,0,hou
15,San Antonio Spurs,23.5,58.5,.287,0.58,0.05,-8.54,13-31,11-27,35-47,14-68,0,,,0,24,0,0,sa
