Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,First Round Seed1,First Round Seed2,First Round Seed3,First Round Seed4,First Round Seed5,First Round Seed6,First Round Seed7,First Round Seed8,NA,Pre Play-In1-6,Pre Play-In7,Pre Play-In8,Pre Play-In9,Pre Play-In10,Pre Play-InOut,NA,Win Conf,Win Finals
1,Boston Celtics,56.5,25.5,.689,-0.10,-0.25,6.02,31-12,26-13,68-14,46-36,100.0%,88.6%,79.2,15,4.5,1.1,0.2,NA,NA,NA,NA,100.0,NA,NA,NA,NA,,NA,35.2%,22.9%
2,Cleveland Cavaliers,51.5,30.5,.628,0.02,-0.41,4.81,27-16,24-15,62-20,38-44,99.8%,78.4%,10.3,37,27.7,14.6,6.8,2.7,0.6,0.2,NA,99.0,0.7,0.2,0.1,NA,,NA,22.3%,13.0%
3,Brooklyn Nets,51.6,30.4,.629,0.08,-0.09,3.69,27-14,25-16,63-19,39-43,99.7%,10.0%,8.6,31.8,32.5,16,7.2,2.8,0.6,0.2,NA,98.9,0.8,0.2,0.1,NA,,NA,14.7%,7.8%
4,Milwaukee Bucks,47.9,34.1,.584,-0.14,0.28,1.15,27-15,21-19,60-22,36-46,96.5%,20.8%,0.9,8.9,14.5,26.2,23.9,14.4,5,2.8,NA,88.7,6.7,2.8,1.2,0.4,0.3,NA,4.5%,1.7%
5,Philadelphia 76ers,47.7,34.3,.581,-0.58,0.67,3.16,25-16,23-18,59-23,35-47,97.1%,1.2%,0.8,5.8,15,25.1,25.4,16.2,6,2.9,NA,88.2,7,2.9,1.3,0.4,0.2,NA,10.8%,5.4%
6,New York Knicks,45.6,36.4,.556,-0.29,0.51,2.52,24-19,22-17,56-26,33-49,90.5%,0.2%,0.1,1.3,4.8,11.9,21.6,28.8,14.1,8,NA,68.5,16.7,8.3,3.8,1.7,0.9,NA,7.3%,3.3%
7,Indiana Pacers,42.0,40.0,.513,0.03,0.22,-0.11,23-20,19-20,53-29,31-51,57.9%,0.8%,NA,0.1,0.6,2.1,4.9,11.4,21,17.9,NA,19.1,20.4,22.2,17.3,10.8,10.2,NA,1.4%,0.5%
8,Miami Heat,41.8,40.2,.509,-0.21,0.47,-0.28,23-20,19-20,53-29,31-51,57.2%,71.6%,NA,0.1,0.4,2.2,6.3,13,18.5,16.7,NA,22.0,21.3,19,14,10.4,13.3,NA,1.4%,0.3%
,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,,
9,Chicago Bulls,39.5,42.5,.482,1.01,-0.87,0.03,19-24,21-18,51-31,29-53,32.5%,0.1%,NA,NA,0.1,0.3,1.4,3.4,11.4,16,NA,5.1,8.7,14.5,18.9,20.3,32.6,NA,0.9%,0.3%
10,Toronto Raptors,39.7,42.3,.484,0.30,-0.13,0.83,19-23,21-19,51-31,27-55,33.7%,,NA,NA,0.1,0.3,1.2,3.6,11.7,16.8,NA,5.1,8.8,14.2,19.5,21.1,31.3,NA,1.1%,0.5%
11,Atlanta Hawks,38.3,43.7,.467,-0.23,0.31,-1.49,20-22,18-22,49-33,27-55,18.9%,15.9%,NA,NA,0.1,0.3,0.7,2.3,6.2,9.4,NA,3.2,5.2,8.9,12.1,17.9,52.8,NA,0.2%,0.1%
12,Washington Wizards,37.7,44.3,.459,0.74,-0.66,-0.68,18-25,20-19,50-32,26-56,15.9%,12.4%,NA,NA,NA,0.1,0.5,1.6,4.9,8.8,NA,2.2,3.7,6.8,11.7,16.1,59.5,NA,0.2%,0.1%
13,Orlando Magic,31.1,50.9,.379,-0.03,0.46,-3.84,16-27,15-24,43-39,20-62,0.2%,0.1%,NA,NA,NA,NA,NA,NA,NA,0.2,NA,,NA,0.1,0.2,0.7,99.0,NA,,
14,Charlotte Hornets,24.8,57.2,.302,0.50,0.10,-5.94,11-32,14-25,35-47,15-67,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
15,Detroit Pistons,24.4,57.6,.298,0.82,-0.25,-6.44,12-34,12-24,35-47,15-67,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
1,Memphis Grizzlies,53.4,28.6,.652,-0.34,-0.20,4.71,28-13,25-16,63-19,42-40,100.0%,82.7%,49.7,35.3,11.4,2.9,0.6,0.1,NA,NA,NA,99.9,0.1,NA,NA,NA,,NA,29.6%,15.4%
2,Denver Nuggets,52.7,29.3,.642,-0.39,0.03,3.61,29-13,24-16,64-18,41-41,100.0%,99.5%,40.6,40.8,13.9,3.6,0.8,0.2,NA,0.1,NA,99.9,0.1,NA,NA,NA,,NA,20.2%,9.0%
3,New Orleans Pelicans,49.5,32.5,.603,-0.24,-0.22,3.83,26-17,23-16,61-21,38-44,99.7%,15.7%,8.3,17.5,43.5,19.5,7.5,2.3,0.7,0.3,NA,98.7,0.8,0.3,0.1,0.1,,NA,20.7%,9.6%
4,Sacramento Kings,45.7,36.3,.557,-0.45,-0.07,2.25,23-18,23-18,58-24,34-48,94.0%,73.9%,0.8,3.9,16.8,30.3,20.7,11.7,6,3.7,NA,84.2,6.2,4.4,2.2,1.4,1.6,NA,10.3%,3.9%
5,Dallas Mavericks,45.1,36.9,.550,0.12,-0.37,1.28,24-19,21-18,59-23,34-48,91.7%,1.6%,0.5,2.1,10.2,24.1,28,14.8,7,4.9,NA,79.8,7.9,5.3,3.2,2.1,1.7,NA,6.8%,2.5%
6,Phoenix Suns,41.4,40.6,.505,0.18,-0.02,1.29,21-23,20-18,52-30,29-53,64.7%,16.2%,NA,0.1,1.6,6.7,11.1,15.8,15.8,13.5,NA,35.4,15.6,13.8,11.7,9.2,14.2,NA,4.2%,1.6%
7,Utah Jazz,41.4,40.6,.505,-0.04,-0.05,0.72,22-23,19-18,52-30,31-51,60.8%,0.3%,NA,0.1,1,4.3,10.2,15.5,15.7,14.1,NA,31.1,16.1,14.7,12.7,9.7,15.7,NA,3.0%,0.9%
8,Oklahoma City Thunder,40.5,41.5,.494,0.27,-0.29,0.80,20-23,21-18,52-30,29-53,50.7%,0.2%,NA,0.1,0.5,2.9,7.4,12,13.4,14.4,NA,22.9,13.6,13.6,13.3,12.1,24.5,NA,2.4%,0.7%
,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,,
9,Golden State Warriors,39.7,42.3,.485,-0.38,0.46,-0.67,21-21,19-21,50-32,29-53,41.4%,6.1%,NA,NA,0.5,2.2,4.7,9.1,11.9,13,NA,16.5,11.8,12.7,12.4,13.5,33.1,NA,1.0%,0.2%
10,Los Angeles Clippers,38.8,43.2,.473,-0.56,0.55,-1.61,22-22,17-21,49-33,29-53,25.3%,2.9%,NA,NA,0.3,1.1,2.5,4.2,7.8,9.5,NA,8.0,6.8,9.8,12.2,14.6,48.6,NA,0.3%,0.1%
11,Portland Trail Blazers,39.2,42.8,.478,-0.26,0.28,-0.33,19-22,20-21,51-31,27-55,33.2%,0.1%,NA,NA,0.2,1.2,3.3,7.3,9.7,11.4,NA,12.1,9.5,11,13.1,13,41.3,NA,0.9%,0.2%
12,Minnesota Timberwolves,38.6,43.4,.471,-0.55,0.60,-1.16,21-22,18-21,50-32,26-56,25.3%,0.1%,NA,NA,0.1,0.8,2.4,4.9,7.8,9.3,NA,8.1,7.7,9.4,11.7,13.8,49.3,NA,0.4%,0.1%
13,Los Angeles Lakers,37.3,44.7,.455,-0.21,0.36,-1.45,19-23,18-22,50-32,25-57,13.3%,0.9%,NA,NA,NA,0.4,0.8,2.1,4.1,5.9,NA,3.4,3.9,5.1,7.3,10.4,69.9,NA,0.2%,0.1%
