Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,Win Conf,Win Finals,wins,make_playoffs,win_finals,unit,messenger_team
1,Boston Celtics,63.4,18.6,.773,0.41,-1.43,10.61,35-10,28-9,71-11,51-31,100.0%,99.2%,60.6%,44.5%,63,1,0.445,bos,Celtics
2,Philadelphia 76ers,54.9,27.1,.669,-0.97,-0.22,6.82,29-14,26-13,65-17,43-39,100.0%,0.8%,19.4%,10.0%,55,1,0.1,phi,76ers
3,Milwaukee Bucks,52.0,30.0,.634,-1.08,0.90,3.15,31-13,21-17,63-19,40-42,99.8%,68.2%,4.4%,1.5%,52,0.998,0.015,mil,Bucks
4,New York Knicks,51.3,30.7,.626,-0.21,0.07,5.13,28-17,23-14,60-22,37-45,99.8%,,8.3%,3.8%,51,0.998,0.038,ny,Knicks
5,Cleveland Cavaliers,50.1,31.9,.611,-0.22,-0.69,3.76,26-16,24-16,63-19,39-43,99.4%,28.6%,4.9%,1.9%,50,0.9940000000000001,0.019,cle,Cavaliers
6,Indiana Pacers,45.4,36.6,.553,-0.16,-0.13,1.79,25-20,20-17,57-25,34-48,91.8%,3.2%,1.4%,0.3%,45,0.9179999999999999,0.003,ind,Pacers
7,Orlando Magic,44.5,37.5,.543,0.55,-1.68,0.83,23-21,22-16,57-25,33-49,87.4%,75.0%,0.8%,0.2%,44,0.8740000000000001,0.002,orl,Magic
8,Miami Heat,41.3,40.7,.504,-0.70,-0.06,-1.46,24-21,17-20,52-30,32-50,65.6%,24.8%,0.2%,0,41,0.6559999999999999,0,mia,Heat
9,Chicago Bulls,37.5,44.5,.457,-0.28,-0.28,-1.88,21-25,16-20,47-35,27-55,27.0%,,,0,38,0.27,0,chi,Bulls
10,Brooklyn Nets,34.4,47.6,.420,-0.09,0.00,-1.75,17-27,17-21,45-37,23-59,13.7%,,,0,34,0.13699999999999998,0,bkn,Nets
11,Atlanta Hawks,34.1,47.9,.416,-0.11,0.07,-3.25,18-26,16-22,45-37,23-59,8.4%,0.2%,,0,34,0.084,0,atl,Hawks
12,Toronto Raptors,33.6,48.4,.409,0.11,-0.37,-1.91,16-28,18-20,45-37,22-60,7.2%,,,0,34,0.07200000000000001,0,tor,Raptors
13,Charlotte Hornets,19.2,62.8,.235,-0.06,0.63,-11.08,10-32,9-31,29-53,12-70,0,,,0,19,0,0,cha,Hornets
14,Washington Wizards,16.9,65.1,.206,-0.14,0.48,-9.80,7-37,10-28,27-55,8-74,0,,,0,17,0,0,wsh,Wizards
15,Detroit Pistons,14.6,67.4,.178,0.15,0.28,-10.03,5-39,10-28,24-58,6-76,0,,,0,15,0,0,det,Pistons
1,Oklahoma City Thunder,57.8,24.2,.705,-0.08,-0.53,8.26,31-13,27-11,67-15,47-35,100.0%,64.2%,41.3%,19.6%,58,1,0.196,okc,Thunder
2,Minnesota Timberwolves,56.4,25.6,.688,0.26,-0.59,5.88,32-13,24-13,66-16,46-36,100.0%,30.1%,20.3%,7.1%,56,1,0.071,min,T-Wolves
3,LA Clippers,53.5,28.5,.652,-0.10,-0.07,5.78,28-14,25-15,64-18,42-40,100.0%,97.5%,15.9%,5.3%,54,1,0.053,lac,Clippers
4,Denver Nuggets,53.6,28.4,.654,0.32,-0.60,4.37,31-15,23-13,63-19,43-39,99.9%,5.7%,10.1%,2.9%,54,0.9990000000000001,0.028999999999999998,den,Nuggets
5,New Orleans Pelicans,49.4,32.6,.602,-0.16,-0.02,4.80,26-18,23-15,60-22,39-43,98.5%,92.3%,9.1%,2.3%,49,0.985,0.023,no,Pelicans
6,Sacramento Kings,44.8,37.2,.546,0.25,0.64,0.88,25-18,20-19,56-26,33-49,75.6%,1.3%,0.8%,0.2%,45,0.7559999999999999,0.002,sac,Kings
7,Phoenix Suns,44.8,37.2,.546,-1.18,1.19,1.23,26-18,19-19,56-26,34-48,74.8%,1.2%,1.1%,0.2%,45,0.748,0.002,phx,Suns
8,Dallas Mavericks,42.5,38.5,.525,-0.03,0.15,0.29,24-20,19-18,53-28,31-50,56.5%,6.0%,0.6%,0.1%,42,0.565,0.001,dal,Mavericks
9,Houston Rockets,40.6,41.4,.495,0.50,-0.53,0.69,20-23,21-18,51-31,29-53,30.6%,1.7%,0.3%,0.1%,41,0.306,0.001,hou,Rockets
10,Golden State Warriors,38.9,41.1,.486,0.87,-0.71,0.42,19-23,20-18,50-30,28-52,23.8%,,0.3%,0,39,0.23800000000000002,0,gs,Warriors
11,Los Angeles Lakers,40.1,41.9,.489,0.40,0.42,-0.43,23-23,17-19,50-32,29-53,24.7%,,0.3%,0,40,0.247,0,lal,Lakers
12,Utah Jazz,38.8,42.2,.479,0.25,0.67,-1.44,23-23,16-19,50-31,29-52,15.6%,,,0,39,0.156,0,uta,Jazz
13,Memphis Grizzlies,32.2,49.8,.393,0.47,-0.12,-4.67,17-27,15-23,45-37,23-59,0.1%,,,0,32,0.001,0,mem,Grizzlies
14,Portland Trail Blazers,23.6,58.4,.288,0.45,0.91,-8.57,13-31,11-27,35-47,15-67,0,,,0,24,0,0,por,Blazers
15,San Antonio Spurs,18.2,63.8,.223,0.55,0.78,-8.80,8-36,10-28,32-50,9-73,0,,,0,18,0,0,sa,Spurs
