Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,Win Conf,Win Finals,wins,make_playoffs,win_finals,unit
1,Milwaukee Bucks,58.5,23.5,.714,-0.05,1.38,3.82,58-23,1-0,59-23,58-24,100.0%,100.0%,14.9%,9.2%,58,1,0.092,mil
2,Boston Celtics,56.7,25.3,.692,-0.15,0.32,6.38,56-25,1-0,57-25,56-26,100.0%,100.0%,36.6%,26.7%,57,1,0.267,bos
3,Philadelphia 76ers,53.5,28.5,.653,0.06,1.33,4.07,53-28,1-0,54-28,53-29,100.0%,,13.2%,7.9%,54,1,0.079,phi
4,Cleveland Cavaliers,51.8,30.2,.632,-0.09,-6.15,5.49,51-30,1-0,52-30,51-31,100.0%,,23.1%,15.8%,52,1,0.158,cle
5,New York Knicks,47.7,34.3,.582,0.09,-3.03,3.12,47-34,1-0,48-34,47-35,100.0%,,6.8%,3.7%,48,1,0.037000000000000005,ny
6,Brooklyn Nets,45.5,36.5,.555,0.11,4.07,1.33,45-36,0-1,46-36,45-37,100.0%,,2.2%,1.1%,46,1,0.011000000000000001,bkn
7,Atlanta Hawks,41.3,40.7,.504,-0.05,6.38,0.32,41-40,0-1,42-40,41-41,74.7%,,1.1%,0.4%,41,0.747,0.004,atl
8,Miami Heat,43.6,38.4,.532,0.22,-2.27,-0.26,43-38,1-0,44-38,43-39,72.0%,100.0%,0.7%,0.2%,44,0.72,0.002,mia
9,Toronto Raptors,40.5,41.5,.494,0.08,3.82,1.38,40-41,0-1,41-41,40-42,27.3%,,0.9%,0.4%,40,0.273,0.004,tor
10,Chicago Bulls,39.8,42.2,.485,0.18,-7.58,1.21,39-42,1-0,40-42,39-43,26.0%,,0.6%,0.2%,40,0.26,0.002,chi
11,Washington Wizards,35.8,46.2,.436,0.24,-7.77,-0.92,35-46,1-0,36-46,35-47,0,,,0,36,0,0,wsh
12,Orlando Magic,34.4,47.6,.419,0.17,-0.26,-2.27,34-47,0-1,35-47,34-48,0,,,0,34,0,0,orl
13,Indiana Pacers,34.3,47.7,.418,0.25,3.12,-3.03,34-47,0-1,35-47,34-48,0,,,0,34,0,0,ind
14,Charlotte Hornets,26.2,55.8,.319,0.31,5.49,-6.15,26-55,0-1,27-55,26-56,0,,,0,26,0,0,cha
15,Detroit Pistons,17.2,64.8,.210,0.47,1.21,-7.58,17-64,0-1,18-64,17-65,0,,,0,17,0,0,det
1,Denver Nuggets,53.2,28.8,.648,-0.31,0.72,2.98,52-28,1-1,54-28,52-30,100.0%,100.0%,21.4%,8.1%,53,1,0.081,den
2,Memphis Grizzlies,51.5,30.5,.629,-0.38,0.74,3.80,51-30,1-0,52-30,51-31,100.0%,100.0%,27.2%,11.3%,52,1,0.113,mem
3,Sacramento Kings,48.4,33.6,.591,-0.41,2.98,2.45,48-33,0-1,49-33,48-34,100.0%,100.0%,14.3%,4.7%,48,1,0.047,sac
4,Phoenix Suns,45.6,36.4,.556,-0.01,0.12,2.15,45-36,1-0,46-36,45-37,100.0%,,14.3%,4.4%,46,1,0.044000000000000004,phx
5,Golden State Warriors,43.6,38.4,.531,-0.09,-3.28,1.04,43-38,1-0,44-38,43-39,95.8%,,6.3%,1.6%,44,0.958,0.016,gs
6,LA Clippers,43.0,39.0,.525,-0.19,-0.57,0.12,42-38,1-1,44-38,42-40,87.0%,,3.7%,0.8%,43,0.87,0.008,lac
7,New Orleans Pelicans,42.5,39.5,.518,-0.27,-0.43,1.71,42-39,1-0,43-39,42-40,80.2%,,7.0%,2.1%,42,0.802,0.021,no
8,Los Angeles Lakers,42.6,39.4,.519,-0.14,-1.01,0.31,42-39,1-0,43-39,42-40,75.0%,,3.3%,0.8%,43,0.75,0.008,lal
9,Minnesota Timberwolves,41.2,40.8,.503,-0.08,-4.18,-0.43,40-40,1-1,42-40,40-42,35.5%,,1.0%,0.2%,41,0.355,0.002,min
10,Oklahoma City Thunder,39.5,42.5,.481,-0.17,3.80,0.74,39-42,0-1,40-42,39-43,26.6%,,1.4%,0.4%,40,0.266,0.004,okc
11,Dallas Mavericks,38.8,43.2,.473,-0.11,-10.06,0.22,38-43,1-0,39-43,38-44,0,,,0,39,0,0,dal
12,Utah Jazz,36.8,45.2,.449,-0.14,1.64,-1.01,36-44,1-1,38-44,36-46,0,,,0,37,0,0,uta
13,Portland Trail Blazers,33.8,48.2,.412,-0.01,0.58,-3.28,33-47,1-1,35-47,33-49,0,,,0,34,0,0,por
14,San Antonio Spurs,21.5,60.5,.262,0.24,-0.11,-10.06,21-59,0-2,23-59,21-61,0,,,0,22,0,0,sa
15,Houston Rockets,21.3,60.7,.259,0.24,-0.92,-7.77,21-60,0-1,22-60,21-61,0,,,0,21,0,0,hou
