Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,First Round Seed1,First Round Seed2,First Round Seed3,First Round Seed4,First Round Seed5,First Round Seed6,First Round Seed7,First Round Seed8,NA,Pre Play-In1-6,Pre Play-In7,Pre Play-In8,Pre Play-In9,Pre Play-In10,Pre Play-InOut,NA,Win Conf,Win Finals
1,Boston Celtics,62.9,19.1,.767,0.00,-1.38,9.37,42-12,21-7,70-12,53-29,100.0%,100.0%,99.8,0.2,NA,NA,NA,NA,NA,NA,NA,100.0,NA,NA,NA,NA,,NA,60.6%,42.8%
2,Cleveland Cavaliers,53.9,28.1,.658,-0.62,-0.34,5.11,35-17,19-11,62-20,44-38,100.0%,89.7%,0.2,80.3,12.7,4.6,1.8,0.4,0.1,NA,NA,100.0,0.1,NA,NA,NA,,NA,15.7%,6.9%
3,Milwaukee Bucks,49.6,32.4,.605,-0.68,0.80,2.61,35-20,15-12,59-23,40-42,99.4%,10.1%,NA,7.8,33,28.1,19.4,8.3,1.9,1,NA,96.5,2.9,0.6,NA,NA,,NA,4.6%,1.4%
4,New York Knicks,49.9,32.1,.608,-0.52,0.46,4.44,33-21,17-11,60-22,40-42,99.5%,,NA,7.4,32.2,29.1,20.5,7.5,2.1,0.9,NA,96.6,2.8,0.6,NA,NA,,NA,9.6%,4.1%
5,Philadelphia 76ers,48.9,33.1,.596,-0.91,0.26,3.66,32-21,17-12,58-24,37-45,98.7%,,NA,4,18.5,26.4,29.1,14.9,3.9,1.9,NA,92.9,5.6,1.4,0.1,NA,,NA,6.4%,2.3%
6,Orlando Magic,45.1,36.9,.549,0.21,-1.72,0.77,29-25,16-12,54-28,35-47,89.2%,65.2%,NA,0.1,2.3,7,14.6,30.5,22.7,11.9,NA,54.5,25.4,17.7,2.1,0.2,,NA,1.1%,0.2%
7,Indiana Pacers,44.2,37.8,.538,-0.34,0.16,1.08,30-25,14-13,53-29,34-48,85.0%,0.2%,NA,0.1,0.9,3.3,8.8,20.4,33.1,18.4,NA,33.5,35.7,26.6,3.7,0.5,,NA,1.5%,0.3%
8,Miami Heat,43.1,38.9,.526,-0.44,-0.57,-0.33,29-25,14-14,52-30,35-47,77.2%,34.4%,NA,0.1,0.4,1.6,5.7,17.8,29.7,22,NA,25.6,24.8,40.9,7.1,1.4,0.3,NA,0.6%,0.1%
,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,,
9,Chicago Bulls,38.2,43.8,.465,-0.78,0.61,-1.89,26-28,12-16,48-34,30-52,23.6%,,NA,NA,NA,NA,0.1,0.2,4.3,19.1,NA,0.3,2,7.7,48.7,27.7,13.6,NA,0.1%,
