Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,Win Conf,Win Finals,wins,make_playoffs,win_finals,unit,messenger_team
1,Boston Celtics,55.5,24.5,.694,1.27,-0.38,9.71,12-4,44-20,68-12,42-38,100.0%,70.4%,39.0%,26.2%,56,1,0.262,bos,Celtics
2,Philadelphia 76ers,52.7,27.3,.659,1.43,-0.54,7.99,11-5,42-22,65-15,39-41,99.5%,27.3%,25.4%,15.0%,53,0.995,0.15,phi,76ers
3,Orlando Magic,49.1,30.9,.614,0.19,-0.24,5.00,11-5,38-26,62-18,34-46,96.3%,68.1%,10.9%,5.4%,49,0.963,0.054000000000000006,orl,Magic
4,New York Knicks,46.9,33.1,.586,0.31,0.11,4.51,9-6,38-27,62-18,33-47,90.0%,2.3%,7.2%,3.3%,47,0.9,0.033,ny,Knicks
5,Milwaukee Bucks,46.1,33.9,.576,-0.05,0.09,2.64,11-5,35-29,59-21,31-49,85.8%,57.2%,4.0%,1.7%,46,0.858,0.017,mil,Bucks
6,Atlanta Hawks,45.6,34.4,.570,0.85,-0.21,4.12,8-7,38-27,59-21,28-52,83.0%,25.0%,6.1%,2.7%,46,0.83,0.027000000000000003,atl,Hawks
7,Indiana Pacers,44.2,35.8,.553,-0.70,0.16,2.64,9-6,35-30,60-20,26-54,74.9%,36.5%,3.7%,1.4%,44,0.7490000000000001,0.013999999999999999,ind,Pacers
8,Miami Heat,42.4,37.6,.530,-1.24,0.31,0.76,10-7,32-31,61-19,29-51,55.8%,6.9%,1.3%,0.4%,42,0.5579999999999999,0.004,mia,Heat
9,Brooklyn Nets,41.3,38.7,.516,1.40,0.09,1.60,7-8,34-31,56-24,27-53,46.6%,0.1%,1.4%,0.4%,41,0.466,0.004,bkn,Nets
10,Cleveland Cavaliers,40.2,39.8,.503,1.93,-0.34,-0.19,8-8,32-32,54-26,26-54,34.7%,6.3%,0.5%,0.1%,40,0.34700000000000003,0.001,cle,Cavaliers
11,Toronto Raptors,39.9,40.1,.498,0.56,0.28,0.25,8-8,32-32,53-27,25-55,32.9%,,0.6%,0.2%,40,0.32899999999999996,0.002,tor,Raptors
12,Chicago Bulls,30.6,49.4,.383,0.92,0.26,-4.43,5-12,26-37,47-33,18-62,0.6%,,,0,31,0.006,0,chi,Bulls
13,Charlotte Hornets,28.0,52.0,.351,0.03,0.78,-7.68,5-9,23-43,43-37,16-64,0.1%,,,0,28,0.001,0,cha,Hornets
14,Detroit Pistons,25.4,54.6,.317,0.43,0.41,-7.00,2-14,23-41,45-35,12-68,0,,,0,25,0,0,det,Pistons
15,Washington Wizards,22.7,57.3,.284,0.48,0.54,-9.08,2-14,21-43,38-42,10-70,0,,,0,23,0,0,wsh,Wizards
1,Minnesota Timberwolves,52.7,27.3,.659,1.28,-0.89,7.28,11-4,42-23,66-14,36-44,99.8%,50.6%,28.2%,14.1%,53,0.998,0.141,min,T-Wolves
2,Oklahoma City Thunder,52.2,27.8,.653,-0.82,-0.62,7.50,11-5,41-23,65-15,34-46,99.7%,42.6%,32.2%,16.5%,52,0.997,0.165,okc,Thunder
3,Denver Nuggets,47.2,32.8,.590,0.31,-0.77,3.62,10-6,37-27,61-19,33-47,93.9%,6.8%,9.7%,3.5%,47,0.9390000000000001,0.035,den,Nuggets
4,Houston Rockets,47.0,33.0,.588,-0.67,-0.82,4.62,8-6,39-27,61-19,30-50,93.5%,71.7%,12.2%,4.6%,47,0.935,0.046,hou,Rockets
5,Golden State Warriors,43.4,36.6,.542,2.02,-1.06,2.19,8-9,35-28,58-22,30-50,73.6%,30.2%,4.7%,1.5%,43,0.736,0.015,gs,Warriors
6,Phoenix Suns,42.6,37.4,.533,-3.21,0.26,0.72,10-6,33-31,59-21,30-50,63.7%,24.9%,2.6%,0.7%,43,0.637,0.006999999999999999,phx,Suns
7,New Orleans Pelicans,42.8,37.2,.536,1.22,-0.83,1.22,9-8,34-29,56-24,29-51,67.5%,16.9%,3.5%,0.9%,43,0.675,0.009000000000000001,no,Pelicans
8,Sacramento Kings,42.0,38.0,.525,0.05,0.05,0.25,9-6,33-32,55-25,27-53,57.5%,18.6%,2.0%,0.5%,42,0.575,0.005,sac,Kings
9,Dallas Mavericks,41.5,38.5,.519,-1.50,0.24,-0.38,10-6,31-33,56-24,26-54,52.4%,11.5%,1.3%,0.2%,42,0.524,0.002,dal,Mavericks
10,Los Angeles Lakers,41.2,38.8,.515,-0.69,0.23,-0.04,10-7,31-32,56-24,26-54,50.6%,14.2%,1.5%,0.3%,41,0.506,0.003,lal,Lakers
11,LA Clippers,40.8,39.2,.510,-2.82,0.29,1.31,7-8,34-31,55-25,28-52,47.9%,12.1%,2.1%,0.7%,41,0.479,0.006999999999999999,lac,Clippers
12,Utah Jazz,26.4,53.6,.330,-1.29,0.79,-8.17,5-11,21-43,39-41,13-67,0,,,0,26,0,0,uta,Jazz
13,Portland Trail Blazers,24.3,55.7,.304,-1.36,0.70,-9.96,4-11,20-45,38-42,12-68,0,,,0,24,0,0,por,Blazers
14,Memphis Grizzlies,23.4,56.6,.292,-2.34,0.65,-9.88,3-12,20-45,39-41,10-70,0,,,0,23,0,0,mem,Grizzlies
15,San Antonio Spurs,21.5,58.5,.269,1.57,0.11,-11.37,3-13,19-45,36-44,9-71,0,,,0,22,0,0,sa,Spurs
