Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,Win Conf,Win Finals,wins,make_playoffs,win_finals,unit,messenger_team
1,Boston Celtics,65.8,16.2,.802,-0.40,-1.96,11.33,57-14,9-2,68-14,59-23,100.0%,100.0%,77.5%,60.6%,66,1,0.606,bos,Celtics
2,Milwaukee Bucks,51.6,30.4,.629,-0.45,1.36,2.94,45-25,7-5,57-25,46-36,100.0%,57.1%,4.7%,1.5%,52,1,0.015,mil,Bucks
3,Cleveland Cavaliers,50.7,31.3,.618,-0.19,-2.26,3.52,43-27,8-4,55-27,45-37,99.9%,42.7%,5.7%,2.1%,51,0.9990000000000001,0.021,cle,Cavaliers
4,New York Knicks,49.4,32.6,.602,-0.11,-0.49,3.90,42-28,7-5,54-28,43-39,99.8%,,6.1%,2.3%,49,0.998,0.023,ny,Knicks
5,Orlando Magic,48.2,33.8,.587,-0.53,-0.52,1.55,42-29,6-5,53-29,43-39,99.0%,92.0%,1.8%,0.4%,48,0.99,0.004,orl,Magic
6,Indiana Pacers,46.1,35.9,.562,-0.25,0.18,2.02,40-31,6-5,51-31,40-42,94.1%,0.2%,2.1%,0.5%,46,0.941,0.005,ind,Pacers
7,Miami Heat,44.5,37.5,.542,-0.48,-1.04,-0.30,38-32,6-6,50-32,39-43,80.5%,8.0%,0.4%,0.1%,44,0.805,0.001,mia,Heat
8,Philadelphia 76ers,44.7,37.3,.545,-0.45,-0.58,1.71,38-32,7-5,50-32,39-43,85.3%,,1.8%,0.5%,45,0.853,0.005,phi,76ers
9,Chicago Bulls,39.2,42.8,.478,-0.20,-0.96,-1.98,34-37,5-6,44-38,34-48,21.1%,,,0,39,0.21100000000000002,0,chi,Bulls
10,Atlanta Hawks,36.2,45.8,.441,-0.40,0.99,-1.95,31-39,5-7,42-40,31-51,20.0%,,,0,36,0.2,0,atl,Hawks
11,Brooklyn Nets,31.3,50.7,.382,0.13,-1.67,-2.60,26-45,5-6,37-45,26-56,0.4%,,,0,31,0.004,0,bkn,Nets
12,Toronto Raptors,27.0,55.0,.329,-0.12,0.22,-5.08,23-48,4-7,33-49,23-59,0,,,0,27,0,0,tor,Raptors
13,Charlotte Hornets,19.1,62.9,.233,-0.41,3.42,-10.91,17-53,2-10,25-57,17-65,0,,,0,19,0,0,cha,Hornets
14,Washington Wizards,16.1,65.9,.196,0.16,-0.55,-9.76,13-58,3-8,22-60,13-69,0,,,0,16,0,0,wsh,Wizards
15,Detroit Pistons,15.5,66.5,.189,0.28,-1.34,-8.51,12-58,3-9,22-60,12-70,0,,,0,16,0,0,det,Pistons
1,Oklahoma City Thunder,57.4,24.6,.700,-0.37,1.52,7.52,49-20,8-5,62-20,51-31,100.0%,48.3%,35.4%,13.6%,57,1,0.136,okc,Thunder
2,Denver Nuggets,57.2,24.8,.698,0.13,-0.73,4.68,50-21,7-4,61-21,51-31,100.0%,29.6%,12.6%,3.5%,57,1,0.035,den,Nuggets
3,Minnesota Timberwolves,56.4,25.6,.688,0.06,-0.73,6.72,48-22,8-4,60-22,51-31,100.0%,22.1%,25.4%,8.9%,56,1,0.08900000000000001,min,T-Wolves
4,LA Clippers,51.9,30.1,.633,0.06,0.41,4.12,44-25,8-5,57-25,45-37,99.9%,97.0%,7.9%,1.9%,52,0.9990000000000001,0.019,lac,Clippers
5,New Orleans Pelicans,50.5,31.5,.615,-0.11,0.82,5.12,43-27,7-5,55-27,43-39,99.4%,88.4%,12.0%,3.2%,50,0.9940000000000001,0.032,no,Pelicans
6,Dallas Mavericks,47.6,34.4,.580,0.26,-0.58,1.86,41-29,7-5,53-29,42-40,83.1%,11.6%,1.8%,0.2%,48,0.831,0.002,dal,Mavericks
7,Sacramento Kings,47.1,34.9,.574,0.29,2.20,1.70,41-29,6-6,52-30,42-40,79.7%,2.1%,1.7%,0.3%,47,0.797,0.003,sac,Kings
8,Phoenix Suns,46.9,35.1,.572,-0.56,3.86,2.43,42-29,5-6,53-29,42-40,75.6%,0.9%,2.2%,0.4%,47,0.7559999999999999,0.004,phx,Suns
9,Los Angeles Lakers,44.2,37.8,.539,0.67,-0.44,0.65,38-32,6-6,50-32,38-44,28.8%,,0.4%,0,44,0.28800000000000003,0,lal,Lakers
10,Golden State Warriors,43.3,38.7,.529,0.41,-1.01,2.00,36-33,7-6,49-33,38-44,26.3%,,0.5%,0.1%,43,0.263,0.001,gs,Warriors
11,Houston Rockets,41.4,40.6,.505,0.08,0.30,1.68,35-35,6-6,47-35,36-46,7.2%,,0.1%,0,41,0.07200000000000001,0,hou,Rockets
12,Utah Jazz,32.9,49.1,.401,0.49,1.86,-3.60,29-42,4-7,38-44,29-53,0,,,0,33,0,0,uta,Jazz
13,Memphis Grizzlies,27.8,54.2,.339,0.56,-0.32,-6.09,24-47,4-7,34-48,24-58,0,,,0,28,0,0,mem,Grizzlies
14,Portland Trail Blazers,22.2,59.8,.270,0.80,0.19,-7.27,19-52,3-8,28-54,19-63,0,,,0,22,0,0,por,Blazers
15,San Antonio Spurs,18.2,63.8,.222,0.65,1.26,-6.91,15-56,3-8,24-58,15-67,0,,,0,18,0,0,sa,Spurs
