Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,Win Conf,Win Finals,wins,make_playoffs,win_finals,unit,messenger_team
1,Boston Celtics,62.6,19.4,.764,0.73,-1.41,10.53,30-9,33-10,72-10,51-31,100.0%,98.4%,58.9%,40.2%,63,1,0.402,bos,Celtics
2,Philadelphia 76ers,54.4,27.6,.663,-0.78,-0.55,7.33,24-13,30-15,64-18,42-40,100.0%,1.6%,22.0%,11.2%,54,1,0.11199999999999999,phi,76ers
3,Milwaukee Bucks,52.7,29.3,.643,-0.81,0.30,4.22,28-12,25-17,63-19,41-41,99.8%,81.4%,7.1%,2.3%,53,0.998,0.023,mil,Bucks
4,New York Knicks,49.0,33.0,.598,-0.05,0.03,3.95,23-16,26-17,60-22,38-44,97.3%,,5.6%,1.8%,49,0.973,0.018000000000000002,ny,Knicks
5,Indiana Pacers,47.5,34.5,.579,-0.12,-0.24,2.78,23-16,25-18,58-24,35-47,94.5%,12.6%,3.1%,0.9%,48,0.945,0.009000000000000001,ind,Pacers
6,Cleveland Cavaliers,46.6,35.4,.569,-0.17,-0.43,1.75,22-15,25-20,58-24,34-48,90.5%,5.9%,1.5%,0.3%,47,0.905,0.003,cle,Cavaliers
7,Orlando Magic,45.3,36.7,.553,0.39,-1.31,1.26,21-18,24-19,56-26,33-49,85.9%,47.3%,1.1%,0.3%,45,0.8590000000000001,0.003,orl,Magic
8,Miami Heat,45.2,36.8,.551,-0.87,-0.16,0.41,23-16,22-21,58-24,34-48,84.3%,52.7%,0.7%,0.2%,45,0.843,0.002,mia,Heat
9,Chicago Bulls,37.8,44.2,.462,0.01,-0.55,-1.94,19-22,19-22,50-32,27-55,19.3%,,,0,38,0.193,0,chi,Bulls
10,Brooklyn Nets,35.8,46.2,.437,-0.18,0.09,-2.02,16-22,20-24,51-31,25-57,12.9%,,,0,36,0.129,0,bkn,Nets
11,Toronto Raptors,34.8,47.2,.424,-0.19,0.02,-1.83,15-24,20-23,46-36,24-58,7.7%,,,0,35,0.077,0,tor,Raptors
12,Atlanta Hawks,35.1,46.9,.428,0.15,-0.22,-2.29,15-23,20-24,48-34,24-58,7.9%,0.1%,,0,35,0.079,0,atl,Hawks
13,Washington Wizards,19.3,62.7,.235,0.03,0.25,-9.71,7-31,12-32,30-52,10-72,0,,,0,19,0,0,wsh,Wizards
14,Charlotte Hornets,18.5,63.5,.225,0.19,0.50,-11.57,8-29,10-35,29-53,10-72,0,,,0,18,0,0,cha,Hornets
15,Detroit Pistons,13.5,68.5,.165,0.45,0.12,-10.96,3-36,11-32,24-58,5-77,0,,,0,14,0,0,det,Pistons
1,Oklahoma City Thunder,58.3,23.7,.711,-0.01,-0.62,9.12,27-11,31-13,70-12,47-35,100.0%,53.5%,44.1%,23.0%,58,1,0.23,okc,Thunder
2,Minnesota Timberwolves,57.7,24.3,.704,1.09,-1.37,6.88,28-11,30-13,67-15,47-35,100.0%,41.8%,23.4%,9.8%,58,1,0.098,min,T-Wolves
3,Denver Nuggets,53.7,28.3,.655,-0.03,-0.25,5.17,28-13,26-15,65-17,44-38,99.9%,4.7%,11.2%,3.8%,54,0.9990000000000001,0.038,den,Nuggets
4,LA Clippers,51.7,30.3,.630,-0.33,0.06,5.16,25-14,27-16,64-18,39-43,99.7%,95.2%,10.3%,3.3%,52,0.997,0.033,lac,Clippers
5,New Orleans Pelicans,50.1,31.9,.611,0.12,-0.34,4.82,24-16,26-16,61-21,38-44,99.1%,87.5%,8.1%,2.5%,50,0.991,0.025,no,Pelicans
6,Sacramento Kings,44.5,37.5,.543,0.15,0.61,0.62,23-16,22-21,58-24,33-49,74.2%,4.0%,0.7%,0.1%,44,0.742,0.001,sac,Kings
7,Dallas Mavericks,44.2,37.8,.539,-0.62,0.62,0.83,23-17,21-21,57-25,34-48,72.8%,7.2%,0.8%,0.1%,44,0.728,0.001,dal,Mavericks
8,Houston Rockets,42.9,39.1,.523,0.31,-0.39,1.52,19-19,24-20,56-26,31-51,61.1%,5.3%,1.0%,0.2%,43,0.611,0.002,hou,Rockets
9,Golden State Warriors,40.5,41.5,.494,1.03,-0.84,0.24,18-21,22-21,52-30,29-53,32.6%,0.4%,0.3%,0.1%,40,0.326,0.001,gs,Warriors
10,Phoenix Suns,40.6,41.4,.495,-1.74,1.39,-0.26,21-18,20-23,53-29,30-52,34.0%,0.4%,0.2%,0,41,0.34,0,phx,Suns
11,Utah Jazz,38.6,43.4,.470,-0.05,0.93,-2.13,21-20,18-23,50-32,27-55,12.8%,,,0,39,0.128,0,uta,Jazz
12,Los Angeles Lakers,38.2,43.8,.466,0.33,0.46,-1.32,19-21,19-23,51-31,28-54,13.7%,0.1%,0.1%,0,38,0.13699999999999998,0,lal,Lakers
13,Memphis Grizzlies,30.9,51.1,.376,0.46,-0.08,-4.87,14-25,17-26,42-40,21-61,0.1%,,,0,31,0.001,0,mem,Grizzlies
14,Portland Trail Blazers,20.8,61.2,.253,0.00,1.32,-9.79,10-29,11-32,32-50,12-70,0,,,0,21,0,0,por,Blazers
15,San Antonio Spurs,19.4,62.6,.236,0.51,0.77,-8.59,7-31,12-32,34-48,10-72,0,,,0,19,0,0,sa,Spurs
