Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,Win Conf,Win Finals,wins,make_playoffs,win_finals,unit
1,Milwaukee Bucks,57.8,24.2,.705,-0.17,0.88,4.18,52-20,6-4,62-20,52-30,100.0%,99.8%,16.2%,9.8%,58,1,0.098,mil
2,Boston Celtics,56.0,26.0,.683,-0.11,-0.26,5.50,50-23,6-3,59-23,51-31,100.0%,79.0%,26.8%,18.9%,56,1,0.18899999999999997,bos
3,Philadelphia 76ers,54.8,27.2,.668,-0.22,1.67,5.01,49-23,6-4,59-23,49-33,100.0%,21.0%,21.9%,14.8%,55,1,0.14800000000000002,phi
4,Cleveland Cavaliers,52.0,30.0,.635,0.06,-2.61,5.56,47-28,5-2,54-28,47-35,100.0%,0.2%,24.8%,17.1%,52,1,0.171,cle
5,New York Knicks,46.3,35.7,.564,0.16,-0.94,2.70,42-33,4-3,49-33,42-40,99.2%,,5.3%,2.7%,46,0.992,0.027000000000000003,ny
6,Miami Heat,43.9,38.1,.535,0.20,-0.09,-0.19,40-34,4-4,48-34,40-42,87.8%,98.3%,1.0%,0.4%,44,0.878,0.004,mia
7,Brooklyn Nets,44.3,37.7,.540,0.41,-1.75,0.81,39-34,5-4,48-34,39-43,88.3%,,1.9%,0.7%,44,0.883,0.006999999999999999,bkn
8,Atlanta Hawks,40.1,41.9,.489,-0.20,2.09,-0.16,36-37,4-5,45-37,36-46,43.5%,1.7%,0.5%,0.2%,40,0.435,0.002,atl
9,Toronto Raptors,39.7,42.3,.484,0.16,0.01,0.85,35-38,5-4,44-38,35-47,38.9%,,0.9%,0.3%,40,0.389,0.003,tor
10,Chicago Bulls,39.3,42.7,.480,0.22,-0.72,0.86,34-38,5-5,44-38,34-48,35.6%,,0.8%,0.2%,39,0.35600000000000004,0.002,chi
11,Indiana Pacers,36.6,45.4,.446,0.09,1.66,-2.24,33-40,4-5,41-41,33-49,4.0%,,,0,37,0.04,0,ind
12,Washington Wizards,36.6,45.4,.447,0.25,-0.78,-0.78,32-41,5-4,41-41,32-50,2.5%,,,0,37,0.025,0,wsh
13,Orlando Magic,34.2,47.8,.417,0.09,1.02,-2.52,31-43,3-5,39-43,31-51,0.1%,,,0,34,0.001,0,orl
14,Charlotte Hornets,25.7,56.3,.313,0.33,0.33,-5.98,23-51,3-5,31-51,23-59,0,,,0,26,0,0,cha
15,Detroit Pistons,18.7,63.3,.227,0.57,-0.51,-7.21,16-57,3-6,24-58,16-66,0,,,0,19,0,0,det
1,Denver Nuggets,54.2,27.8,.661,-0.41,0.86,3.48,49-24,5-4,58-24,49-33,100.0%,100.0%,27.9%,12.2%,54,1,0.122,den
2,Memphis Grizzlies,51.1,30.9,.623,-0.33,-0.45,3.58,45-27,6-4,55-27,46-36,100.0%,100.0%,25.8%,10.5%,51,1,0.105,mem
3,Sacramento Kings,48.8,33.2,.595,-0.27,-0.72,2.10,43-29,6-4,53-29,43-39,100.0%,98.8%,13.5%,4.1%,49,1,0.040999999999999995,sac
4,Phoenix Suns,43.3,38.7,.529,-0.05,0.48,1.53,38-34,5-5,48-34,38-44,94.0%,1.0%,10.5%,3.1%,43,0.94,0.031,phx
5,LA Clippers,42.8,39.2,.522,-0.34,1.16,0.20,39-35,4-4,47-35,39-43,83.4%,0.1%,4.5%,1.1%,43,0.8340000000000001,0.011000000000000001,lac
6,Golden State Warriors,42.1,39.9,.513,-0.11,0.10,0.30,38-36,4-4,46-36,38-44,75.3%,0.1%,4.0%,0.8%,42,0.753,0.008,gs
7,Oklahoma City Thunder,41.1,40.9,.501,0.04,-1.36,1.19,36-37,5-4,45-37,36-46,50.8%,,4.1%,1.1%,41,0.508,0.011000000000000001,okc
8,Minnesota Timberwolves,41.0,41.0,.500,-0.08,-0.78,-0.34,37-37,4-4,45-37,37-45,54.2%,,2.1%,0.4%,41,0.542,0.004,min
9,Dallas Mavericks,41.0,41.0,.500,-0.01,-1.82,0.45,36-37,5-4,45-37,36-46,50.9%,,2.9%,0.6%,41,0.509,0.006,dal
10,New Orleans Pelicans,40.4,41.6,.492,-0.39,1.17,0.88,36-37,4-5,45-37,36-46,36.5%,,2.6%,0.7%,40,0.365,0.006999999999999999,no
11,Los Angeles Lakers,40.5,41.5,.494,-0.06,-0.42,-0.28,36-37,4-5,45-37,36-46,32.8%,,1.5%,0.3%,40,0.32799999999999996,0.003,lal
12,Utah Jazz,39.7,42.3,.484,-0.21,0.84,-0.26,35-37,5-5,45-37,35-47,21.8%,,0.8%,0.2%,40,0.218,0.002,uta
13,Portland Trail Blazers,36.6,45.4,.446,-0.06,0.10,-1.73,32-40,5-5,42-40,32-50,0.4%,,,0,37,0.004,0,por
14,San Antonio Spurs,20.9,61.1,.254,0.19,0.75,-9.83,19-54,2-7,26-56,19-63,0,,,0,21,0,0,sa
15,Houston Rockets,20.5,61.5,.250,0.23,0.21,-7.57,18-55,2-7,27-55,18-64,0,,,0,20,0,0,hou
