Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,Win Conf,Win Finals,wins,make_playoffs,win_finals,unit,messenger_team
1,Boston Celtics,64.0,18.0,.781,0.11,-2.70,11.05,48-14,16-4,68-14,56-26,100.0%,100.0%,76.0%,59.0%,64,1,0.59,bos,Celtics
2,Cleveland Cavaliers,52.1,29.9,.635,-0.53,-0.25,3.99,40-22,12-8,59-23,43-39,100.0%,65.8%,8.1%,3.1%,52,1,0.031,cle,Cavaliers
3,Milwaukee Bucks,51.2,30.8,.624,-0.79,1.84,3.05,41-22,10-9,58-24,44-38,100.0%,34.2%,4.5%,1.5%,51,1,0.015,mil,Bucks
4,Orlando Magic,47.9,34.1,.584,-0.39,-0.74,1.51,37-26,11-8,55-27,39-43,97.0%,71.3%,1.8%,0.5%,48,0.97,0.005,orl,Magic
5,New York Knicks,47.7,34.3,.582,-0.12,0.05,3.28,36-26,12-8,55-27,39-43,97.6%,,4.7%,1.5%,48,0.976,0.015,ny,Knicks
6,Miami Heat,45.7,36.3,.558,-0.42,-0.79,0.31,35-27,11-9,54-28,38-44,88.2%,28.8%,0.7%,0.1%,46,0.882,0.001,mia,Heat
7,Philadelphia 76ers,46.0,36.0,.561,-0.62,0.12,2.46,35-27,11-9,54-28,38-44,90.4%,,2.8%,0.9%,46,0.904,0.009000000000000001,phi,76ers
8,Indiana Pacers,44.3,37.7,.540,-0.27,0.47,1.19,35-29,9-9,52-30,37-45,80.9%,0.1%,1.4%,0.2%,44,0.809,0.002,ind,Pacers
9,Chicago Bulls,39.9,42.1,.487,-0.26,-0.35,-1.53,31-32,9-10,47-35,33-49,26.2%,,,0,40,0.262,0,chi,Bulls
10,Atlanta Hawks,37.1,44.9,.452,-0.10,-0.24,-1.89,28-34,9-11,44-38,30-52,16.0%,,,0,37,0.16,0,atl,Hawks
11,Brooklyn Nets,33.8,48.2,.412,0.19,-0.97,-1.94,25-38,9-10,42-40,26-56,3.6%,,,0,34,0.036000000000000004,0,bkn,Nets
12,Toronto Raptors,30.7,51.3,.374,0.00,-0.34,-3.89,23-40,8-11,38-44,23-59,0.2%,,,0,31,0.002,0,tor,Raptors
13,Charlotte Hornets,19.4,62.6,.236,-0.07,0.99,-10.49,15-47,4-16,26-56,15-67,0,,,0,19,0,0,cha,Hornets
14,Detroit Pistons,15.9,66.1,.194,0.21,-0.26,-8.43,10-52,6-14,24-58,10-72,0,,,0,16,0,0,det,Pistons
15,Washington Wizards,14.7,67.3,.179,0.37,-0.62,-9.66,9-53,6-14,24-58,9-73,0,,,0,15,0,0,wsh,Wizards
1,Minnesota Timberwolves,56.7,25.3,.692,-0.18,0.06,6.63,44-19,13-6,63-19,49-33,100.0%,46.1%,26.8%,9.5%,57,1,0.095,min,T-Wolves
2,Oklahoma City Thunder,56.8,25.2,.693,-0.21,-0.02,7.39,43-19,14-6,63-19,50-32,100.0%,42.8%,35.3%,14.5%,57,1,0.145,okc,Thunder
3,Denver Nuggets,55.2,26.8,.673,0.23,-0.92,4.30,43-20,12-7,62-20,48-34,100.0%,11.0%,10.6%,2.9%,55,1,0.028999999999999998,den,Nuggets
4,LA Clippers,53.3,28.7,.650,0.04,-0.02,4.70,40-21,13-8,60-22,44-38,99.9%,98.4%,11.3%,2.9%,53,0.9990000000000001,0.028999999999999998,lac,Clippers
5,New Orleans Pelicans,49.3,32.7,.602,-0.22,0.41,4.91,37-25,12-8,56-26,42-40,98.2%,92.6%,10.3%,2.6%,49,0.982,0.026000000000000002,no,Pelicans
6,Sacramento Kings,46.5,35.5,.567,0.44,0.71,0.88,36-26,10-10,54-28,38-44,79.5%,0.9%,1.1%,0.2%,46,0.795,0.002,sac,Kings
7,Phoenix Suns,45.9,36.1,.559,-0.90,2.81,1.95,37-26,9-10,54-28,39-43,71.4%,0.5%,1.6%,0.2%,46,0.7140000000000001,0.002,phx,Suns
8,Dallas Mavericks,45.1,36.9,.550,0.35,-0.76,0.86,35-28,10-9,52-30,38-44,61.9%,7.4%,0.8%,0.1%,45,0.619,0.001,dal,Mavericks
9,Golden State Warriors,45.0,37.0,.549,0.59,-1.54,2.43,33-29,12-8,52-30,36-46,58.9%,0.1%,2.1%,0.4%,45,0.589,0.004,gs,Warriors
10,Los Angeles Lakers,42.7,39.3,.521,0.42,0.56,-0.07,34-30,9-9,50-32,35-47,28.2%,,0.2%,0,43,0.282,0,lal,Lakers
11,Houston Rockets,38.0,44.0,.464,0.57,-1.50,0.49,27-35,11-9,46-36,31-51,2.0%,,,0,38,0.02,0,hou,Rockets
12,Utah Jazz,34.7,47.3,.423,-0.12,2.81,-2.82,28-35,7-12,44-38,29-53,0,,,0,35,0,0,uta,Jazz
13,Memphis Grizzlies,29.2,52.8,.356,0.68,-0.85,-5.66,22-41,7-12,37-45,23-59,0,,,0,29,0,0,mem,Grizzlies
14,Portland Trail Blazers,22.8,59.2,.278,0.46,1.24,-7.59,17-44,6-15,31-51,17-65,0,,,0,23,0,0,por,Blazers
15,San Antonio Spurs,18.6,63.4,.227,0.57,1.00,-7.38,13-50,6-13,27-55,13-69,0,,,0,19,0,0,sa,Spurs
