Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,Win Conf,Win Finals,wins,make_playoffs,win_finals,unit
1,Boston Celtics,56.2,23.8,.702,3.20,-0.20,15.45,6-2,50-22,69-11,41-39,100.0%,65.3%,49.3%,34.5%,56,1,0.345,bos
2,Philadelphia 76ers,53.7,26.3,.671,0.45,0.11,11.70,7-1,47-25,66-14,36-44,99.9%,33.8%,27.0%,16.1%,54,0.9990000000000001,0.161,phi
3,Atlanta Hawks,45.9,34.1,.574,0.41,0.31,5.16,5-3,41-31,63-17,32-48,93.2%,79.1%,6.0%,2.4%,46,0.932,0.024,atl
4,New York Knicks,44.7,35.3,.558,0.88,0.48,5.26,4-4,41-31,59-21,28-52,87.9%,0.6%,5.9%,2.6%,45,0.879,0.026000000000000002,ny
5,Indiana Pacers,43.2,36.8,.540,-2.06,0.77,2.39,6-3,37-34,59-21,28-52,79.3%,56.8%,3.0%,1.0%,43,0.7929999999999999,0.01,ind
6,Toronto Raptors,43.1,36.9,.539,2.45,0.48,3.58,4-4,39-33,57-23,24-56,78.2%,0.2%,3.5%,1.2%,43,0.782,0.012,tor
7,Milwaukee Bucks,41.5,38.5,.518,2.85,0.25,0.60,5-3,36-36,60-20,26-54,64.9%,31.5%,1.4%,0.3%,42,0.649,0.003,mil
8,Orlando Magic,40.4,39.6,.505,-1.80,0.56,0.82,4-4,36-36,56-24,26-54,54.7%,14.6%,1.2%,0.3%,40,0.547,0.003,orl
9,Brooklyn Nets,41.0,39.0,.512,2.65,0.48,1.65,4-5,37-34,57-23,25-55,60.6%,0.1%,1.8%,0.6%,41,0.606,0.006,bkn
10,Cleveland Cavaliers,38.3,41.7,.478,2.76,0.28,-0.74,3-5,35-37,55-25,21-59,35.6%,9.8%,0.5%,0.2%,38,0.35600000000000004,0.002,cle
11,Miami Heat,37.4,42.6,.467,0.34,0.51,-2.29,4-4,33-39,54-26,22-58,27.4%,5.4%,0.3%,0.1%,37,0.27399999999999997,0.001,mia
12,Chicago Bulls,33.5,46.5,.419,0.64,0.64,-4.36,3-6,31-40,50-30,16-64,7.0%,1.5%,,0,34,0.07,0,chi
13,Charlotte Hornets,33.2,46.8,.415,-0.10,0.94,-5.23,3-5,30-42,50-30,18-62,6.1%,0.7%,,0,33,0.061,0,cha
14,Washington Wizards,31.8,48.2,.397,1.52,0.71,-5.98,2-6,30-42,49-31,17-63,2.7%,0.2%,,0,32,0.027000000000000003,0,wsh
15,Detroit Pistons,31.5,48.5,.394,-0.81,0.83,-4.61,2-8,29-41,50-30,17-63,2.6%,0.4%,,0,32,0.026000000000000002,0,det
1,Minnesota Timberwolves,53.2,26.8,.664,1.12,-0.86,11.25,6-2,47-25,68-12,36-44,100.0%,55.6%,38.4%,18.9%,53,1,0.18899999999999997,min
2,Denver Nuggets,52.6,27.4,.658,-1.36,-0.62,8.64,8-1,45-26,67-13,36-44,100.0%,44.1%,28.8%,12.7%,53,1,0.127,den
3,Dallas Mavericks,47.3,32.7,.591,-1.48,-0.24,4.41,7-2,40-31,65-15,31-49,98.7%,74.0%,11.1%,3.3%,47,0.987,0.033,dal
4,Golden State Warriors,46.2,33.8,.578,-0.86,-0.40,3.91,6-3,40-31,64-16,30-50,97.7%,81.0%,9.9%,2.9%,46,0.977,0.028999999999999998,gs
5,Houston Rockets,43.5,36.5,.544,-3.36,-0.41,2.14,5-3,38-34,58-22,29-51,91.7%,24.8%,5.0%,1.5%,44,0.917,0.015,hou
6,Oklahoma City Thunder,41.5,38.5,.519,-0.04,-0.27,0.62,5-4,37-34,56-24,24-56,81.8%,0.3%,2.8%,0.7%,42,0.818,0.006999999999999999,okc
7,LA Clippers,39.9,40.1,.499,-2.22,-0.13,0.53,3-5,37-35,55-25,26-54,72.8%,11.8%,2.3%,0.5%,40,0.728,0.005,lac
8,Phoenix Suns,37.1,42.9,.463,-3.54,0.06,-2.54,4-5,33-38,57-23,20-60,45.5%,3.8%,0.8%,0.2%,37,0.455,0.002,phx
9,Sacramento Kings,36.5,43.5,.456,-1.00,0.22,-3.63,4-4,32-40,51-29,19-61,40.5%,2.6%,0.4%,0,36,0.405,0,sac
10,New Orleans Pelicans,36.0,44.0,.450,2.51,-0.44,-4.04,4-5,32-39,51-29,21-59,35.3%,1.2%,0.4%,0.1%,36,0.353,0.001,no
11,Los Angeles Lakers,33.6,46.4,.420,0.22,0.14,-5.89,4-5,30-41,49-31,19-61,17.9%,0.8%,0.1%,0,34,0.179,0,lal
12,Portland Trail Blazers,32.7,47.3,.408,-1.40,0.35,-6.52,3-5,30-42,49-31,19-61,12.4%,,0.1%,0,33,0.124,0,por
13,San Antonio Spurs,29.5,50.5,.369,2.72,-0.03,-9.17,3-6,26-45,44-36,15-65,3.3%,,,0,30,0.033,0,sa
14,Utah Jazz,28.8,51.2,.360,-0.64,0.52,-8.34,3-7,26-44,44-36,13-67,2.2%,,,0,29,0.022000000000000002,0,uta
15,Memphis Grizzlies,26.2,53.8,.327,-3.22,0.56,-9.78,1-8,25-46,42-38,11-69,0.4%,,,0,26,0.004,0,mem
