Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,Win Conf,Win Finals,wins,make_playoffs,win_finals,unit,messenger_team
1,Boston Celtics,62.8,19.2,.766,0.63,-1.75,10.12,36-11,27-8,71-11,53-29,100.0%,99.7%,59.0%,42.6%,63,1,0.426,bos,Celtics
2,Philadelphia 76ers,52.6,29.4,.642,-0.99,-0.03,5.75,29-16,24-13,62-20,42-40,100.0%,0.2%,13.2%,6.1%,53,1,0.061,phi,76ers
3,Milwaukee Bucks,52.0,30.0,.634,-0.61,0.45,3.48,32-15,20-15,62-20,41-41,99.9%,47.9%,5.6%,1.9%,52,0.9990000000000001,0.019,mil,Bucks
4,Cleveland Cavaliers,51.8,30.2,.632,0.07,-1.05,4.36,28-16,24-14,62-20,42-40,99.9%,49.1%,7.4%,3.0%,52,0.9990000000000001,0.03,cle,Cavaliers
5,New York Knicks,52.1,29.9,.635,-0.48,0.40,5.42,30-17,22-13,62-20,40-42,99.8%,0.2%,12.0%,5.5%,52,0.998,0.055,ny,Knicks
6,Indiana Pacers,46.1,35.9,.562,-0.23,-0.02,1.81,27-20,19-16,57-25,35-47,93.5%,3.0%,1.8%,0.6%,46,0.935,0.006,ind,Pacers
7,Orlando Magic,44.0,38.0,.537,0.48,-1.71,0.99,24-23,20-15,54-28,32-50,86.0%,80.1%,1.0%,0.2%,44,0.86,0.002,orl,Magic
8,Miami Heat,40.2,41.8,.490,-0.51,-0.22,-1.85,24-23,16-19,52-30,30-52,56.5%,19.5%,0.1%,0,40,0.565,0,mia,Heat
9,Chicago Bulls,37.7,44.3,.460,-0.51,0.08,-1.91,22-25,16-19,49-33,28-54,29.8%,,0.1%,0,38,0.298,0,chi,Bulls
10,Brooklyn Nets,36.2,45.8,.441,-0.10,-0.05,-0.92,19-27,17-19,46-36,25-57,24.4%,,0.1%,0,36,0.244,0,bkn,Nets
11,Atlanta Hawks,34.2,47.8,.417,-0.11,0.07,-3.20,19-27,15-21,45-37,24-58,7.3%,0.4%,,0,34,0.073,0,atl,Hawks
12,Toronto Raptors,32.3,49.7,.393,0.14,-0.41,-2.25,16-30,16-20,43-39,23-59,3.1%,,,0,32,0.031,0,tor,Raptors
13,Washington Wizards,18.3,63.7,.223,-0.54,0.98,-9.36,9-37,9-27,28-54,10-72,0,,,0,18,0,0,wsh,Wizards
14,Charlotte Hornets,17.9,64.1,.218,0.06,0.60,-11.72,10-35,8-29,29-53,11-71,0,,,0,18,0,0,cha,Hornets
15,Detroit Pistons,15.0,67.0,.183,0.10,0.36,-9.60,6-40,9-27,26-56,7-75,0,,,0,15,0,0,det,Pistons
1,Oklahoma City Thunder,56.6,25.4,.690,0.00,-0.60,7.85,32-15,25-10,65-17,47-35,100.0%,48.2%,36.8%,18.0%,57,1,0.18,okc,Thunder
2,Minnesota Timberwolves,55.8,26.2,.681,0.10,-0.39,5.59,33-14,23-12,64-18,45-37,100.0%,35.4%,17.6%,6.7%,56,1,0.067,min,T-Wolves
3,Denver Nuggets,54.8,27.2,.668,0.50,-0.88,4.63,33-15,22-12,63-19,44-38,100.0%,16.3%,12.7%,4.0%,55,1,0.04,den,Nuggets
4,LA Clippers,54.5,27.5,.665,0.18,-0.47,6.31,30-15,25-12,65-17,41-41,100.0%,98.5%,23.1%,9.1%,54,1,0.091,lac,Clippers
5,New Orleans Pelicans,47.2,34.8,.575,0.32,-0.52,3.81,26-21,21-14,56-26,34-48,93.6%,76.2%,5.6%,1.6%,47,0.9359999999999999,0.016,no,Pelicans
6,Sacramento Kings,45.7,36.3,.557,0.07,0.83,0.99,27-18,19-18,57-25,34-48,83.3%,1.1%,1.3%,0.2%,46,0.833,0.002,sac,Kings
7,Phoenix Suns,44.3,37.7,.540,-1.06,1.30,1.11,27-20,17-18,56-26,34-48,71.5%,0.3%,1.1%,0.2%,44,0.715,0.002,phx,Suns
8,Dallas Mavericks,43.5,38.5,.530,-0.04,0.19,0.30,26-21,17-18,54-28,33-49,61.3%,17.3%,0.7%,0.1%,44,0.613,0.001,dal,Mavericks
9,Houston Rockets,41.3,40.7,.504,0.15,-0.25,1.37,22-24,19-17,52-30,31-51,40.4%,6.5%,0.8%,0.1%,41,0.40399999999999997,0.001,hou,Rockets
10,Los Angeles Lakers,40.1,41.9,.489,0.43,0.40,-0.67,24-24,16-18,50-32,31-51,22.0%,,0.1%,0,40,0.22,0,lal,Lakers
11,Golden State Warriors,39.5,42.5,.482,0.94,-0.80,0.47,19-24,20-19,50-32,28-54,19.3%,,0.2%,0.1%,40,0.193,0.001,gs,Warriors
12,Utah Jazz,38.4,43.6,.469,-0.02,1.15,-2.09,24-24,14-20,51-31,29-53,8.5%,,,0,38,0.085,0,uta,Jazz
13,Memphis Grizzlies,32.0,50.0,.390,0.49,-0.15,-4.62,18-29,14-21,42-40,23-59,0.1%,,,0,32,0.001,0,mem,Grizzlies
14,Portland Trail Blazers,24.0,58.0,.292,0.35,1.06,-8.05,14-33,10-25,34-48,15-67,0,,,0,24,0,0,por,Blazers
15,San Antonio Spurs,19.2,62.8,.235,0.22,1.18,-8.27,10-37,9-26,29-53,11-71,0,,,0,19,0,0,sa,Spurs
