Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,Win Conf,Win Finals,wins,make_playoffs,win_finals,unit
1,Milwaukee Bucks,57.6,24.4,.702,-0.03,0.00,3.87,51-20,7-4,62-20,52-30,100.0%,99.9%,15.7%,9.7%,58,1,0.09699999999999999,mil
2,Boston Celtics,55.5,26.5,.676,-0.14,0.06,5.23,49-23,6-4,59-23,50-32,100.0%,66.1%,25.8%,16.9%,56,1,0.16899999999999998,bos
3,Philadelphia 76ers,55.0,27.0,.671,-0.24,1.49,4.84,48-22,7-5,60-22,49-33,100.0%,33.9%,20.8%,13.8%,55,1,0.138,phi
4,Cleveland Cavaliers,51.2,30.8,.625,0.03,-1.90,5.58,45-28,6-3,54-28,46-36,100.0%,0.1%,25.1%,16.9%,51,1,0.16899999999999998,cle
5,New York Knicks,48.1,33.9,.587,0.20,-1.05,3.09,42-30,6-4,52-30,43-39,99.8%,,7.0%,3.7%,48,0.998,0.037000000000000005,ny
6,Brooklyn Nets,45.2,36.8,.551,0.28,-0.51,0.80,39-32,6-5,50-32,39-43,93.4%,,1.9%,0.7%,45,0.934,0.006999999999999999,bkn
7,Miami Heat,43.3,38.7,.528,0.16,0.32,-0.34,39-34,4-5,48-34,39-43,78.4%,94.9%,0.9%,0.3%,43,0.784,0.003,mia
8,Atlanta Hawks,40.2,41.8,.490,-0.10,1.04,-0.35,35-36,5-6,46-36,35-47,41.2%,5.0%,0.7%,0.3%,40,0.41200000000000003,0.003,atl
9,Toronto Raptors,40.4,41.6,.492,0.19,-0.28,0.94,35-37,5-5,45-37,35-47,46.4%,,1.2%,0.6%,40,0.46399999999999997,0.006,tor
10,Chicago Bulls,39.2,42.8,.478,0.09,0.12,1.04,33-37,6-6,45-37,33-49,30.1%,,0.8%,0.4%,39,0.301,0.004,chi
11,Washington Wizards,37.6,44.4,.459,0.23,-0.61,-0.49,32-39,6-5,43-39,32-50,7.0%,0.2%,0.1%,0,38,0.07,0,wsh
12,Indiana Pacers,36.5,45.5,.445,0.16,0.95,-2.21,32-39,5-6,42-40,32-50,3.6%,,,0,36,0.036000000000000004,0,ind
13,Detroit Pistons,19.0,63.0,.231,0.57,-0.52,-7.01,16-56,3-7,25-57,16-66,0,,,0,19,0,0,det
14,Orlando Magic,33.0,49.0,.402,0.05,1.12,-2.84,29-43,4-6,39-43,29-53,0,,,0,33,0,0,orl
15,Charlotte Hornets,25.4,56.6,.310,0.35,0.15,-5.96,22-50,3-7,31-51,22-60,0,,,0,25,0,0,cha
1,Denver Nuggets,53.8,28.2,.656,-0.41,0.69,3.34,48-24,6-4,58-24,48-34,100.0%,100.0%,26.2%,10.6%,54,1,0.106,den
2,Memphis Grizzlies,50.6,31.4,.617,-0.21,-1.10,3.69,43-27,8-4,55-27,44-38,100.0%,100.0%,25.5%,10.9%,51,1,0.109,mem
3,Sacramento Kings,49.9,32.1,.608,-0.36,-0.22,2.53,43-27,7-5,55-27,44-38,100.0%,99.1%,16.1%,6.1%,50,1,0.061,sac
4,Phoenix Suns,43.9,38.1,.536,-0.07,0.42,1.70,38-33,6-5,49-33,39-43,97.1%,0.9%,11.3%,3.6%,44,0.971,0.036000000000000004,phx
5,LA Clippers,42.8,39.2,.521,-0.35,1.15,-0.08,38-34,5-5,48-34,38-44,83.9%,,3.5%,0.8%,43,0.8390000000000001,0.008,lac
6,Dallas Mavericks,41.9,40.1,.511,-0.09,-1.07,0.48,36-35,6-5,47-35,37-45,76.4%,,4.2%,1.2%,42,0.764,0.012,dal
7,Oklahoma City Thunder,41.1,40.9,.502,0.01,-1.12,1.49,35-36,6-5,46-36,35-47,59.0%,,5.4%,1.6%,41,0.59,0.016,okc
8,Golden State Warriors,41.2,40.8,.503,-0.02,-0.61,0.19,36-36,5-5,46-36,36-46,59.9%,,2.9%,0.7%,41,0.599,0.006999999999999999,gs
9,New Orleans Pelicans,39.8,42.2,.485,-0.15,-0.44,0.39,34-37,6-5,45-37,34-48,29.1%,,1.6%,0.5%,40,0.29100000000000004,0.005,no
10,Utah Jazz,39.7,42.3,.485,-0.22,0.79,-0.22,34-36,6-6,46-36,34-48,30.1%,,1.3%,0.3%,40,0.301,0.003,uta
11,Minnesota Timberwolves,39.8,42.2,.486,-0.10,-0.32,-0.46,35-37,5-5,45-37,35-47,35.6%,,1.1%,0.3%,40,0.35600000000000004,0.003,min
12,Los Angeles Lakers,39.9,42.1,.487,-0.08,-0.16,-0.46,35-37,5-5,45-37,35-47,28.5%,,0.9%,0.2%,40,0.285,0.002,lal
13,Portland Trail Blazers,35.9,46.1,.438,-0.06,0.17,-1.92,31-40,5-6,42-40,31-51,0.4%,,,0,36,0.004,0,por
14,Houston Rockets,21.0,61.0,.256,0.18,0.59,-7.58,18-53,3-8,26-56,18-64,0,,,0,21,0,0,hou
15,San Antonio Spurs,21.3,60.7,.260,0.10,1.03,-9.20,19-52,2-9,27-55,19-63,0,,,0,21,0,0,sa
