Rk,TEAM,W,L,W/L%,SOS,SRS,Current,Playoffs,Division,First Round Seed1,First Round Seed2,First Round Seed3,First Round Seed4,First Round Seed5,First Round Seed6,First Round Seed7,First Round Seed8,Win 1st Rd,Win Semi,Win Conf,Win Finals
1,Boston Celtics,64.0,18.0,.780,-0.60,10.75,64-18,100.0%,100.0%,100,NA,NA,NA,NA,NA,NA,NA,94.3%,87.1%,76.5%,59.4%
2,New York Knicks,50.0,32.0,.610,-0.23,4.36,50-32,100.0%,,NA,100,NA,NA,NA,NA,NA,NA,67.2%,42.6%,9.5%,3.9%
3,Milwaukee Bucks,49.0,33.0,.598,-0.18,2.44,49-33,100.0%,100.0%,NA,NA,100,NA,NA,NA,NA,NA,49.5%,19.8%,2.8%,0.9%
4,Cleveland Cavaliers,48.0,34.0,.585,-0.44,1.98,48-34,100.0%,,NA,NA,NA,100,NA,NA,NA,NA,55.7%,6.0%,2.7%,1.0%
5,Orlando Magic,47.0,35.0,.573,-0.55,1.48,47-35,100.0%,100.0%,NA,NA,NA,NA,100,NA,NA,NA,44.3%,4.0%,1.5%,0.4%
6,Indiana Pacers,47.0,35.0,.573,-0.30,2.75,47-35,100.0%,,NA,NA,NA,NA,NA,100,NA,NA,50.5%,21.9%,3.3%,1.0%
7,Philadelphia 76ers,47.0,35.0,.573,-0.54,2.51,47-35,83.5%,,NA,NA,NA,NA,NA,NA,55,28.5,22.4%,11.5%,2.2%,0.6%
8,Miami Heat,46.0,36.0,.561,-0.66,1.10,46-36,77.5%,,NA,NA,NA,NA,NA,NA,45.1,32.4,15.3%,6.8%,1.3%,0.3%
,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,
9,Chicago Bulls,39.0,43.0,.476,-0.33,-1.77,39-43,20.9%,,NA,NA,NA,NA,NA,NA,NA,20.9,0.4%,0.1%,,
10,Atlanta Hawks,36.0,46.0,.439,-0.19,-2.38,36-46,18.1%,,NA,NA,NA,NA,NA,NA,NA,18.1,0.4%,0.1%,,
11,Brooklyn Nets,32.0,50.0,.390,-0.13,-3.02,32-50,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,
12,Toronto Raptors,25.0,57.0,.305,-0.01,-6.45,25-57,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,
13,Charlotte Hornets,21.0,61.0,.256,0.13,-10.12,21-61,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,
14,Washington Wizards,15.0,67.0,.183,0.00,-9.29,15-67,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,
15,Detroit Pistons,14.0,68.0,.171,0.05,-9.06,14-68,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,
1,Oklahoma City Thunder,57.0,25.0,.695,-0.05,7.36,57-25,100.0%,100.0%,100,NA,NA,NA,NA,NA,NA,NA,77.4%,59.6%,38.2%,15.0%
2,Denver Nuggets,57.0,25.0,.695,-0.03,5.23,57-25,100.0%,,NA,100,NA,NA,NA,NA,NA,NA,64.0%,31.2%,14.4%,4.0%
3,Minnesota Timberwolves,56.0,26.0,.683,-0.07,6.39,56-26,100.0%,,NA,NA,100,NA,NA,NA,NA,NA,71.7%,43.1%,22.4%,8.1%
4,Los Angeles Clippers,51.0,31.0,.622,0.13,3.41,51-31,100.0%,100.0%,NA,NA,NA,100,NA,NA,NA,NA,59.1%,18.6%,7.7%,1.6%
5,Dallas Mavericks,50.0,32.0,.610,0.09,2.30,50-32,100.0%,100.0%,NA,NA,NA,NA,100,NA,NA,NA,40.9%,10.7%,3.8%,0.7%
6,Phoenix Suns,49.0,33.0,.598,0.02,3.08,49-33,100.0%,,NA,NA,NA,NA,NA,100,NA,NA,28.3%,10.9%,3.7%,0.9%
7,New Orleans Pelicans,49.0,33.0,.598,0.05,4.46,49-33,82.6%,,NA,NA,NA,NA,NA,NA,60.6,22,33.7%,16.5%,7.1%,1.8%
8,Los Angeles Lakers,47.0,35.0,.573,0.48,1.07,47-35,67.2%,,NA,NA,NA,NA,NA,NA,39.4,27.8,13.5%,4.0%,1.0%,0.1%
,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,
9,Golden State Warriors,46.0,36.0,.561,0.16,2.77,46-36,25.8%,,NA,NA,NA,NA,NA,NA,NA,25.8,6.0%,2.9%,1.1%,0.2%
10,Sacramento Kings,46.0,36.0,.561,0.55,2.29,46-36,24.4%,,NA,NA,NA,NA,NA,NA,NA,24.4,5.4%,2.4%,0.8%,0.2%
11,Houston Rockets,41.0,41.0,.500,0.12,1.24,41-41,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,
12,Utah Jazz,31.0,51.0,.378,0.68,-4.22,31-51,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,
13,Memphis Grizzlies,27.0,55.0,.329,0.43,-6.57,27-55,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,
14,San Antonio Spurs,22.0,60.0,.268,0.69,-5.80,22-60,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,
15,Portland Trail Blazers,21.0,61.0,.256,0.74,-8.29,21-61,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,
