Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,Win Conf,Win Finals,wins,make_playoffs,win_finals,unit,messenger_team
1,Boston Celtics,65.5,16.5,.799,-0.39,-2.00,11.35,56-14,10-2,68-14,60-22,100.0%,100.0%,78.1%,61.9%,66,1,0.619,bos,Celtics
2,Milwaukee Bucks,51.6,30.4,.630,-0.45,1.31,2.94,45-25,7-5,57-25,46-36,100.0%,59.2%,4.6%,1.4%,52,1,0.013999999999999999,mil,Bucks
3,Cleveland Cavaliers,50.6,31.4,.617,-0.23,-2.14,3.48,43-27,8-4,55-27,45-37,100.0%,40.6%,5.4%,1.7%,51,1,0.017,cle,Cavaliers
4,Orlando Magic,48.7,33.3,.594,-0.58,-0.35,1.57,42-28,7-5,54-28,43-39,99.4%,94.9%,1.8%,0.3%,49,0.9940000000000001,0.003,orl,Magic
5,New York Knicks,49.0,33.0,.598,-0.08,-0.63,3.82,41-28,8-5,54-28,43-39,99.7%,,5.6%,2.2%,49,0.997,0.022000000000000002,ny,Knicks
6,Indiana Pacers,46.1,35.9,.562,-0.25,0.14,2.02,40-31,6-5,51-31,40-42,94.2%,0.2%,2.2%,0.5%,46,0.9420000000000001,0.005,ind,Pacers
7,Miami Heat,44.5,37.5,.542,-0.48,-1.12,-0.29,38-32,6-6,50-32,39-43,80.8%,5.1%,0.6%,0.1%,44,0.8079999999999999,0.001,mia,Heat
8,Philadelphia 76ers,44.7,37.3,.545,-0.47,-0.56,1.69,38-32,7-5,50-32,39-43,84.8%,,1.6%,0.5%,45,0.848,0.005,phi,76ers
9,Chicago Bulls,39.4,42.6,.480,-0.36,-0.01,-2.00,34-36,5-7,45-37,34-48,22.2%,,,0,39,0.222,0,chi,Bulls
10,Atlanta Hawks,35.8,46.2,.437,-0.24,0.15,-2.41,30-39,6-7,42-40,31-51,17.9%,,,0,36,0.179,0,atl,Hawks
11,Brooklyn Nets,31.6,50.4,.385,0.06,-1.23,-2.54,26-44,6-6,38-44,26-56,1.0%,,,0,32,0.01,0,bkn,Nets
12,Toronto Raptors,27.6,54.4,.336,0.00,-0.63,-4.99,23-47,5-7,35-47,23-59,0,,,0,28,0,0,tor,Raptors
13,Charlotte Hornets,19.5,62.5,.237,-0.41,2.92,-10.46,17-52,2-11,26-56,17-65,0,,,0,20,0,0,cha,Hornets
14,Detroit Pistons,15.5,66.5,.189,0.27,-1.38,-8.51,12-58,3-9,22-60,12-70,0,,,0,16,0,0,det,Pistons
15,Washington Wizards,15.5,66.5,.188,0.22,-0.92,-9.88,12-58,3-9,22-60,12-70,0,,,0,16,0,0,wsh,Wizards
1,Oklahoma City Thunder,57.5,24.5,.701,-0.38,1.52,7.51,49-20,8-5,62-20,51-31,100.0%,50.8%,35.2%,13.3%,58,1,0.133,okc,Thunder
2,Denver Nuggets,57.1,24.9,.696,0.22,-1.29,4.80,49-21,8-4,61-21,51-31,100.0%,26.4%,13.5%,3.3%,57,1,0.033,den,Nuggets
3,Minnesota Timberwolves,56.4,25.6,.688,0.07,-0.82,6.73,48-22,8-4,60-22,51-31,100.0%,22.8%,26.3%,8.6%,56,1,0.086,min,T-Wolves
4,LA Clippers,51.9,30.1,.633,0.05,0.43,4.10,44-25,8-5,57-25,46-36,99.9%,97.9%,7.4%,1.9%,52,0.9990000000000001,0.019,lac,Clippers
5,New Orleans Pelicans,50.5,31.5,.616,-0.12,0.78,5.11,43-27,7-5,55-27,45-37,99.4%,87.7%,11.3%,3.4%,50,0.9940000000000001,0.034,no,Pelicans
6,Dallas Mavericks,47.6,34.4,.581,0.25,-0.63,1.85,41-29,7-5,53-29,41-41,87.0%,12.3%,1.7%,0.3%,48,0.87,0.003,dal,Mavericks
7,Sacramento Kings,46.5,35.5,.567,0.25,2.14,1.66,40-29,6-7,52-30,41-41,75.7%,1.2%,1.4%,0.2%,46,0.757,0.002,sac,Kings
8,Phoenix Suns,46.6,35.4,.568,-0.47,2.99,2.20,41-29,6-6,53-29,41-41,73.4%,0.9%,2.1%,0.4%,47,0.7340000000000001,0.004,phx,Suns
9,Los Angeles Lakers,44.2,37.8,.539,0.64,-0.45,0.63,38-32,6-6,49-33,39-43,30.7%,0.1%,0.3%,0,44,0.307,0,lal,Lakers
10,Golden State Warriors,43.3,38.7,.528,0.38,-0.95,1.98,36-33,7-6,49-33,37-45,28.5%,,0.8%,0.2%,43,0.285,0.002,gs,Warriors
11,Houston Rockets,41.0,41.0,.500,0.13,0.05,1.34,34-35,7-6,47-35,35-47,5.5%,,0.1%,0,41,0.055,0,hou,Rockets
12,Utah Jazz,33.3,48.7,.406,0.45,1.77,-3.29,29-41,4-8,39-43,29-53,0,,,0,33,0,0,uta,Jazz
13,Memphis Grizzlies,27.9,54.1,.340,0.54,-0.29,-6.11,24-47,4-7,34-48,24-58,0,,,0,28,0,0,mem,Grizzlies
14,Portland Trail Blazers,22.4,59.6,.273,0.74,0.51,-7.40,19-51,3-9,28-54,19-63,0,,,0,22,0,0,por,Blazers
15,San Antonio Spurs,18.5,63.5,.226,0.60,1.35,-6.71,15-55,4-8,25-57,15-67,0,,,0,18,0,0,sa,Spurs
