Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,Win Conf,Win Finals,wins,make_playoffs,win_finals,unit
1,Boston Celtics,55.8,26.2,.680,-0.20,-0.10,5.80,30-12,26-14,65-17,42-40,100.0%,78.9%,32.7%,21.0%,56,1,0.21,bos
2,Brooklyn Nets,52.3,29.7,.638,-0.04,0.05,3.94,27-13,25-17,63-19,40-42,99.9%,17.5%,16.2%,8.5%,52,0.9990000000000001,0.085,bkn
3,Cleveland Cavaliers,51.1,30.9,.623,0.02,-0.38,4.78,26-16,25-15,61-21,41-41,99.7%,69.7%,21.8%,12.9%,51,0.997,0.129,cle
4,Philadelphia 76ers,48.9,33.1,.597,-0.60,0.66,3.70,25-15,24-18,61-21,37-45,98.3%,3.4%,13.1%,6.9%,49,0.983,0.069,phi
5,Milwaukee Bucks,48.6,33.4,.592,-0.13,0.29,1.33,27-14,22-19,61-21,37-45,97.4%,29.1%,5.1%,2.0%,49,0.9740000000000001,0.02,mil
6,New York Knicks,45.1,36.9,.550,-0.27,0.49,2.51,23-19,22-18,58-24,33-49,88.0%,0.2%,6.4%,2.8%,45,0.88,0.027999999999999997,ny
7,Indiana Pacers,42.7,39.3,.520,0.08,0.19,-0.01,23-19,20-20,55-27,29-53,62.7%,1.1%,1.3%,0.4%,43,0.627,0.004,ind
8,Miami Heat,40.9,41.1,.499,-0.28,0.56,-0.49,22-20,19-21,53-29,31-51,47.7%,64.9%,0.9%,0.3%,41,0.47700000000000004,0.003,mia
9,Chicago Bulls,40.4,41.6,.492,1.01,-0.81,0.34,19-23,21-19,51-31,29-53,41.2%,0.2%,1.1%,0.4%,40,0.41200000000000003,0.004,chi
10,Toronto Raptors,39.4,42.6,.481,0.50,-0.28,0.79,18-23,21-20,52-30,29-53,30.9%,,0.9%,0.4%,39,0.309,0.004,tor
11,Washington Wizards,38.2,43.8,.465,0.72,-0.56,-0.63,18-24,20-20,51-31,27-55,19.5%,19.9%,0.3%,0.1%,38,0.195,0.001,wsh
12,Atlanta Hawks,37.6,44.4,.459,-0.20,0.32,-1.54,19-22,19-22,49-33,27-55,14.5%,15.0%,0.2%,0,38,0.145,0,atl
13,Orlando Magic,31.3,50.7,.382,-0.08,0.52,-3.89,16-26,15-25,44-38,20-62,0.2%,0.2%,,0,31,0.002,0,orl
14,Charlotte Hornets,25.1,56.9,.306,0.49,0.14,-5.87,11-31,14-26,36-46,15-67,0,,,0,25,0,0,cha
15,Detroit Pistons,24.6,57.4,.300,0.74,-0.10,-6.55,12-33,13-24,36-46,14-68,0,,,0,25,0,0,det
1,Memphis Grizzlies,53.4,28.6,.652,-0.38,-0.20,4.67,28-13,25-16,66-16,43-39,100.0%,82.2%,29.9%,15.8%,53,1,0.158,mem
2,Denver Nuggets,52.0,30.0,.635,-0.41,0.02,3.40,28-13,24-17,64-18,41-41,100.0%,99.2%,19.9%,9.0%,52,1,0.09,den
3,New Orleans Pelicans,49.5,32.5,.603,-0.05,-0.47,3.98,25-17,24-16,60-22,37-45,99.7%,16.5%,22.0%,10.6%,50,0.997,0.106,no
4,Sacramento Kings,45.0,37.0,.549,-0.29,-0.22,1.86,22-18,23-19,57-25,32-50,91.7%,62.9%,8.2%,3.0%,45,0.917,0.03,sac
5,Dallas Mavericks,44.6,37.4,.544,0.14,-0.37,1.23,23-19,22-18,59-23,33-49,90.5%,1.3%,6.7%,2.1%,45,0.905,0.021,dal
6,Phoenix Suns,42.2,39.8,.515,0.20,-0.13,1.46,21-22,21-18,54-28,32-50,75.2%,26.1%,5.3%,1.8%,42,0.752,0.018000000000000002,phx
7,Utah Jazz,41.1,40.9,.502,0.06,-0.21,0.74,21-23,20-18,51-31,30-52,60.4%,0.4%,3.3%,0.9%,41,0.604,0.009000000000000001,uta
8,Portland Trail Blazers,39.7,42.3,.484,-0.41,0.35,-0.33,19-21,21-21,51-31,26-56,41.4%,0.2%,1.3%,0.3%,40,0.414,0.003,por
9,LA Clippers,39.4,42.6,.481,-0.68,0.60,-1.48,22-21,17-22,51-31,29-53,35.1%,4.9%,0.6%,0.1%,39,0.35100000000000003,0.001,lac
10,Golden State Warriors,38.9,43.1,.475,-0.16,0.21,-1.20,20-21,19-22,49-33,28-54,33.9%,4.4%,0.8%,0.2%,39,0.33899999999999997,0.002,gs
11,Oklahoma City Thunder,38.5,43.5,.469,0.22,-0.18,-0.03,18-23,20-21,52-30,26-56,30.2%,0.1%,1.2%,0.3%,38,0.302,0.003,okc
12,Los Angeles Lakers,37.9,44.1,.462,-0.25,0.36,-1.43,19-22,19-22,49-33,27-55,18.9%,1.7%,0.4%,0.1%,38,0.18899999999999997,0.001,lal
13,Minnesota Timberwolves,38.0,44.0,.464,-0.61,0.59,-1.35,20-22,18-22,48-34,28-54,23.2%,0.1%,0.5%,0.2%,38,0.23199999999999998,0.002,min
14,San Antonio Spurs,24.7,57.3,.301,0.47,0.10,-8.04,13-29,12-28,35-47,16-66,0,,,0,25,0,0,sa
15,Houston Rockets,23.2,58.8,.283,0.27,0.27,-6.86,10-31,13-28,34-48,14-68,0,,,0,23,0,0,hou
